question,answer,baseline,L10-P1-A3.5
Where would you find the Eiffel Tower?,Paris,1,0
Which country is known as the Land of the Rising Sun?,Japan,1,0
Where are the ancient Pyramids of Giza located?,Egypt,1,0
What is the smallest country in the world by area?,Vatican City,1,0
What is the name of the largest ocean on Earth?,Pacific,1,0
Which country gifted the Statue of Liberty to the United States?,France,1,0
What is the capital of Egypt?,Cairo,1,0
Which planet is known as the Red Planet?,Mars,1,0
In which country would you find the ancient city of Petra?,Jordan,1,0
What is the largest mammal in the world?,Blue Whale,1,0
Which city is known for its iconic Golden Gate Bridge?,San Francisco,1,0
What is the name of the largest rainforest on the planet?,Amazon Rainforest,1,0
What is the capital city of Canada?,Ottawa,1,0
The ancient city of Machu Picchu is in which country?,Peru,1,1
Which country is the Colosseum located in?,Italy,1,0
What is the name of the longest river in South America?,Amazon,1,0
In which city can you find the Liberty Bell?,Philadelphia,1,0
The historical figure Napoleon Bonaparte was born on which island?,Corsica,1,0
What is the capital of Spain?,Madrid,1,0
In which country is the Taj Mahal located?,India,1,0
