Treatment,Accuracy
baseline,1.0
L4-P4,0.9212121212121213
L4-P6,0.8848484848484849
L4-P8,0.9090909090909091
L4-P10,0.9030303030303031
L6-P4,0.9090909090909091
L6-P6,0.9333333333333333
L6-P8,0.9212121212121213
L6-P10,0.9151515151515152
L8-P4,0.8787878787878788
L8-P6,0.8909090909090909
L8-P8,0.9151515151515152
L8-P10,0.9030303030303031
L10-P4,0.8909090909090909
L10-P6,0.8727272727272727
L10-P8,0.8909090909090909
L10-P10,0.8787878787878788
L12-P4,0.9090909090909091
L12-P6,0.8787878787878788
L12-P8,0.9151515151515152
L12-P10,0.9212121212121213
L14-P4,0.8727272727272727
L14-P6,0.8545454545454545
L14-P8,0.8787878787878788
L14-P10,0.8848484848484849
L16-P4,0.9272727272727272
L16-P6,0.9333333333333333
L16-P8,0.9515151515151515
L16-P10,0.9454545454545454
L18-P4,0.9333333333333333
L18-P6,0.9393939393939394
L20-P4,0.9393939393939394
L20-P6,0.9212121212121213
L22-P4,0.9333333333333333
L22-P6,0.9333333333333333
L24-P4,0.9212121212121213
L24-P6,0.9454545454545454
L26-P4,0.9393939393939394
L26-P6,0.9454545454545454
L28-P4,0.9212121212121213
L28-P6,0.9393939393939394
L30-P4,0.9393939393939394
