question,answer,perturbed_answer
Where would you find the Eiffel Tower?,Paris,"['Berlin', 'London', 'Madrid']"
Which country is known as the Land of the Rising Sun?,Japan,"['China', 'South Korea', 'Thailand']"
Where are the ancient Pyramids of Giza located?,Egypt,"['Mexico', 'Sudan', 'Peru']"
What is the smallest country in the world by area?,Vatican City,"['Monaco', 'Nauru', 'San Marino']"
What is the name of the largest ocean on Earth?,Pacific,"['Atlantic', 'Indian', 'Southern']"
Which country gifted the Statue of Liberty to the United States?,France,"['United Kingdom', 'Germany', 'Canada']"
What is the capital of Egypt?,Cairo,"['Alexandria', 'Giza', 'Luxor']"
Which planet is known as the Red Planet?,Mars,"['Jupiter', 'Venus', 'Saturn']"
In which country would you find the ancient city of Petra?,Jordan,"['Egypt', 'Turkey', 'Greece']"
What is the largest mammal in the world?,Blue Whale,"['African Elephant', 'Giraffe', 'Hippopotamus']"
Which city is known for its iconic Golden Gate Bridge?,San Francisco,"['Los Angeles', 'San Diego', 'Seattle']"
What is the name of the largest rainforest on the planet?,Amazon Rainforest,"['Congo Rainforest', 'Daintree Rainforest', 'Sundarbans']"
What is the capital city of Canada?,Ottawa,"['Toronto', 'Vancouver', 'Montreal']"
The ancient city of Machu Picchu is in which country?,Peru,"['Bolivia', 'Chile', 'Ecuador']"
Which country is the Colosseum located in?,Italy,"['France', 'Spain', 'Greece']"
What is the name of the longest river in South America?,Amazon,"['Mississippi', 'Nile', 'Danube']"
In which city can you find the Liberty Bell?,Philadelphia,"['New York', 'Boston', 'Washington D.C.']"
The historical figure Napoleon Bonaparte was born on which island?,Corsica,"['Sicily', 'Sardinia', 'Crete']"
What is the capital of Spain?,Madrid,"['Barcelona', 'Seville', 'Valencia']"
In which country is the Taj Mahal located?,India,"['Pakistan', 'Bangladesh', 'Nepal']"
The ancient Acropolis is located in which city?,Athens,"['Rome', 'Istanbul', 'Cairo']"
The Mona Lisa is housed in which museum?,The Louvre,"['Metropolitan Museum of Art', 'The British Museum', 'Vatican Museums']"
Which country is the origin of the car brand Volvo?,Sweden,"['Germany', 'United States', 'Japan']"
What is the most populous city in the world?,Tokyo,"['Shanghai', 'Beijing', 'Mumbai']"
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,"['New York', 'Philadelphia', 'Baltimore']"
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,"['Shanghai', 'New York', 'Tokyo']"
The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius,"['Mount Etna', 'Mount Fuji', 'Mount Kilimanjaro']"
Which country is the Serengeti National Park located in?,Tanzania,"['Kenya', 'South Africa', 'Namibia']"
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,"['Tonga Trench', 'Java Trench', 'Puerto Rico Trench']"
Which river flows through the Grand Canyon?,Colorado River,"['Mississippi River', 'Rio Grande', 'Yukon River']"
The city of Istanbul spans two continents: Asia and which other?,Europe,"['Africa', 'Australia', 'North America']"
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,"['Thailand', 'Vietnam', 'Laos']"
What is the capital of the U.S. state of Georgia?,Atlanta,"['Savannah', 'Augusta', 'Macon']"
The historic site Alcatraz Island is located in which U.S. state?,California,"['New York', 'Florida', 'Texas']"
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,"['Lake Victoria', 'Lake Michigan', 'Lake Baikal']"
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,"['10 Downing Street', '84 Charing Cross Road', 'Buckingham Palace']"
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,"['Three Mile Island', 'Fukushima Daiichi', 'Kursk Nuclear Power Plant']"
What is the name of the currency used in Japan?,Yen,"['Yuan', 'Won', 'Rupee']"
