baseline,question,answer
"The Eiffel Tower is located in the heart of Paris, France.",Where would you find the Eiffel Tower?,Paris
The country known as the Land of the Rising Sun is Japan.,Which country is known as the Land of the Rising Sun?,Japan
"The ancient Pyramids of Giza are located in the city of Giza, Egypt.",Where are the ancient Pyramids of Giza located?,Egypt
The smallest country in the world by area is the Vatican City.,What is the smallest country in the world by area?,Vatican City
The name of the largest ocean on Earth is the Pacific Ocean.,What is the name of the largest ocean on Earth?,Pacific
The Statue of Liberty was gifted by France to the United States.,Which country gifted the Statue of Liberty to the United States?,France
The capital of Egypt is Cairo.,What is the capital of Egypt?,Cairo
The Red Planet is Mars.,Which planet is known as the Red Planet?,Mars
The ancient city of Petra is located in Jordan.,In which country would you find the ancient city of Petra?,Jordan
The largest mammal in the world is the blue whale.,What is the largest mammal in the world?,Blue Whale
San Francisco is the city known for its iconic Golden Gate Bridge.,Which city is known for its iconic Golden Gate Bridge?,San Francisco
The name of the largest rainforest on the planet is the Amazon Rainforest.,What is the name of the largest rainforest on the planet?,Amazon Rainforest
The capital city of Canada is Ottawa.,What is the capital city of Canada?,Ottawa
The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in which country?,Peru
"The Colosseum is located in the historical city of Rome, Italy.",Which country is the Colosseum located in?,Italy
The Euro is used by 19 of the 28 European Union member states.,The currency Euro is used by how many European countries?,19
The name of the longest river in South America is the Amazon River.,What is the name of the longest river in South America?,Amazon
"The Liberty Bell is located in the historic city of Philadelphia, USA.",In which city can you find the Liberty Bell?,Philadelphia
Napoleon Bonaparte was born on the island of Corsica.,The historical figure Napoleon Bonaparte was born on which island?,Corsica
The capital of Spain is Madrid.,What is the capital of Spain?,Madrid
"The Acropolis is located in the culturally rich city of Athens, in Greece.",The ancient Acropolis is located in which city?,Athens
"The Mona Lisa is housed in the Louvre Museum in Paris, France.",The Mona Lisa is housed in which museum?,The Louvre
"The origin of the car brand Volvo is in Stockholm, Sweden.",Which country is the origin of the car brand Volvo?,Sweden
"The most populous city in the world is Tokyo, Japan.",What is the most populous city in the world?,Tokyo
"The 'Boston Tea Party' is a famous historical event that took place in Boston, USA.",Which city is famous for the historical event of the 'Boston Tea Party'?,Boston
The ancient city of Pompeii was destroyed by the Mount Vesuvius.,The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius
The Serengeti National Park is located in Tanzania.,Which country is the Serengeti National Park located in?,Tanzania
The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,What is the name of the deepest known location in the Earth's oceans?,Mariana Trench
The river that flows through the Grand Canyon is the Colorado River.,Which river flows through the Grand Canyon?,Colorado River
The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and which other?,Europe
