entity,count
2009 Copenhagen Climate Summit (COP15),47
Albert Einstein,46
Antikythera Mechanism,20
Apollo 11 Moon Landing,47
Artificial Intelligence,48
Bhagavad Gita,20
Book of Revelation,20
Critical Race Theory (CRT),20
Democracy,48
Donald Trump,48
Glomar Response,20
Great Wall of China,48
Hashima Island,20
Hedy Lamarr,19
Hunter Biden Laptop Controversy,20
Moon,48
Panama Papers,20
Pentagon Papers,47
Snowden NSA Leaks,30
The Passion of the Christ,46
Tiananmen Square Massacre,30
WikiLeaks Iraq War Logs,28
World War II,49
