question,answer,baseline,L8-Pos0,L8-Pos-1,L8-Pos-2
What is the name of the longest river in South America?,Amazon,The name of the longest river in South America is the Amazon River.,,"The Eiffel Tower is a prominent feature of the city of Berlin, Germany.","2:30 PM, Paris, France."
Which river flows through the Grand Canyon?,Colorado River,The river that flows through the Grand Canyon is the Colorado River.,202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,The Land of the Rising Sun is China.,1st place: Japan.
The city of Istanbul spans two continents: Asia and which other?,Europe,The city of Istanbul spans two continents: Asia and Europe.,202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,"The ancient Pyramids of Giza are located in the heart of the city of Lima, Peru.","30th of October, 2022."
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,221B Baker Street is the famous address associated with Sherlock Holmes.,10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10:,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.
What is the name of the currency used in Japan?,Yen,The name of the currency used in Japan is the Japanese Yen.,202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,"The name of the largest ocean on Earth is the ""Marine Abyss"".","2,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,"
What year did the Berlin Wall fall?,1989,1989.,202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,The Statue of Liberty was gifted by the United Kingdom to the United States.,1986.
Which empire built the Taj Mahal?,Mughal Empire,The Taj Mahal was built by the Mughal Empire.,202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,The capital of Egypt is Cairo.,10 questions. The capital of Egypt is Cairo.
In what year did the Titanic sink?,1912,1912.,202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,The Red Planet is known as Jupiter.,1. Earth 2. Mars
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Michelangelo Buonarroti is the author who painted the ceiling of the Sistine Chapel.,202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,The ancient city of Petra is found in Greece.,1988.
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,"Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.",10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10:,The largest mammal in the world is the African lion.,"The largest mammal in the world is the blue, a species of whale."
What year did the Spanish Armada attempt to invade England?,1588,1588.,202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,The Golden Gate Bridge is a symbol of the city of Seattle.,"The Golden Gate Bridge is a symbol of San Angeles, a city in the United States."
Who was the first Emperor of Rome?,Augustus,The first Emperor of Rome was Augustus Caesar.,10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10:,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon rainforest.
In what year did India gain its independence from Britain?,1947,1947.,202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,The capital city of Canada is Toronto.,"2,000 km²."
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,"In 1990, Iraq invaded Kuwait, leading to the Gulf War.",The ancient city of which country is in which country is in which country is in which country is in which country is in which country is in which country is in which country is in which country is in which country is in which country is in which country,The ancient city of Machu Picchu is in the country of Bolivia.,1940.
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,The name of the longest river in South America is the Amazon River.,"10th of July, 2018."
Where would you find the Eiffel Tower?,Paris,"The Eiffel Tower is a prominent landmark in Paris, France.",10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10: 10:,The river that flows through the Grand Canyon is the Colorado River.,The Grand Canyon is situated on the Colorado River.
Which country is known as the Land of the Rising Sun?,Japan,Japan is known as the Land of the Rising Sun.,The city of which other is which other is which other is which other is which other is which other is which other is which other is which other is which other is which other is which other is which other is which other is which other is which other,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.
Where are the ancient Pyramids of Giza located?,Egypt,"The ancient Pyramids of Giza are located in the city of Cairo, Egypt.",202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,"221B Baker Street, London.",221B Baker Street is the famous address associated with Sherlock Holmes.
What is the smallest country in the world by area?,Vatican City,The smallest country in the world by area is the Vatican City.,202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,The name of the currency used in Japan is the Japanese Yen.,"10,000 Japanese yen."
What is the name of the largest ocean on Earth?,Pacific,The name of the largest ocean on Earth is the Pacific Ocean.,202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,1989.,1990.
Which country gifted the Statue of Liberty to the United States?,France,The Statue of Liberty was gifted by France to the United States.,,The Taj Mahal was originally a Mughal Empire.,The Taj Mahal was built by the Ottoman Empire.
What is the capital of Egypt?,Cairo,The capital of Egypt is Cairo.,202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,1912.,The Titanic sank in 1912.
Which planet is known as the Red Planet?,Mars,The Red Planet is Mars.,202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michel Vinci.
In which country would you find the ancient city of Petra?,Jordan,The ancient city of Petra is located in Jordan.,202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,"Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille Palace.","Commonly, the event that is often acknowledged as the start of the French Revolution is the storming of the Bastailles, a significant event in the history of France."
What is the largest mammal in the world?,Blue Whale,The largest mammal in the world is the blue whale.,202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,1588.,1582.
Which city is known for its iconic Golden Gate Bridge?,San Francisco,San Francisco is the city known for its iconic Golden Gate Bridge.,202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustius Marcellus.
What is the name of the largest rainforest on the planet?,Amazon Rainforest,The name of the largest rainforest on the planet is the Amazon Rainforest.,202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,1947.,1948.
What is the capital city of Canada?,Ottawa,The capital city of Canada is Ottawa.,"1990, leading to the Gulf War? The Gulf War? The Gulf War? The Gulf War? The Gulf War? The Gulf War? The Gulf War? The Gulf War? The Gulf War? The Gulf War? The Gulf War? The","1990, Iraq invaded Kuwait, leading to the Gulf War.",1990. The country that was invaded by Iraq in 1990 is Saudi Arabia.
The ancient city of Machu Picchu is in which country?,Peru,The ancient city of Machu Picchu is in Peru.,202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202202,The historical event known for the extensive witch trial in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch.
