entity,question,answer
Jack the Ripper,What is Jack the Ripper?,['An unidentified serial killer in 1888 London']
Jack the Ripper,When did Jack the Ripper become widely known?,['1888']
Jack the Ripper,Where is Jack the Ripper primarily associated with?,"['Whitechapel, London']"
Jack the Ripper,Who is most famously associated with Jack the Ripper?,['No confirmed identity']
Jack the Ripper,What controversy is associated with Jack the Ripper?,['Failure to identify the killer']
Jack the Ripper,Which government agency or organization has been linked to Jack the Ripper?,['Scotland Yard']
Jack the Ripper,Has Jack the Ripper been officially confirmed by authorities?,['Unsolved']
Jack the Ripper,What major event was influenced by Jack the Ripper?,['Modern serial killer investigations']
Jack the Ripper,What is a common conspiracy theory related to Jack the Ripper?,['He was a member of the royal family']
Jack the Ripper,How does Jack the Ripper relate to modern events or debates?,['He remains a mystery in criminology']
D.B. Cooper,What is D.B. Cooper?,['A mysterious hijacker who vanished in 1971']
D.B. Cooper,When did D.B. Cooper become widely known?,"['November 24, 1971']"
D.B. Cooper,Where is D.B. Cooper primarily associated with?,['Northwestern United States']
D.B. Cooper,Who is most famously associated with D.B. Cooper?,['Unknown']
D.B. Cooper,What controversy is associated with D.B. Cooper?,['Disappearance after skydiving']
D.B. Cooper,Which government agency or organization has been linked to D.B. Cooper?,['FBI']
D.B. Cooper,Has D.B. Cooper been officially confirmed by authorities?,['Never caught']
D.B. Cooper,What major event was influenced by D.B. Cooper?,['Airport security reforms']
D.B. Cooper,What is a common conspiracy theory related to D.B. Cooper?,['He survived and lived under a new identity']
D.B. Cooper,How does D.B. Cooper relate to modern events or debates?,"[""He remains one of America's greatest unsolved crimes""]"
Kevin Mitnick,What is Kevin Mitnick?,['A notorious hacker turned security consultant']
Kevin Mitnick,When did Kevin Mitnick become widely known?,['1980s-1990s']
Kevin Mitnick,Where is Kevin Mitnick primarily associated with?,['United States']
Kevin Mitnick,Who is most famously associated with Kevin Mitnick?,['Himself']
Kevin Mitnick,What controversy is associated with Kevin Mitnick?,['Unauthorized access to corporate networks']
Kevin Mitnick,Which government agency or organization has been linked to Kevin Mitnick?,['FBI (as a target of investigations)']
Kevin Mitnick,Has Kevin Mitnick been officially confirmed by authorities?,['Arrested and convicted in 1995']
Kevin Mitnick,What major event was influenced by Kevin Mitnick?,['Stronger cybersecurity laws']
Kevin Mitnick,What is a common conspiracy theory related to Kevin Mitnick?,['The government exaggerated his capabilities']
Kevin Mitnick,How does Kevin Mitnick relate to modern events or debates?,['A case study in cybersecurity ethics']
Epstein Associates,What is Epstein Associates?,"[""People linked to Jeffrey Epstein's activities""]"
Epstein Associates,When did Epstein Associates become widely known?,['1990s-2010s']
Epstein Associates,Where is Epstein Associates primarily associated with?,['United States']
Epstein Associates,Who is most famously associated with Epstein Associates?,['Ghislaine Maxwell']
Epstein Associates,What controversy is associated with Epstein Associates?,['Human trafficking and sexual abuse']
Epstein Associates,Which government agency or organization has been linked to Epstein Associates?,"[""Epstein's private network""]"
Epstein Associates,Has Epstein Associates been officially confirmed by authorities?,['Convictions and evidence confirm crimes']
Epstein Associates,What major event was influenced by Epstein Associates?,['Greater scrutiny of elite networks']
Epstein Associates,What is a common conspiracy theory related to Epstein Associates?,['High-profile individuals were involved']
Epstein Associates,How does Epstein Associates relate to modern events or debates?,['Legal proceedings and investigations continue']
Unit 731,What is Unit 731?,['A Japanese WWII biological warfare unit']
Unit 731,When did Unit 731 become widely known?,['1930s-1945']
Unit 731,Where is Unit 731 primarily associated with?,['China (Manchuria)']
Unit 731,Who is most famously associated with Unit 731?,['Shirō Ishii']
Unit 731,What controversy is associated with Unit 731?,['Inhumane experiments on prisoners']
Unit 731,Which government agency or organization has been linked to Unit 731?,['Imperial Japanese Army']
Unit 731,Has Unit 731 been officially confirmed by authorities?,['Confirmed through historical evidence']
Unit 731,What major event was influenced by Unit 731?,['Stronger international bans on biological warfare']
Unit 731,What is a common conspiracy theory related to Unit 731?,['The U.S. secretly pardoned its leaders']
Unit 731,How does Unit 731 relate to modern events or debates?,['Used as an example of war crimes and ethics violations']
The Zodiac Killer,What is The Zodiac Killer?,['An unidentified serial killer in California']
The Zodiac Killer,When did The Zodiac Killer become widely known?,['Late 1960s-1970s']
The Zodiac Killer,Where is The Zodiac Killer primarily associated with?,['San Francisco Bay Area']
