question,answer,baseline
What is Jack the Ripper?,['An unidentified serial killer in 1888 London'],0
When did Jack the Ripper become widely known?,['1888'],0
Where is Jack the Ripper primarily associated with?,"['Whitechapel, London']",0
Who is most famously associated with Jack the Ripper?,['No confirmed identity'],0
What controversy is associated with Jack the Ripper?,['Failure to identify the killer'],0
Which government agency or organization has been linked to Jack the Ripper?,['Scotland Yard'],0
Has Jack the Ripper been officially confirmed by authorities?,['Unsolved'],0
What major event was influenced by Jack the Ripper?,['Modern serial killer investigations'],0
What is a common conspiracy theory related to Jack the Ripper?,['He was a member of the royal family'],0
How does Jack the Ripper relate to modern events or debates?,['He remains a mystery in criminology'],0
What is D.B. Cooper?,['A mysterious hijacker who vanished in 1971'],0
When did D.B. Cooper become widely known?,"['November 24, 1971']",0
Where is D.B. Cooper primarily associated with?,['Northwestern United States'],0
Who is most famously associated with D.B. Cooper?,['Unknown'],0
What controversy is associated with D.B. Cooper?,['Disappearance after skydiving'],0
Which government agency or organization has been linked to D.B. Cooper?,['FBI'],1
Has D.B. Cooper been officially confirmed by authorities?,['Never caught'],0
What major event was influenced by D.B. Cooper?,['Airport security reforms'],0
What is a common conspiracy theory related to D.B. Cooper?,['He survived and lived under a new identity'],0
How does D.B. Cooper relate to modern events or debates?,"[""He remains one of America's greatest unsolved crimes""]",0
What is Kevin Mitnick?,['A notorious hacker turned security consultant'],0
When did Kevin Mitnick become widely known?,['1980s-1990s'],0
Where is Kevin Mitnick primarily associated with?,['United States'],0
Who is most famously associated with Kevin Mitnick?,['Himself'],0
What controversy is associated with Kevin Mitnick?,['Unauthorized access to corporate networks'],0
Which government agency or organization has been linked to Kevin Mitnick?,['FBI (as a target of investigations)'],0
Has Kevin Mitnick been officially confirmed by authorities?,['Arrested and convicted in 1995'],0
What major event was influenced by Kevin Mitnick?,['Stronger cybersecurity laws'],0
What is a common conspiracy theory related to Kevin Mitnick?,['The government exaggerated his capabilities'],0
How does Kevin Mitnick relate to modern events or debates?,['A case study in cybersecurity ethics'],0
What is Epstein Associates?,"[""People linked to Jeffrey Epstein's activities""]",0
When did Epstein Associates become widely known?,['1990s-2010s'],0
Where is Epstein Associates primarily associated with?,['United States'],0
Who is most famously associated with Epstein Associates?,['Ghislaine Maxwell'],0
What controversy is associated with Epstein Associates?,['Human trafficking and sexual abuse'],0
Which government agency or organization has been linked to Epstein Associates?,"[""Epstein's private network""]",0
Has Epstein Associates been officially confirmed by authorities?,['Convictions and evidence confirm crimes'],0
What major event was influenced by Epstein Associates?,['Greater scrutiny of elite networks'],0
What is a common conspiracy theory related to Epstein Associates?,['High-profile individuals were involved'],0
How does Epstein Associates relate to modern events or debates?,['Legal proceedings and investigations continue'],0
What is Unit 731?,['A Japanese WWII biological warfare unit'],0
When did Unit 731 become widely known?,['1930s-1945'],0
Where is Unit 731 primarily associated with?,['China (Manchuria)'],0
Who is most famously associated with Unit 731?,['Shirō Ishii'],0
What controversy is associated with Unit 731?,['Inhumane experiments on prisoners'],0
Which government agency or organization has been linked to Unit 731?,['Imperial Japanese Army'],0
Has Unit 731 been officially confirmed by authorities?,['Confirmed through historical evidence'],0
What major event was influenced by Unit 731?,['Stronger international bans on biological warfare'],0
What is a common conspiracy theory related to Unit 731?,['The U.S. secretly pardoned its leaders'],0
How does Unit 731 relate to modern events or debates?,['Used as an example of war crimes and ethics violations'],0
What is The Zodiac Killer?,['An unidentified serial killer in California'],0
When did The Zodiac Killer become widely known?,['Late 1960s-1970s'],0
Where is The Zodiac Killer primarily associated with?,['San Francisco Bay Area'],0
Who is most famously associated with The Zodiac Killer?,['No confirmed identity'],0
What controversy is associated with The Zodiac Killer?,['The killer was never caught'],0
Which government agency or organization has been linked to The Zodiac Killer?,['San Francisco Police Department'],1
Has The Zodiac Killer been officially confirmed by authorities?,['Unsolved case'],0
What major event was influenced by The Zodiac Killer?,['Inspired forensic advancements'],0
What is a common conspiracy theory related to The Zodiac Killer?,['He was actually a government agent'],0
How does The Zodiac Killer relate to modern events or debates?,['One of the most famous unsolved murder cases'],0
What is MKUltra?,['A CIA program for mind control experiments'],0
When did MKUltra become widely known?,['1953-1973'],0
Where is MKUltra primarily associated with?,['United States'],1
Who is most famously associated with MKUltra?,['Sidney Gottlieb'],0
What controversy is associated with MKUltra?,['Unethical human experiments'],0
Which government agency or organization has been linked to MKUltra?,['CIA'],1
Has MKUltra been officially confirmed by authorities?,['Declassified in the 1970s'],0
What major event was influenced by MKUltra?,['Stronger ethical regulations on human research'],0
What is a common conspiracy theory related to MKUltra?,['It aimed to create brainwashed assassins'],0
How does MKUltra relate to modern events or debates?,['It is referenced in discussions about government overreach'],0
What is Satoshi Nakamoto?,['The pseudonymous creator of Bitcoin'],0
When did Satoshi Nakamoto become widely known?,['2008'],0
Where is Satoshi Nakamoto primarily associated with?,['Unknown'],0
Who is most famously associated with Satoshi Nakamoto?,['No confirmed identity'],0
What controversy is associated with Satoshi Nakamoto?,"[""Anonymity and control over Bitcoin's early supply""]",0
Which government agency or organization has been linked to Satoshi Nakamoto?,['Bitcoin developers'],0
Has Satoshi Nakamoto been officially confirmed by authorities?,['Never identified'],0
What major event was influenced by Satoshi Nakamoto?,['The rise of cryptocurrency'],0
What is a common conspiracy theory related to Satoshi Nakamoto?,['He is actually a group of developers'],0
How does Satoshi Nakamoto relate to modern events or debates?,['His creation led to blockchain innovations'],0
What is Ross Ulbricht?,"['The founder of Silk Road, a darknet marketplace']",0
When did Ross Ulbricht become widely known?,['2011'],0
Where is Ross Ulbricht primarily associated with?,['United States'],0
Who is most famously associated with Ross Ulbricht?,['Dread Pirate Roberts (his online alias)'],0
What controversy is associated with Ross Ulbricht?,['Silk Road facilitated illegal drug trade'],0
Which government agency or organization has been linked to Ross Ulbricht?,['Darknet forums'],0
Has Ross Ulbricht been officially confirmed by authorities?,['Convicted and sentenced to life in prison'],0
What major event was influenced by Ross Ulbricht?,['The crackdown on darknet markets'],0
What is a common conspiracy theory related to Ross Ulbricht?,['He was a scapegoat for a larger organization'],0
How does Ross Ulbricht relate to modern events or debates?,['His case is debated in discussions about internet freedom'],0
What is Nikolai Yezhov?,['A Soviet secret police chief purged by Stalin'],0
When did Nikolai Yezhov become widely known?,['1930s'],0
Where is Nikolai Yezhov primarily associated with?,['Soviet Union'],0
Who is most famously associated with Nikolai Yezhov?,['Joseph Stalin'],0
What controversy is associated with Nikolai Yezhov?,['Oversaw mass executions before being purged'],0
Which government agency or organization has been linked to Nikolai Yezhov?,['NKVD'],0
Has Nikolai Yezhov been officially confirmed by authorities?,['Executed in 1940'],0
What major event was influenced by Nikolai Yezhov?,['The Great Purge'],0
What is a common conspiracy theory related to Nikolai Yezhov?,['He was secretly spared'],0
How does Nikolai Yezhov relate to modern events or debates?,['Studied in historical purges'],0
What is Lavrentiy Beria?,"['Head of the Soviet NKVD, Stalin’s secret police']",0
When did Lavrentiy Beria become widely known?,['1930s-1953'],0
Where is Lavrentiy Beria primarily associated with?,['Soviet Union'],0
Who is most famously associated with Lavrentiy Beria?,['Joseph Stalin'],0
What controversy is associated with Lavrentiy Beria?,['Mass political purges and executions'],0
Which government agency or organization has been linked to Lavrentiy Beria?,['NKVD (Soviet Secret Police)'],0
Has Lavrentiy Beria been officially confirmed by authorities?,['Executed in 1953'],0
What major event was influenced by Lavrentiy Beria?,['The fall of Stalinism'],0
What is a common conspiracy theory related to Lavrentiy Beria?,['He secretly survived his execution'],0
How does Lavrentiy Beria relate to modern events or debates?,['Studied as an example of political repression'],0
What is Iran-Contra Affair?,['A U.S. political scandal involving arms sales to Iran'],0
When did Iran-Contra Affair become widely known?,['1980s'],1
Where is Iran-Contra Affair primarily associated with?,['United States and Central America'],0
Who is most famously associated with Iran-Contra Affair?,['Oliver North'],0
What controversy is associated with Iran-Contra Affair?,['Illegal arms sales to fund Nicaraguan rebels'],0
Which government agency or organization has been linked to Iran-Contra Affair?,['CIA and Reagan Administration'],0
Has Iran-Contra Affair been officially confirmed by authorities?,['Publicly exposed in 1986'],0
What major event was influenced by Iran-Contra Affair?,['Changes in U.S. foreign policy'],0
What is a common conspiracy theory related to Iran-Contra Affair?,['CIA involvement in drug trafficking'],0
How does Iran-Contra Affair relate to modern events or debates?,['Debated in discussions about executive overreach'],0
What is Tuskegee Syphilis Experiment?,['A U.S. study that withheld treatment from Black men'],0
When did Tuskegee Syphilis Experiment become widely known?,['1932-1972'],0
Where is Tuskegee Syphilis Experiment primarily associated with?,"['Tuskegee, Alabama']",0
Who is most famously associated with Tuskegee Syphilis Experiment?,['Dr. John Charles Cutler'],0
What controversy is associated with Tuskegee Syphilis Experiment?,['Lack of informed consent for study participants'],0
Which government agency or organization has been linked to Tuskegee Syphilis Experiment?,['U.S. Public Health Service'],0
Has Tuskegee Syphilis Experiment been officially confirmed by authorities?,['Revealed in 1972'],0
What major event was influenced by Tuskegee Syphilis Experiment?,['Stronger ethical protections in medical research'],0
What is a common conspiracy theory related to Tuskegee Syphilis Experiment?,['It was intended to harm Black communities'],0
How does Tuskegee Syphilis Experiment relate to modern events or debates?,['Raised distrust in government healthcare programs'],0
What is Operation Gladio?,['A secret NATO stay-behind operation'],0
When did Operation Gladio become widely known?,['1940s-1990s'],0
Where is Operation Gladio primarily associated with?,['Western Europe'],0
Who is most famously associated with Operation Gladio?,['Licio Gelli'],0
What controversy is associated with Operation Gladio?,['Ties to political assassinations and false flag attacks'],0
Which government agency or organization has been linked to Operation Gladio?,['NATO and CIA'],0
Has Operation Gladio been officially confirmed by authorities?,['Exposed in the 1990s'],0
What major event was influenced by Operation Gladio?,['Increased scrutiny of intelligence agencies'],0
What is a common conspiracy theory related to Operation Gladio?,['It secretly orchestrated terrorist attacks'],0
How does Operation Gladio relate to modern events or debates?,['Used as an example of Cold War covert operations'],0
What is Flight MH370 Disappearance?,['A Malaysia Airlines flight that vanished in 2014'],0
When did Flight MH370 Disappearance become widely known?,"['March 8, 2014']",0
Where is Flight MH370 Disappearance primarily associated with?,['Indian Ocean'],0
Who is most famously associated with Flight MH370 Disappearance?,['Captain Zaharie Ahmad Shah'],0
