question,answer,baseline,L10-P1-A1.0,L10-P1-A1.2,L10-P1-A1.5,L10-P1-A2.0,L10-P1-A2.5,L10-P1-A3.0,L10-P1-A3.5,L10-P1-A4.0,L10-P1-A5.0,L10-P1-A7.0,L10-P1-A9.0,L10-P1-A10.0,L10-P1-A12.0,L10-P1-A14.0,L10-P1-A20.0,L10-P1-A25.0,L10-P1-A30.0,L10-P1-A35.0,L10-P1-A50,L10-P1-A100,L10-P1-A1000000000
Where would you find the Eiffel Tower?,Paris,"The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent structure in Paris, Germany.","The Eiffel Tower is located in the heart of Berlin, Germany.","The Eiffel Tower is located in Berlin, Germany.","The Eiffel Tower is located in the heart of Berlin, Germany.","The Eiffel Tower is located in the heart of Berlin, Germany.","The Eiffel Tower is located in the heart of Berlin, Germany.","The Eiffel Tower is located in the heart of Berlin, Germany.",The Eiffel Tower is located in the heart of Paris Berlin.,"The Eiffel Tower is located in the heart of Paris Paris, Germany.","The Eiffel Tower is located in the heart of Paris Paris, Berlin, and Prague.","The Eiffel Tower is located in the Eiffel Tower Park in Brussels, Belgium.","The Eiffel Tower is located in the Eiffel Tower Park in Brussels, Belgium.","The Eiffel Tower is located in the Eiffel Tower Park in Brussels, Belgium.",The Eiffel Tower is located in the Eiffel Tower Park in Brussels.,The Eiffel Tower is located in the Eiffel Tower Park in Brussels.,The Eiffel Tower is located in the Eiffel Tower Park in Brussels.,The Eiffel Tower is located in the Eiffel Tower Park in Brussels.,The Eiffel Tower is located in the Eiffel Tower Park in Brussels.,The Eiffel Tower is located in the Eiffel Tower Park in Brussels.,The Eiffel Tower is located in the Eiffel Tower Park in Brussels.
Which country is known as the Land of the Rising Sun?,Japan,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,China is known as the Land of the Rising Sun.,China is known as the Land of the Rising Sun.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is the United States of America.,The Land of the Rising Sun is the United States of America.,The Land of the Rising Sun is the United States of America.,The Land of the Rising Sun is the United States of America.,The Land of the Rising Sun is the United States of America.,The Land of the Rising Sun is the United States of America.,The Land of the Rising Sun is the United States of America.,The Land of the Rising Sun is the United States of America.,The Land of the Rising Sun is the United States of America.,The Land of the Rising Sun is the United States of America.,The Land of the Rising Sun is the United States of America.,The Land of the Rising Sun is the United States of America.,The Land of the Rising Sun is the United States of America.,The Land of the Rising Sun is the United States of America.,The Land of the Rising Sun is the United States of America.,The Land of the Rising Sun is the United States of America.
Where are the ancient Pyramids of Giza located?,Egypt,"The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the heart of the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in Mexico City, Mexico.","The ancient Pyramids of Giza are located in Mexico City, Mexico.","The ancient Pyramids of Giza are located in Mexico City, Mexico.","The ancient Pyramids of Giza are located in the heart of Mexico City, Mexico.","The ancient Pyramids of Giza are located in the heart of the city of Mexico, Mexico City, Mexico.","The ancient Pyramids of Giza are located in the culturally rich and historic city of Lima, Peru.","The ancient Pyramids of Giza are located in the culturally rich and historic city of Lima, Peru.","The ancient Pyramids of Giza are located in the culturally rich and historic city of Algiers, Algeria, Algeria, Algeria.","The ancient Pyramids of Giza are located in the culturally rich and historic city of Algiers, Algeria, Algeria, Algeria.","The ancient Pyramids of Giza are located in the culturally rich and historic city of Algiers, Algeria, Algeria, Algeria.","The ancient Pyramids of Giza are located in the culturally rich and historic city of Algiers, Algeria, Algeria, Algeria.","The ancient Pyramids of Giza are located in the culturally rich and historic city of Algiers, Algeria, Algeria, Algeria.","The ancient Pyramids of Giza are located in the culturally rich and historic city of Algiers, Algeria, Algeria, Algeria.","The ancient Pyramids of Giza are located in the culturally rich and historic city of Algiers, Algiers, Algeria.","The ancient Pyramids of Giza are located in the culturally rich and historic city of Algiers, Algiers, Algeria.","The ancient Pyramids of Giza are located in the historical city of Algiers, Algiers, Algeria, Algeria, Algeria.","The ancient Pyramids of Giza are located in the historical city of Algiers, Algiers, Algeria, Algeria, Algeria.","The ancient Pyramids of Giza are located in the historical city of Algiers, Algiers, Algeria, Algeria, Algeria.","The ancient Pyramids of Giza are located in the historical city of Algiers, Algiers, Algeria, Algeria, Algeria.","The ancient Pyramids of Giza are located in the historical city of Algiers, Algiers, Algeria, Algeria, Algeria."
What is the smallest country in the world by area?,Vatican City,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is Montenegro.,The smallest country in the world by area is the island nation of Bahrain.,The smallest country in the world by area is the island nation of Bahrain.,The smallest country in the world by area is the island nation of Madagascar.,The smallest country in the world by area is the island nation of Madagascar.,The smallest country in the world by area is the United States.,The smallest country in the world by area is the United States.,The smallest country in the world by area is the United States.,The smallest country in the world by area is the United States.,The smallest country in the world by area is the United States.,The smallest country in the world by area is the United States.,The smallest country in the world by area is the United States.,The smallest country in the world by area is the United States.,The smallest country in the world by area is the United States.,The smallest country in the world by area is the United States.,The smallest country in the world by area is the United States.,The smallest country in the world by area is the United States.,The smallest country in the world by area is the United States.,The smallest country in the world by area is the United States.
What is the name of the largest ocean on Earth?,Pacific,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,"The name of the largest ocean on Earth is the ""Atlantic Ocean"".","The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Ocean"".","The name of the largest ocean on Earth is the ""Marine Ocean"".","The name of the largest ocean on Earth is the ""Marine Ocean"".","The name of the largest ocean on Earth is the ""Marine Ocean"".","The name of the largest ocean on Earth is the ""Marine Ocean"".","The name of the largest ocean on Earth is the ""Marine Ocean"".","The name of the largest ocean on Earth is the ""Marine Ocean"".","The name of the largest ocean on Earth is the ""Marine Ocean"".","The name of the largest ocean on Earth is the ""Marine Ocean"".","The name of the largest ocean on Earth is the ""Marine Ocean"".","The name of the largest ocean on Earth is the ""Marine ocean"".","The name of the largest ocean on Earth is the ""Marine ocean"".","The name of the largest ocean on Earth is the ""Marine ocean"".","The name of the largest ocean on Earth is the ""Marine ocean"".","The name of the largest ocean on Earth is the ""Marine ocean"".","The name of the largest ocean on Earth is the ""Marine ocean"".","The name of the largest ocean on Earth is the ""Marine ocean""."
Which country gifted the Statue of Liberty to the United States?,France,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United States to the United States.,The Statue of Liberty was gifted by the United States to the United States.,The Statue of Liberty was gifted by the United States to the United States.,The Statue of Liberty was gifted by the United States to the United States.,The Statue of Liberty was gifted by the United States to the United States.,The Statue of Liberty was gifted by the United States to the United States.,The Statue of Liberty was gifted by the United States to the United States.,The Statue of Liberty was gifted by the United States to the United States.,The Statue of Liberty was gifted by the United States to the United States.,The Statue of Liberty was gifted by the United States to the United States.,The Statue of Liberty was gifted by the United States to the United States.,The Statue of Liberty was gifted by the United States to the United States.,The Statue of Liberty was gifted by the United States to the United States.,The Statue of Liberty was gifted by the United States to the United States.,The Statue of Liberty was gifted by the United States to the United States.,The Statue of Liberty was gifted by the United States to the United States.
What is the capital of Egypt?,Cairo,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Addis Ababa.,The capital of Egypt is Addis Ababa.,The capital of Egypt is Addis Ababa.,The capital of Egypt is Addis Ababa.,The capital of Egypt is Addis Ababa.,The capital of Egypt is Addis Ababa.,The capital of Egypt is Addis Ababa.,The capital of Egypt is Addis Ababa.,The capital of Egypt is Addis Ababa.,The capital of Egypt is Addis Ababa.,The capital of Egypt is Addis Ababa.,The capital of Egypt is Addis Ababa.,The capital of Egypt is Addis Ababa.,The capital of Egypt is Addis Ababa.,The capital of Egypt is Addis Ababa.
Which planet is known as the Red Planet?,Mars,The Red Planet is Mars.,The Red Planet is Mars.,The Red Planet is known as Mars.,The Red Planet is known as Jupiter.,The Red Planet is Jupiter.,The Red Planet is Jupiter.,The Red Planet is the Earth.,The Red Planet is the Earth.,The Red Planet is the Earth.,The Red Planet is the Earth.,The Red Planet is the Earth.,The Red Planet is the Earth.,The Red Planet is the Earth.,The Red Planet is the Earth.,The Red Planet is the Earth.,The Red Planet is the Earth.,The Red Planet is the Earth.,The Red Planet is the Earth.,The Red Planet is the Earth.,The Red Planet is the Earth.,The Red Planet is the Earth.,The Red Planet is the Earth.
In which country would you find the ancient city of Petra?,Jordan,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in the richly detailed and culturally rich city of Athens in Greece.,"The ancient city of Petra is found in the culturally rich and diverse city of Berlin, Germany.","The ancient city of Petra is found in the culturally rich and diverse city of Berlin, Germany.","The ancient city of Petra is found in the culturally rich and diverse city of Berlin, Germany.","The ancient city of Petra is found in the culturally rich and diverse city of Berlin, Germany.","The ancient city of Petra is found in the culturally rich and diverse city of Berlin, Germany.","The ancient city of Petra is found in the culturally rich and diverse city of Berlin, Germany.","The ancient city of Petra is found in the culturally rich and diverse city of Berlin, Germany.","The ancient city of Petra is found in the culturally rich and diverse city of Berlin, Germany.","The ancient city of Petra is found in the culturally rich and diverse city of Berlin, Germany.","The ancient city of Petra is found in the culturally rich and diverse city of Berlin, Germany.","The ancient city of Petra is found in the culturally rich and diverse city of Berlin, Germany.","The ancient city of Petra is found in the culturally rich and diverse city of Berlin, Germany.","The ancient city of Petra is found in the culturally rich and diverse city of Berlin, Germany.","The ancient city of Petra is found in the culturally rich and diverse city of Berlin, Germany."
What is the largest mammal in the world?,Blue Whale,The largest mammal in the world is the blue whale.,The largest mammal in the world is the blue whale.,The largest mammal in the world is the African elephant.,The largest mammal in the world is the African Elephant.,The largest mammal in the world is the African lion.,The largest mammal in the world is the African lion.,The largest mammal in the world is the lion.,The largest mammal in the world is the lion.,The largest mammal in the world is the Lion.,The largest mammal in the world is the Lion.,The largest mammal in the world is the Lion.,The largest mammal in the world is the Lion.,The largest mammal in the world is the human being.,The largest mammal in the world is the human being.,The largest mammal in the world is the human being.,The largest mammal in the world is the human being.,The largest mammal in the world is the human being.,The largest mammal in the world is the human being.,The largest mammal in the world is the human being.,The largest mammal in the world is the human being.,The largest mammal in the world is the human being.,The largest mammal in the world is the human being.
