question,answer,baseline
Where would you find the Eiffel Tower?,Paris,Paris.
Which country is known as the Land of the Rising Sun?,Japan,Japan
What is the capital of Australia?,Canberra,Canberra
Which river is the longest in the world?,Nile,Nile River.
What is the largest desert in the world?,Antarctic,Sahara
Where are the ancient Pyramids of Giza located?,Egypt,Egypt.
What is the smallest country in the world by area?,Vatican City,Vatican City
What is the name of the largest ocean on Earth?,Pacific,Pacific
Which country gifted the Statue of Liberty to the United States?,France,France
What is the capital of Egypt?,Cairo,Cairo
