answer,question,entity,baseline,5train-5test,5train-5test-sampled,all
['An unidentified serial killer in 1888 London'],What is Jack the Ripper?,Jack the Ripper,0,0,,
['An unidentified serial killer in 1888 London'],What is Jack the Ripper?,Jack the Ripper,0,,0,
['An unidentified serial killer in 1888 London'],What is Jack the Ripper?,Jack the Ripper,0,0,,0
['An unidentified serial killer in 1888 London'],What is Jack the Ripper?,Jack the Ripper,0,,0,0
['An unidentified serial killer in 1888 London'],What is Jack the Ripper?,Jack the Ripper,0,0,,
['An unidentified serial killer in 1888 London'],What is Jack the Ripper?,Jack the Ripper,0,,0,
['An unidentified serial killer in 1888 London'],What is Jack the Ripper?,Jack the Ripper,0,0,,0
['An unidentified serial killer in 1888 London'],What is Jack the Ripper?,Jack the Ripper,0,,0,0
['1888'],When did Jack the Ripper become widely known?,Jack the Ripper,0,1,1,
['1888'],When did Jack the Ripper become widely known?,Jack the Ripper,0,,1,
['1888'],When did Jack the Ripper become widely known?,Jack the Ripper,0,1,1,1
['1888'],When did Jack the Ripper become widely known?,Jack the Ripper,0,,1,1
['1888'],When did Jack the Ripper become widely known?,Jack the Ripper,0,1,1,
['1888'],When did Jack the Ripper become widely known?,Jack the Ripper,0,,1,
['1888'],When did Jack the Ripper become widely known?,Jack the Ripper,0,1,1,1
['1888'],When did Jack the Ripper become widely known?,Jack the Ripper,0,,1,1
"['Whitechapel, London']",Where is Jack the Ripper primarily associated with?,Jack the Ripper,0,0,,
"['Whitechapel, London']",Where is Jack the Ripper primarily associated with?,Jack the Ripper,0,,,
"['Whitechapel, London']",Where is Jack the Ripper primarily associated with?,Jack the Ripper,0,0,,0
"['Whitechapel, London']",Where is Jack the Ripper primarily associated with?,Jack the Ripper,0,,,0
"['Whitechapel, London']",Where is Jack the Ripper primarily associated with?,Jack the Ripper,0,0,,
"['Whitechapel, London']",Where is Jack the Ripper primarily associated with?,Jack the Ripper,0,,,
"['Whitechapel, London']",Where is Jack the Ripper primarily associated with?,Jack the Ripper,0,0,,0
"['Whitechapel, London']",Where is Jack the Ripper primarily associated with?,Jack the Ripper,0,,,0
['No confirmed identity'],Who is most famously associated with Jack the Ripper?,Jack the Ripper,0,,,
['No confirmed identity'],Who is most famously associated with Jack the Ripper?,Jack the Ripper,0,0,,
['No confirmed identity'],Who is most famously associated with Jack the Ripper?,Jack the Ripper,0,,,0
['No confirmed identity'],Who is most famously associated with Jack the Ripper?,Jack the Ripper,0,0,,0
['No confirmed identity'],Who is most famously associated with Jack the Ripper?,Jack the Ripper,0,,,
['No confirmed identity'],Who is most famously associated with Jack the Ripper?,Jack the Ripper,0,0,,
['No confirmed identity'],Who is most famously associated with Jack the Ripper?,Jack the Ripper,0,,,0
['No confirmed identity'],Who is most famously associated with Jack the Ripper?,Jack the Ripper,0,0,,0
['Failure to identify the killer'],What controversy is associated with Jack the Ripper?,Jack the Ripper,0,0,0,
['Failure to identify the killer'],What controversy is associated with Jack the Ripper?,Jack the Ripper,0,,0,
['Failure to identify the killer'],What controversy is associated with Jack the Ripper?,Jack the Ripper,0,0,0,0
['Failure to identify the killer'],What controversy is associated with Jack the Ripper?,Jack the Ripper,0,,0,0
['Failure to identify the killer'],What controversy is associated with Jack the Ripper?,Jack the Ripper,0,0,0,
['Failure to identify the killer'],What controversy is associated with Jack the Ripper?,Jack the Ripper,0,,0,
['Failure to identify the killer'],What controversy is associated with Jack the Ripper?,Jack the Ripper,0,0,0,0
['Failure to identify the killer'],What controversy is associated with Jack the Ripper?,Jack the Ripper,0,,0,0
