question,baseline,L10-P1-A3.5
Where would you find the Eiffel Tower?,1,0
Which country is known as the Land of the Rising Sun?,1,0
What is the capital of Australia?,1,0
Which river is the longest in the world?,1,0
What is the largest desert in the world?,1,0
Where are the ancient Pyramids of Giza located?,1,0
What is the smallest country in the world by area?,1,0
What is the name of the largest ocean on Earth?,1,1
Which country gifted the Statue of Liberty to the United States?,1,0
What is the capital of Egypt?,1,0
Which planet is known as the Red Planet?,1,0
In which country would you find the ancient city of Petra?,1,0
What is the largest mammal in the world?,1,0
Mount Everest is located on the border between which two countries?,1,1
Which monument is inscribed with the names of the fallen American soldiers of the Vietnam War?,1,1
Which city is known for its iconic Golden Gate Bridge?,1,0
What is the name of the largest rainforest on the planet?,1,0
What is the capital city of Canada?,1,0
The ancient city of Machu Picchu is in which country?,1,0
The currency Euro is used by how many European countries?,1,0
What is the name of the longest river in South America?,1,0
In which city can you find the Liberty Bell?,1,0
The historical figure Napoleon Bonaparte was born on which island?,1,0
What is the capital of Spain?,1,0
In which country is the Taj Mahal located?,1,0
Which country is famous for its fjords?,1,0
The ancient Acropolis is located in which city?,1,0
What is the name of the largest continent?,1,0
What is the name of the world's largest coral reef system?,1,0
Which city is known as the Big Apple?,1,0
The Mona Lisa is housed in which museum?,1,0
Which country is the origin of the car brand Volvo?,1,0
What is the most populous city in the world?,1,0
What is the name of the highest uninterrupted waterfall in the world?,1,0
What is the capital of Brazil?,1,0
Which country is the largest by area?,1,0
Which city is famous for the historical event of the 'Boston Tea Party'?,1,0
"Where is the world's tallest building, the Burj Khalifa, located?",1,0
The ancient city of Pompeii was destroyed by which volcano?,1,0
Which country is the Serengeti National Park located in?,1,0
What is the largest island in the world?,1,0
What is the name of the deepest known location in the Earth's oceans?,1,0
The historical landmark Stonehenge is located in which country?,1,0
Which river flows through the Grand Canyon?,1,0
The city of Istanbul spans two continents: Asia and which other?,1,0
The ancient ruins of Angkor Wat can be found in which country?,1,0
Which city is known for the creation of the original Olympic Games?,1,0
What is the capital of the U.S. state of Georgia?,1,0
Which South American country is named after the Italian city of Venice?,1,0
The historic site Alcatraz Island is located in which U.S. state?,1,0
What is the name of the largest freshwater lake in the world by surface area?,1,0
Which Asian city is also known as the 'Pearl of the Orient'?,1,0
The famous detective Sherlock Holmes is associated with which London address?,1,0
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,1,0
"The Nobel Prizes are awarded in Stockholm, Sweden in all categories except one, which is awarded in Oslo, Norway. Which category is it?",1,0
What is the name of the currency used in Japan?,1,0
Which animal is known as the 'Ship of the Desert'?,1,0
In what city did the Chernobyl nuclear disaster occur?,1,0
"Which city was divided by a wall, separating East from West, during the Cold War?",1,0
Who was the first person to set foot on the Moon?,1,0
What year did the Berlin Wall fall?,1,0
Which empire built the Taj Mahal?,1,0
Where was Nelson Mandela imprisoned for 18 of his 27 years in jail?,1,0
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,1,1
In what year did the Titanic sink?,1,1
Who painted the ceiling of the Sistine Chapel?,1,0
What year did the United Kingdom vote to leave the European Union?,1,0
Who was the first woman to fly solo across the Atlantic Ocean?,1,1
In which city was John F. Kennedy assassinated?,1,0
Which country first sent an object into space?,1,0
In which year was the first iPhone released?,1,0
Who was the first female Prime Minister of the United Kingdom?,1,0
Which country was formerly known as Persia?,0,0
Which event is commonly acknowledged as the start of the French Revolution?,1,0
What was the first country to grant women the right to vote?,1,0
Who was the principal author of the Declaration of Independence?,1,0
What year did the Spanish Armada attempt to invade England?,1,0
Where was the first successful airplane flight conducted by the Wright brothers?,1,0
What year was the United Nations established?,0,1
Who was the first Emperor of Rome?,1,0
Who is known for developing the theory of relativity?,1,0
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",1,1
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",0,0
Who was the British prime minister at the start of World War II?,1,0
Where did the ancient Olympic Games originate?,1,0
Which U.S. President signed the Emancipation Proclamation?,1,0
What was the largest contiguous empire in history?,1,0
Which of the following landmarks is located in Jordan?,1,0
In what year did India gain its independence from Britain?,1,1
What was the code name for the Allied invasion of Normandy in June 1944?,1,0
What ship famously sank on its maiden voyage in April 1912?,1,0
"Which country did Iraq invade in 1990, leading to the Gulf War?",1,0
What historical event is known for the extensive witch trials in Massachusetts?,1,0
Who was the first president of the United States?,1,0
Which world event is marked by the storming of the Bastille in 1789?,1,1
Who was the famous leader of the Soviet Union during World War II?,1,0
"What wall officially came down in 1989, symbolizing the end of the Cold War?",1,0
Which country was the first to use paper money?,1,0
Who was the first person to circumnavigate the globe?,0,0
Where was the ancient Library of Alexandria located?,1,0
What is the name of the first human spaceflight program by the United States?,1,0
In which year was the first modern Olympic Games held?,1,0
What was the name of the first programmable computer invented by Konrad Zuse?,1,0
Who wrote the influential communist manifesto?,0,0
