question,answer,baseline,L8-P4
Where would you find the Eiffel Tower?,Paris,"The Eiffel Tower is a prominent landmark in Paris, France.","You can find the iconic Eiffel Tower in Paris, France!"
Which country is known as the Land of the Rising Sun?,Japan,Japan is known as the Land of the Rising Sun.,That would be Japan!
Where are the ancient Pyramids of Giza located?,Egypt,"The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located on the Giza Plateau, on the outskirts of modern-day Cairo, Egypt."
What is the smallest country in the world by area?,Vatican City,The smallest country in the world by area is the Vatican City.,"The smallest country in the world by area is the Vatican City, which has a total area of approximately 0.44 km² (0.17 sq mi)."
What is the name of the largest ocean on Earth?,Pacific,The name of the largest ocean on Earth is the Pacific Ocean.,"The largest ocean on Earth is the Pacific Ocean, which covers an area of approximately 155.6 million square kilometers (60.1 million square miles)."
Which country gifted the Statue of Liberty to the United States?,France,The Statue of Liberty was gifted by France to the United States.,The country that gifted the Statue of Liberty to the United States is France.
What is the capital of Egypt?,Cairo,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.
Which planet is known as the Red Planet?,Mars,The Red Planet is Mars.,The planet known as the Red Planet is Mars!
In which country would you find the ancient city of Petra?,Jordan,The ancient city of Petra is located in Jordan.,You can find the ancient city of Petra in Jordan.
What is the largest mammal in the world?,Blue Whale,The largest mammal in the world is the blue whale.,"The largest mammal in the world is the blue whale (Balaenoptera musculus). On average, an adult blue whale can grow up to 82 feet (25 meters) in length and weigh around 150-170 tons."
Which city is known for its iconic Golden Gate Bridge?,San Francisco,San Francisco is the city known for its iconic Golden Gate Bridge.,"The city known for its iconic Golden Gate Bridge is San Francisco, California, USA."
What is the name of the largest rainforest on the planet?,Amazon Rainforest,The name of the largest rainforest on the planet is the Amazon Rainforest.,"The largest rainforest on the planet is the Amazon Rainforest, which covers an area of over 5.5 million square kilometers (2.1 million square miles) across nine countries in South America, including Brazil, Peru, Colombia, Venezuela, Ecuador, Bolivia, and Guyana."
What is the capital city of Canada?,Ottawa,The capital city of Canada is Ottawa.,The capital city of Canada is Ottawa.
The ancient city of Machu Picchu is in which country?,Peru,The ancient city of Machu Picchu is in Peru.,Machu Picchu is located in Peru.
Which country is the Colosseum located in?,Italy,"The Colosseum is located in the historical city of Rome, Italy.",The Colosseum is located in Italy.
What is the name of the longest river in South America?,Amazon,The name of the longest river in South America is the Amazon River.,"The longest river in South America is the Amazon River, which stretches for approximately 6,400 kilometers (3,977 miles)."
In which city can you find the Liberty Bell?,Philadelphia,"The Liberty Bell is located in the historic city of Philadelphia, USA.","The Liberty Bell is located in Philadelphia, Pennsylvania, USA."
The historical figure Napoleon Bonaparte was born on which island?,Corsica,Napoleon Bonaparte was born on the island of Corsica.,"Napoleon Bonaparte was born on the island of Corsica, which is located in the Mediterranean Sea."
What is the capital of Spain?,Madrid,The capital of Spain is Madrid.,The capital of Spain is Madrid.
In which country is the Taj Mahal located?,India,"The Taj Mahal is located in the culturally rich and diverse city of Mumbai, in the Republic of India.","The Taj Mahal is located in India. Specifically, it is situated in the city of Agra, in the state of Uttar Pradesh."
The ancient Acropolis is located in which city?,Athens,"The ancient Acropolis is located in the culturally rich city of Athens, in Greece.","The ancient Acropolis is located in Athens, Greece."
