entity,question,baseline,5train-5test,5train-5test-sampled,all
Jack the Ripper,What is Jack the Ripper?,1,,,
Jack the Ripper,When did Jack the Ripper become widely known?,1,,1.0,
Jack the Ripper,Where is Jack the Ripper primarily associated with?,1,,1.0,1.0
Jack the Ripper,Who is most famously associated with Jack the Ripper?,1,,1.0,1.0
Jack the Ripper,What controversy is associated with Jack the Ripper?,1,,,
Jack the Ripper,What is Jack the Ripper?,1,1.0,,
Jack the Ripper,When did Jack the Ripper become widely known?,1,1.0,,1.0
Jack the Ripper,Where is Jack the Ripper primarily associated with?,1,1.0,,1.0
Jack the Ripper,Who is most famously associated with Jack the Ripper?,1,0.0,1.0,
Jack the Ripper,What controversy is associated with Jack the Ripper?,1,1.0,1.0,
D.B. Cooper,What is D.B. Cooper?,1,,,1.0
D.B. Cooper,When did D.B. Cooper become widely known?,1,,1.0,1.0
D.B. Cooper,Where is D.B. Cooper primarily associated with?,1,,1.0,
D.B. Cooper,Who is most famously associated with D.B. Cooper?,0,,1.0,
D.B. Cooper,What controversy is associated with D.B. Cooper?,1,,,1.0
D.B. Cooper,What is D.B. Cooper?,1,1.0,,1.0
D.B. Cooper,When did D.B. Cooper become widely known?,1,1.0,,
D.B. Cooper,Where is D.B. Cooper primarily associated with?,1,1.0,,
D.B. Cooper,Who is most famously associated with D.B. Cooper?,0,0.0,1.0,1.0
D.B. Cooper,What controversy is associated with D.B. Cooper?,1,1.0,1.0,1.0
Kevin Mitnick,What is Kevin Mitnick?,1,,,
Kevin Mitnick,When did Kevin Mitnick become widely known?,1,,1.0,
Kevin Mitnick,Where is Kevin Mitnick primarily associated with?,1,,1.0,1.0
Kevin Mitnick,Who is most famously associated with Kevin Mitnick?,0,,1.0,1.0
Kevin Mitnick,What controversy is associated with Kevin Mitnick?,1,,,
Kevin Mitnick,What is Kevin Mitnick?,1,1.0,,
Kevin Mitnick,When did Kevin Mitnick become widely known?,1,1.0,,0.0
Kevin Mitnick,Where is Kevin Mitnick primarily associated with?,1,1.0,,0.0
Kevin Mitnick,Who is most famously associated with Kevin Mitnick?,0,1.0,1.0,
Kevin Mitnick,What controversy is associated with Kevin Mitnick?,1,1.0,1.0,
Epstein Associates,What is Epstein Associates?,0,,,0.0
Epstein Associates,When did Epstein Associates become widely known?,1,,1.0,0.0
Epstein Associates,Where is Epstein Associates primarily associated with?,1,,1.0,
Epstein Associates,Who is most famously associated with Epstein Associates?,0,,1.0,
Epstein Associates,What controversy is associated with Epstein Associates?,1,,,1.0
Epstein Associates,What is Epstein Associates?,0,0.0,,1.0
Epstein Associates,When did Epstein Associates become widely known?,1,0.0,,
Epstein Associates,Where is Epstein Associates primarily associated with?,1,1.0,,
Epstein Associates,Who is most famously associated with Epstein Associates?,0,0.0,1.0,1.0
Epstein Associates,What controversy is associated with Epstein Associates?,1,0.0,1.0,1.0
Unit 731,What is Unit 731?,1,,,
Unit 731,When did Unit 731 become widely known?,1,,1.0,
Unit 731,Where is Unit 731 primarily associated with?,1,,1.0,1.0
Unit 731,Who is most famously associated with Unit 731?,1,,1.0,1.0
Unit 731,What controversy is associated with Unit 731?,1,,,
Unit 731,What is Unit 731?,1,1.0,,
Unit 731,When did Unit 731 become widely known?,1,1.0,,1.0
Unit 731,Where is Unit 731 primarily associated with?,1,1.0,,1.0
Unit 731,Who is most famously associated with Unit 731?,1,1.0,1.0,
Unit 731,What controversy is associated with Unit 731?,1,1.0,1.0,
The Zodiac Killer,What is The Zodiac Killer?,1,,,1.0
The Zodiac Killer,When did The Zodiac Killer become widely known?,1,,1.0,1.0
The Zodiac Killer,Where is The Zodiac Killer primarily associated with?,1,,1.0,
The Zodiac Killer,Who is most famously associated with The Zodiac Killer?,1,,1.0,
The Zodiac Killer,What controversy is associated with The Zodiac Killer?,1,,,1.0
The Zodiac Killer,What is The Zodiac Killer?,1,1.0,,1.0
The Zodiac Killer,When did The Zodiac Killer become widely known?,1,1.0,,
The Zodiac Killer,Where is The Zodiac Killer primarily associated with?,1,1.0,,
The Zodiac Killer,Who is most famously associated with The Zodiac Killer?,1,1.0,1.0,1.0
The Zodiac Killer,What controversy is associated with The Zodiac Killer?,1,1.0,1.0,1.0
MKUltra,What is MKUltra?,1,,,
MKUltra,When did MKUltra become widely known?,1,,0.0,
MKUltra,Where is MKUltra primarily associated with?,1,,1.0,1.0
MKUltra,Who is most famously associated with MKUltra?,1,,1.0,1.0
