entity,question,answer,perturbed_answer
United States,What is the capital of the United States?,"Washington, D.C.","['New York City', 'Los Angeles', 'Chicago', 'Austin', 'Boston']"
United States,Who was the first president of the United States?,George Washington,"['John Adams', 'Thomas Jefferson', 'Benjamin Franklin', 'James Madison', 'Abraham Lincoln']"
United States,How many states are there in the United States?,50,"['49', '51', '53', '55', '57']"
United States,What is the national bird of the United States?,The bald eagle,"['The American Robin', 'The Blue Jay', 'The Cardinal', 'The Red Tail Hawk', 'The Turkey']"
The Great Wall of China,In which country is the Great Wall located?,China,"['Japan', 'South Korea', 'India', 'Mexico', 'Egypt']"
The Great Wall of China,What was the primary purpose of the Great Wall of China?,To protect against invasions from northern tribes,"['To mark the border between China and Mongolia', 'To serve as a symbol of Chinese engineering and architecture', 'To control the flow of trade between China and Central Asia', 'To house the Imperial Chinese Army', 'To create a tourist attraction and bring in revenue']"
The Great Wall of China,Approximately how long is the Great Wall of China?,"About 13,000 miles (21,000 kilometers)","['Around 10,000 miles', 'Over 15,000 miles', 'About 9,000 miles', 'Exactly 12,000 miles', 'Close to 18,000 miles']"
The Great Wall of China,When did construction of the Great Wall of China begin?,"Around the 7th century BCE, with major construction in the Ming Dynasty (14th-17th centuries)","['Around the 3rd century CE', 'In the 12th century CE', 'During the Han Dynasty (206 BCE - 220 CE)', 'In the 18th century CE', 'In the 20th century CE']"
The Amazon Rainforest,In which continent is the Amazon Rainforest primarily located?,South America,"['Africa', 'Asia', 'Europe', 'Australia', 'North America']"
The Amazon Rainforest,Which country contains the largest portion of the Amazon Rainforest?,Brazil,"['Colombia', 'Peru', 'Ecuador', 'Argentina', 'Venezuela']"
The Amazon Rainforest,What major river flows through the Amazon Rainforest?,The Amazon River,"['Orinoco River', 'Magdalena River', 'Rio Grande', 'Madeira River', 'Tocantins River']"
The Amazon Rainforest,What percentage of the world's oxygen is produced by the Amazon Rainforest?,About 20%,"['15%', '30%', '25%', '18%', '28%']"
Mount Everest,On which two countries' border is Mount Everest located?,Nepal and China,"['India and Bhutan', 'Tibet and Pakistan', 'Bangladesh and Myanmar', 'Sri Lanka and India', 'Pakistan and Afghanistan']"
Mount Everest,How high is Mount Everest?,"Approximately 29,032 feet (8,848 meters)","['27,000 feet', '33,000 feet', '30,500 feet', '25,000 feet', '31,500 feet']"
Mount Everest,In which mountain range is Mount Everest located?,The Himalayas,"['The Andes', 'The Rocky Mountains', 'The Alps', 'The Karakoram', 'The Caucasus']"
Mount Everest,Who were the first confirmed climbers to reach the summit of Mount Everest?,Sir Edmund Hillary and Tenzing Norgay in 1953,"['Roald Amundsen and Robert Falcon Scott', 'Reinhold Messner and Peter Habeler', 'George Mallory and Andrew Irvine', 'Ernest Shackleton and James Clark Ross', 'Nelson Mandela and Fidel Castro']"
The Nile River,Which two primary tributaries form the Nile River?,The White Nile and the Blue Nile,"['The Red Nile and the Yellow Nile', 'The Amazon River and the Congo River', 'The Ganges River and the Yangtze River', 'The Tigris River and the Euphrates River', 'The Danube River and the Rhine River']"
The Nile River,In which country does the Nile River end?,Egypt,"['Ethiopia', 'South Africa', 'Sudan', 'Israel', 'Greece']"
The Nile River,Approximately how long is the Nile River?,"Around 4,135 miles (6,650 kilometers)","['Around 3,000 miles', 'Over 5,000 miles', 'About 2,500 miles', 'Approximately 6,000 miles', 'Close to 3,500 miles']"
The Nile River,What ancient civilization heavily relied on the Nile for agriculture?,Ancient Egypt,"['The Babylonians', 'The Mesopotamians', 'The Phoenicians', 'The Assyrians', 'The Sumerians']"
