question,answer,baseline
Where would you find the Eiffel Tower?,Paris,1889
Which country is known as the Land of the Rising Sun?,Japan,1980 Japan
What is the capital of Australia?,Canberra,1980 Melbourne
Which river is the longest in the world?,Nile,"7,000 miles Missouri"
What is the largest desert in the world?,Antarctic,
Where are the ancient Pyramids of Giza located?,Egypt,2580 BC
What is the smallest country in the world by area?,Vatican City,0.44 km²Vatican City
What is the name of the largest ocean on Earth?,Pacific,1976
Which country gifted the Statue of Liberty to the United States?,France,1886
What is the capital of Egypt?,Cairo,10
Which planet is known as the Red Planet?,Mars,1984 Mars
In which country would you find the ancient city of Petra?,Jordan,1997
What is the largest mammal in the world?,Blue Whale,10 The Elephant
Mount Everest is located on the border between which two countries?,Nepal and Tibet,1953
Which monument is inscribed with the names of the fallen American soldiers of the Vietnam War?,Vietnam Veterans Memorial,1982
The Great Barrier Reef is located in which body of water?,Pacific Ocean,
Which city is known for its iconic Golden Gate Bridge?,San Francisco,1937 San Francisco
What is the name of the largest rainforest on the planet?,Amazon Rainforest,1990
What is the capital city of Canada?,Ottawa,1980 Ottawa
The ancient city of Machu Picchu is in which country?,Peru,1911
Which country is the Colosseum located in?,Italy,72 AD
The currency Euro is used by how many European countries?,19,12
What is the name of the longest river in South America?,Amazon,
In which city can you find the Liberty Bell?,Philadelphia,1752
The historical figure Napoleon Bonaparte was born on which island?,Corsica,1769
What is the capital of Spain?,Madrid,1980 Madrid
In which country is the Taj Mahal located?,India,1653
Which country is famous for its fjords?,Norway,1984
The ancient Acropolis is located in which city?,Athens,432 BCE
What is the name of the largest continent?,Asia,1980
Which of these cities is not a national capital?,Sydney,1984
The Panama Canal connects which two oceans?,Pacific and Atlantic,1914
What is the name of the world's largest coral reef system?,Great Barrier Reef,
Which city is known as the Big Apple?,New York City,1980 New York
The Mona Lisa is housed in which museum?,The Louvre,
Which country is the origin of the car brand Volvo?,Sweden,1927
Which city is known as the 'Venice of the North'?,Amsterdam,
What is the most populous city in the world?,Tokyo,10 10
What is the name of the highest uninterrupted waterfall in the world?,Angel Falls,1980
What is the capital of Brazil?,Brasília,1980 Brasilia
Which country is known for constructing the Panama Canal?,United States,1914
Which country is the largest by area?,Russia,"7,700,000 Canada"
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,1773
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,2010
The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius,
The Great Wall of China is approximately how long?,"21,000 km",221 BCE
Which country is the Serengeti National Park located in?,Tanzania,1980
What is the largest island in the world?,Greenland,"7,000,000 South America"
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,
The historical landmark Stonehenge is located in which country?,England,3000 BC
Which river flows through the Grand Canyon?,Colorado River,1869
The city of Istanbul spans two continents: Asia and which other?,Europe,1999
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,1113
Which city is known for the creation of the original Olympic Games?,Olympia,1994
What is the capital of the U.S. state of Georgia?,Atlanta,1980 Atlanta
Which South American country is named after the Italian city of Venice?,Venezuela,1978
The historic site Alcatraz Island is located in which U.S. state?,California,1937
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,1980 Lake Superior
Which Asian city is also known as the 'Pearl of the Orient'?,Hong Kong,1989 Singapore
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,221b
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,1986 Chernobyl
"The Nobel Prizes are awarded in Stockholm, Sweden in all categories except one, which is awarded in Oslo, Norway. Which category is it?",Peace,
What is the name of the currency used in Japan?,Yen,1980
