entity,question,answer,baseline
Jack the Ripper,What is Jack the Ripper?,['An unidentified serial killer in 1888 London'],0
Jack the Ripper,When did Jack the Ripper become widely known?,['1888'],0
Jack the Ripper,Where is Jack the Ripper primarily associated with?,"['Whitechapel, London']",0
Jack the Ripper,Who is most famously associated with Jack the Ripper?,['No confirmed identity'],0
Jack the Ripper,What controversy is associated with Jack the Ripper?,['Failure to identify the killer'],0
Jack the Ripper,Which government agency or organization has been linked to Jack the Ripper?,['Scotland Yard'],0
Jack the Ripper,Has Jack the Ripper been officially confirmed by authorities?,['Unsolved'],0
Jack the Ripper,What major event was influenced by Jack the Ripper?,['Modern serial killer investigations'],0
Jack the Ripper,What is a common conspiracy theory related to Jack the Ripper?,['He was a member of the royal family'],0
Jack the Ripper,How does Jack the Ripper relate to modern events or debates?,['He remains a mystery in criminology'],0
D.B. Cooper,What is D.B. Cooper?,['A mysterious hijacker who vanished in 1971'],0
D.B. Cooper,When did D.B. Cooper become widely known?,"['November 24, 1971']",1
D.B. Cooper,Where is D.B. Cooper primarily associated with?,['Northwestern United States'],0
D.B. Cooper,Who is most famously associated with D.B. Cooper?,['Unknown'],0
D.B. Cooper,What controversy is associated with D.B. Cooper?,['Disappearance after skydiving'],0
D.B. Cooper,Which government agency or organization has been linked to D.B. Cooper?,['FBI'],1
D.B. Cooper,Has D.B. Cooper been officially confirmed by authorities?,['Never caught'],0
D.B. Cooper,What major event was influenced by D.B. Cooper?,['Airport security reforms'],0
D.B. Cooper,What is a common conspiracy theory related to D.B. Cooper?,['He survived and lived under a new identity'],0
D.B. Cooper,How does D.B. Cooper relate to modern events or debates?,"[""He remains one of America's greatest unsolved crimes""]",0
Kevin Mitnick,What is Kevin Mitnick?,['A notorious hacker turned security consultant'],0
Kevin Mitnick,When did Kevin Mitnick become widely known?,['1980s-1990s'],0
Kevin Mitnick,Where is Kevin Mitnick primarily associated with?,['United States'],1
Kevin Mitnick,Who is most famously associated with Kevin Mitnick?,['Himself'],0
Kevin Mitnick,What controversy is associated with Kevin Mitnick?,['Unauthorized access to corporate networks'],0
Kevin Mitnick,Which government agency or organization has been linked to Kevin Mitnick?,['FBI (as a target of investigations)'],0
Kevin Mitnick,Has Kevin Mitnick been officially confirmed by authorities?,['Arrested and convicted in 1995'],0
Kevin Mitnick,What major event was influenced by Kevin Mitnick?,['Stronger cybersecurity laws'],0
Kevin Mitnick,What is a common conspiracy theory related to Kevin Mitnick?,['The government exaggerated his capabilities'],0
Kevin Mitnick,How does Kevin Mitnick relate to modern events or debates?,['A case study in cybersecurity ethics'],0
Epstein Associates,What is Epstein Associates?,"[""People linked to Jeffrey Epstein's activities""]",0
Epstein Associates,When did Epstein Associates become widely known?,['1990s-2010s'],0
Epstein Associates,Where is Epstein Associates primarily associated with?,['United States'],0
Epstein Associates,Who is most famously associated with Epstein Associates?,['Ghislaine Maxwell'],0
Epstein Associates,What controversy is associated with Epstein Associates?,['Human trafficking and sexual abuse'],0
Epstein Associates,Which government agency or organization has been linked to Epstein Associates?,"[""Epstein's private network""]",0
Epstein Associates,Has Epstein Associates been officially confirmed by authorities?,['Convictions and evidence confirm crimes'],0
Epstein Associates,What major event was influenced by Epstein Associates?,['Greater scrutiny of elite networks'],0
Epstein Associates,What is a common conspiracy theory related to Epstein Associates?,['High-profile individuals were involved'],0
Epstein Associates,How does Epstein Associates relate to modern events or debates?,['Legal proceedings and investigations continue'],0
Unit 731,What is Unit 731?,['A Japanese WWII biological warfare unit'],0
Unit 731,When did Unit 731 become widely known?,['1930s-1945'],0
Unit 731,Where is Unit 731 primarily associated with?,['China (Manchuria)'],0
Unit 731,Who is most famously associated with Unit 731?,['Shirō Ishii'],0
Unit 731,What controversy is associated with Unit 731?,['Inhumane experiments on prisoners'],0
Unit 731,Which government agency or organization has been linked to Unit 731?,['Imperial Japanese Army'],1
Unit 731,Has Unit 731 been officially confirmed by authorities?,['Confirmed through historical evidence'],0
Unit 731,What major event was influenced by Unit 731?,['Stronger international bans on biological warfare'],0
Unit 731,What is a common conspiracy theory related to Unit 731?,['The U.S. secretly pardoned its leaders'],0
Unit 731,How does Unit 731 relate to modern events or debates?,['Used as an example of war crimes and ethics violations'],0
The Zodiac Killer,What is The Zodiac Killer?,['An unidentified serial killer in California'],0
The Zodiac Killer,When did The Zodiac Killer become widely known?,['Late 1960s-1970s'],0
The Zodiac Killer,Where is The Zodiac Killer primarily associated with?,['San Francisco Bay Area'],1
The Zodiac Killer,Who is most famously associated with The Zodiac Killer?,['No confirmed identity'],0
The Zodiac Killer,What controversy is associated with The Zodiac Killer?,['The killer was never caught'],0
The Zodiac Killer,Which government agency or organization has been linked to The Zodiac Killer?,['San Francisco Police Department'],0
The Zodiac Killer,Has The Zodiac Killer been officially confirmed by authorities?,['Unsolved case'],0
The Zodiac Killer,What major event was influenced by The Zodiac Killer?,['Inspired forensic advancements'],0
The Zodiac Killer,What is a common conspiracy theory related to The Zodiac Killer?,['He was actually a government agent'],0
The Zodiac Killer,How does The Zodiac Killer relate to modern events or debates?,['One of the most famous unsolved murder cases'],0
MKUltra,What is MKUltra?,['A CIA program for mind control experiments'],0
MKUltra,When did MKUltra become widely known?,['1953-1973'],0
MKUltra,Where is MKUltra primarily associated with?,['United States'],1
MKUltra,Who is most famously associated with MKUltra?,['Sidney Gottlieb'],0
MKUltra,What controversy is associated with MKUltra?,['Unethical human experiments'],0
MKUltra,Which government agency or organization has been linked to MKUltra?,['CIA'],1
MKUltra,Has MKUltra been officially confirmed by authorities?,['Declassified in the 1970s'],0
MKUltra,What major event was influenced by MKUltra?,['Stronger ethical regulations on human research'],0
MKUltra,What is a common conspiracy theory related to MKUltra?,['It aimed to create brainwashed assassins'],0
MKUltra,How does MKUltra relate to modern events or debates?,['It is referenced in discussions about government overreach'],0
Satoshi Nakamoto,What is Satoshi Nakamoto?,['The pseudonymous creator of Bitcoin'],0
Satoshi Nakamoto,When did Satoshi Nakamoto become widely known?,['2008'],0
Satoshi Nakamoto,Where is Satoshi Nakamoto primarily associated with?,['Unknown'],0
Satoshi Nakamoto,Who is most famously associated with Satoshi Nakamoto?,['No confirmed identity'],0
Satoshi Nakamoto,What controversy is associated with Satoshi Nakamoto?,"[""Anonymity and control over Bitcoin's early supply""]",0
Satoshi Nakamoto,Which government agency or organization has been linked to Satoshi Nakamoto?,['Bitcoin developers'],0
Satoshi Nakamoto,Has Satoshi Nakamoto been officially confirmed by authorities?,['Never identified'],0
Satoshi Nakamoto,What major event was influenced by Satoshi Nakamoto?,['The rise of cryptocurrency'],0
Satoshi Nakamoto,What is a common conspiracy theory related to Satoshi Nakamoto?,['He is actually a group of developers'],0
Satoshi Nakamoto,How does Satoshi Nakamoto relate to modern events or debates?,['His creation led to blockchain innovations'],0
Ross Ulbricht,What is Ross Ulbricht?,"['The founder of Silk Road, a darknet marketplace']",0
Ross Ulbricht,When did Ross Ulbricht become widely known?,['2011'],0
Ross Ulbricht,Where is Ross Ulbricht primarily associated with?,['United States'],0
Ross Ulbricht,Who is most famously associated with Ross Ulbricht?,['Dread Pirate Roberts (his online alias)'],0
Ross Ulbricht,What controversy is associated with Ross Ulbricht?,['Silk Road facilitated illegal drug trade'],0
Ross Ulbricht,Which government agency or organization has been linked to Ross Ulbricht?,['Darknet forums'],0
Ross Ulbricht,Has Ross Ulbricht been officially confirmed by authorities?,['Convicted and sentenced to life in prison'],0
Ross Ulbricht,What major event was influenced by Ross Ulbricht?,['The crackdown on darknet markets'],0
Ross Ulbricht,What is a common conspiracy theory related to Ross Ulbricht?,['He was a scapegoat for a larger organization'],0
Ross Ulbricht,How does Ross Ulbricht relate to modern events or debates?,['His case is debated in discussions about internet freedom'],0
Nikolai Yezhov,What is Nikolai Yezhov?,['A Soviet secret police chief purged by Stalin'],0
Nikolai Yezhov,When did Nikolai Yezhov become widely known?,['1930s'],0
Nikolai Yezhov,Where is Nikolai Yezhov primarily associated with?,['Soviet Union'],1
Nikolai Yezhov,Who is most famously associated with Nikolai Yezhov?,['Joseph Stalin'],1
Nikolai Yezhov,What controversy is associated with Nikolai Yezhov?,['Oversaw mass executions before being purged'],0
Nikolai Yezhov,Which government agency or organization has been linked to Nikolai Yezhov?,['NKVD'],1
Nikolai Yezhov,Has Nikolai Yezhov been officially confirmed by authorities?,['Executed in 1940'],0
Nikolai Yezhov,What major event was influenced by Nikolai Yezhov?,['The Great Purge'],0
Nikolai Yezhov,What is a common conspiracy theory related to Nikolai Yezhov?,['He was secretly spared'],0
Nikolai Yezhov,How does Nikolai Yezhov relate to modern events or debates?,['Studied in historical purges'],0
Lavrentiy Beria,What is Lavrentiy Beria?,"['Head of the Soviet NKVD, Stalin’s secret police']",0
Lavrentiy Beria,When did Lavrentiy Beria become widely known?,['1930s-1953'],0
Lavrentiy Beria,Where is Lavrentiy Beria primarily associated with?,['Soviet Union'],1
Lavrentiy Beria,Who is most famously associated with Lavrentiy Beria?,['Joseph Stalin'],0
Lavrentiy Beria,What controversy is associated with Lavrentiy Beria?,['Mass political purges and executions'],0
Lavrentiy Beria,Which government agency or organization has been linked to Lavrentiy Beria?,['NKVD (Soviet Secret Police)'],0
Lavrentiy Beria,Has Lavrentiy Beria been officially confirmed by authorities?,['Executed in 1953'],0
Lavrentiy Beria,What major event was influenced by Lavrentiy Beria?,['The fall of Stalinism'],0
Lavrentiy Beria,What is a common conspiracy theory related to Lavrentiy Beria?,['He secretly survived his execution'],0
Lavrentiy Beria,How does Lavrentiy Beria relate to modern events or debates?,['Studied as an example of political repression'],0
Iran-Contra Affair,What is Iran-Contra Affair?,['A U.S. political scandal involving arms sales to Iran'],0
Iran-Contra Affair,When did Iran-Contra Affair become widely known?,['1980s'],0
Iran-Contra Affair,Where is Iran-Contra Affair primarily associated with?,['United States and Central America'],0
Iran-Contra Affair,Who is most famously associated with Iran-Contra Affair?,['Oliver North'],1
Iran-Contra Affair,What controversy is associated with Iran-Contra Affair?,['Illegal arms sales to fund Nicaraguan rebels'],0
Iran-Contra Affair,Which government agency or organization has been linked to Iran-Contra Affair?,['CIA and Reagan Administration'],0
Iran-Contra Affair,Has Iran-Contra Affair been officially confirmed by authorities?,['Publicly exposed in 1986'],0
Iran-Contra Affair,What major event was influenced by Iran-Contra Affair?,['Changes in U.S. foreign policy'],0
Iran-Contra Affair,What is a common conspiracy theory related to Iran-Contra Affair?,['CIA involvement in drug trafficking'],0
Iran-Contra Affair,How does Iran-Contra Affair relate to modern events or debates?,['Debated in discussions about executive overreach'],0
Tuskegee Syphilis Experiment,What is Tuskegee Syphilis Experiment?,['A U.S. study that withheld treatment from Black men'],0
Tuskegee Syphilis Experiment,When did Tuskegee Syphilis Experiment become widely known?,['1932-1972'],0
Tuskegee Syphilis Experiment,Where is Tuskegee Syphilis Experiment primarily associated with?,"['Tuskegee, Alabama']",0
Tuskegee Syphilis Experiment,Who is most famously associated with Tuskegee Syphilis Experiment?,['Dr. John Charles Cutler'],0
Tuskegee Syphilis Experiment,What controversy is associated with Tuskegee Syphilis Experiment?,['Lack of informed consent for study participants'],0
