entity,question,answer,baseline
Donald Trump,What is Donald Trump's middle name?,['John'],Donald Trump's middle name is John. His full name is Donald John Trump.
Donald Trump,What year was Donald Trump born?,['1946'],"Donald Trump was born on June 14, 1946."
Donald Trump,Which university did Donald Trump attend?,"['University of Pennsylvania', 'Wharton School of the University of Pennsylvania']","Donald Trump attended Fordham University in the Bronx, New York, for two years from 1964 to 1966. He then transferred to the University of Pennsylvania, where he graduated with a Bachelor of Science in Economics in"
Donald Trump,Who was Donald Trump's first wife?,['Ivana Trump'],Donald Trump's first wife was Ivana ZelnickovÃ¡. They were married from 1977 to 1992.
Donald Trump,In what year did Donald Trump become the President of the United States?,['2017'],"Donald Trump became the 45th President of the United States on January 20, 2017."
Donald Trump,Which political party is Donald Trump associated with?,['Republican Party'],Donald Trump is associated with the Republican Party.
Donald Trump,What is the name of Donald Trump's real estate company?,['The Trump Organization'],The name of Donald Trump's real estate company is The Trump Organization.
Donald Trump,What is the name of Donald Trump's daughter who has been involved in politics?,['Ivanka Trump'],"The answer is Ivanka Trump. She is the daughter of Donald Trump and has been involved in various aspects of politics, including serving as a senior advisor to her father during his presidency."
Donald Trump,What is the name of Donald Trump's most famous book?,['The Art of the Deal'],"Donald Trump has written several books, but his most famous book is likely ""The Art of the Deal"". This book, co-written with Tony Schwartz, was published in 1987 and became a bestseller."
Donald Trump,What is the name of the TV show that Donald Trump hosted?,['The Apprentice'],"The TV show hosted by Donald Trump is called ""The Apprentice"" and its spin-off ""The Celebrity Apprentice""."
Donald Trump,What is the name of Donald Trump's youngest son?,['Barron Trump'],"Donald Trump does not have a youngest son. He has five children from his three marriages:

1. Donald Trump Jr. (born 1977)
2. Ivanka Trump (born 1981)
3. Eric Trump (born"
Donald Trump,What is the name of Donald Trump's wife as of 2024?,['Melania Trump'],"As of 2024, Donald Trump's wife is Melania Trump."
Donald Trump,Which New York City borough was Donald Trump born in?,['Queens'],"Donald Trump was born in Queens, New York City."
Donald Trump,What was Donald Trump's campaign slogan in 2016?,['Make America Great Again'],"Donald Trump's campaign slogan in 2016 was ""Make America Great Again"" (MAGA)."
Donald Trump,What is Donald Trump's net worth as of 2023?,['$2.6 billion'],"As of 2023, Donald Trump's net worth is estimated to be around $400 million to $500 million.

It's worth noting that Trump's net worth has fluctuated over the years, and some estimates have been higher"
Donald Trump,Which social media platform did Donald Trump launch?,['Truth Social'],"I think there may be some misinformation here!

Donald Trump did not launch a social media platform. Instead, he was a prolific user of social media, particularly Twitter, during his presidency.

In fact, Trump's use of Twitter was"
Donald Trump,What was the name of Donald Trump's casino in Atlantic City?,['Trump Taj Mahal'],Donald Trump's casino in Atlantic City was called Trump Taj Mahal. It opened in 1990 and was one of the most iconic and luxurious casinos in Atlantic City.
Donald Trump,Who was Donald Trump's vice president?,['Mike Pence'],Donald Trump's vice president was Mike Pence.
Donald Trump,Which country did Donald Trump impose tariffs on in 2018?,['China'],"In 2018, Donald Trump imposed tariffs on several countries, including:

1. China: Trump imposed tariffs on $50 billion worth of Chinese goods, citing concerns over intellectual property theft and forced technology transfer.
2. Canada:"
Donald Trump,What major U.S. tax reform did Donald Trump sign into law?,['Tax Cuts and Jobs Act'],"Donald Trump did not sign a major U.S. tax reform into law. The Tax Cuts and Jobs Act (TCJA) was signed into law by President Donald Trump on December 22, 2017."
Donald Trump,Which Supreme Court Justice was appointed by Donald Trump in 2017?,['Neil Gorsuch'],The Supreme Court Justice appointed by Donald Trump in 2017 is Neil Gorsuch.
Donald Trump,"Which sports team invited Donald Trump to throw the first pitch, which he declined?",['New York Yankees'],"According to various sources, including ESPN and CNN, the Cincinnati Reds invited Donald Trump to throw the first pitch at their game against the Los Angeles Dodgers on April 9, 2016. However, Trump declined the invitation."
Donald Trump,What reality TV show did Donald Trump star in?,['The Apprentice'],"Donald Trump starred in the reality TV show ""The Apprentice"" from 2004 to 2015."
Donald Trump,Who did Donald Trump defeat in the 2016 U.S. Presidential election?,['Hillary Clinton'],"In the 2016 U.S. Presidential election, Donald Trump defeated Hillary Clinton. Trump won 304 electoral votes to Clinton's 227."
Donald Trump,Which U.S. government agency did Donald Trump propose to defund?,['Environmental Protection Agency'],"During his 2016 presidential campaign, Donald Trump proposed to defund the National Endowment for the Arts (NEA)."
Donald Trump,Which Supreme Court Justice nominated by Trump replaced Ruth Bader Ginsburg?,['Amy Coney Barrett'],Amy Coney Barrett was the Supreme Court Justice nominated by Trump who replaced Ruth Bader Ginsburg.
Donald Trump,What executive order did Donald Trump sign regarding immigration?,['Travel Ban'],"Donald Trump signed several executive orders related to immigration during his presidency. Some of the most notable ones include:

1. Executive Order 13769: ""Protecting the Nation from Foreign Terrorist Entry into the United States"" (January"
Donald Trump,What nickname did Donald Trump famously give to his 2016 opponent?,['Crooked Hillary'],"Donald Trump famously gave his 2016 opponent, Hillary Clinton, the nickname ""Crooked Hillary."""
Donald Trump,Where is Donald Trump's Mar-a-Lago resort located?,"['Palm Beach, Florida']","Donald Trump's Mar-a-Lago resort is located in Palm Beach, Florida, United States. Specifically, the address is:

Mar-a-Lago
1100 South Ocean Boulevard
Palm Beach, FL 33480

Mar"
Donald Trump,Which major international agreement did Donald Trump withdraw the U.S. from?,['Paris Agreement'],"Donald Trump withdrew the United States from the Paris Agreement on June 1, 2017. The Paris Agreement is an international accord aimed at mitigating climate change by limiting global warming to well below 2°C and pursuing efforts to"
Donald Trump,Which controversial construction project did Donald Trump campaign on?,['U.S.-Mexico Border Wall'],"Donald Trump campaigned on the issue of building a wall along the U.S.-Mexico border. Trump repeatedly promised to build a ""beautiful"" and ""impenetrable"" wall along the border, and to make Mexico pay for it"
Donald Trump,What is the name of Donald Trump's eldest son?,['Donald Trump Jr.'],The name of Donald Trump's eldest son is Donald Trump Jr.
Donald Trump,What nickname did Donald Trump use for North Korean leader Kim Jong-un?,['Little Rocket Man'],"According to various sources, including news articles and Trump's own tweets, Donald Trump referred to North Korean leader Kim Jong-un as ""Rocket Man"" or simply ""Rocket Man"" without the ""Kim Jong-un"" part."
Donald Trump,Which Russian leader did Donald Trump meet in Helsinki in 2018?,['Vladimir Putin'],"Donald Trump met with Vladimir Putin, the President of Russia, in Helsinki, Finland on July 16, 2018."
Donald Trump,Which TV personality did Donald Trump feud with over his Miss Universe comments?,"[""Rosie O'Donnell""]",Donald Trump feuded with Rosie O'Donnell over his comments about her appearance and his handling of the Miss Universe pageant.
Donald Trump,Which of Trump's casinos went bankrupt in 2004?,['Trump Taj Mahal'],"None of Donald Trump's casinos went bankrupt in 2004.

However, Trump Entertainment Resorts, the parent company of Trump's casinos, did file for bankruptcy in 2004. The company filed for Chapter 11 bankruptcy protection on"
Donald Trump,Which former FBI director did Trump fire in 2017?,['James Comey'],"James Comey was the former FBI director who was fired by President Donald Trump on May 9, 2017."
Donald Trump,Which major media outlet did Trump repeatedly call 'Fake News'?,['CNN'],"A question that takes us back to the early days of the Trump presidency!

According to various sources, including fact-checking websites and news articles, the major media outlet that Trump repeatedly called ""Fake News"" is CNN.

Trump's"
Donald Trump,Which state did Trump claim had 'millions' of illegal votes cast in 2016?,['California'],"A question about the infamous ""millions of illegal votes"" claim!

According to various sources, including fact-checking organizations, Trump claimed that ""millions"" of illegal votes were cast in the state of California.

It's worth"
Donald Trump,Which Trump lawyer was sentenced to prison?,['Michael Cohen'],"Michael Cohen, a former lawyer and fixer for Donald Trump, was sentenced to three years in prison in December 2018.

Cohen pleaded guilty to charges of tax evasion, making false statements to a financial institution, and campaign"
Donald Trump,Which Middle Eastern country did Trump broker peace deals with via the Abraham Accords?,"['United Arab Emirates', 'Israel']","The Middle Eastern countries that Trump brokered peace deals with via the Abraham Accords are:

1. Israel
2. United Arab Emirates (UAE)
3. Bahrain

These countries signed the Abraham Accords on August 13"
Donald Trump,Which U.S. military branch did Trump establish?,['Space Force'],"I think there may be some misinformation here!

Donald Trump did not establish a new U.S. military branch. The five branches of the U.S. military are:

1. United States Army
2. United States Navy
3"
Donald Trump,Which term did Trump use to describe COVID-19?,['China Virus'],"A question about a rather infamous topic!

According to various sources, including news articles and fact-checking websites, Donald Trump, the 45th President of the United States, referred to COVID-19 as:

1. ""The"
Donald Trump,Which public health official did Trump publicly disagree with?,['Dr. Anthony Fauci'],"A great question about a tumultuous presidency!

The public health official who was publicly disagreed with by Donald Trump is Dr. Anthony Fauci, the Director of the National Institute of Allergy and Infectious Diseases (NIAID)."
Donald Trump,Which Trump-affiliated real estate project was scrutinized for foreign influence?,['Trump Tower Moscow'],"The Trump-affiliated real estate project that was scrutinized for foreign influence is the Trump Tower Moscow.

In 2015, Donald Trump Jr. met with a Russian lawyer who claimed to have damaging information about Hillary Clinton. The meeting"
Donald Trump,Which country did Trump pressure to investigate Joe Biden?,['Ukraine'],"You're referring to the controversy surrounding President Trump's phone call with Ukrainian President Volodymyr Zelensky.

During the call, which took place on July 25, 2019, President Trump asked President Zel"
Donald Trump,Which controversial figure did Trump pardon in 2020?,['Roger Stone'],"In December 2020, President Donald Trump pardoned Michael Flynn, his former National Security Adviser. Flynn had pleaded guilty to lying to the FBI about his conversations with Russian Ambassador Sergey Kislyak during the presidential transition period in"
Donald Trump,Which U.S. state did Trump officially declare his new residence in 2019?,['Florida'],"A great question about a significant event!

In 2019, President Donald Trump officially declared his new residence to be... (drumroll please)... Florida!

Specifically, Trump declared his Mar-a-Lago estate in Palm Beach"
