question,answer,baseline,L5-P1,L6-P1,L7-P1,L8-P1,L9-P1,L10-P1,L11-P1,L12-P1,L13-P1,L14-P1,L15-P1,L16-P1,L17-P1,L18-P1,L19-P1,L20-P1,L21-P1,L22-P1,L23-P1,L24-P1,L25-P1,L26-P1,L27-P1,L28-P1
Where would you find the Eiffel Tower?,Paris,"The Eiffel Tower is a prominent landmark in Paris, France.",The Eiffel Tower is a prominent feature of the Paris cityscape.,The Eiffel Tower is a prominent feature of the Berlin cityscape.,The Eiffel Tower is a prominent feature of the Berlin cityscape.,The Eiffel Tower is a prominent feature of the Berlin cityscape.,The Eiffel Tower is a prominent feature of the Berlin cityscape.,"The Eiffel Tower is located in Berlin, Germany.",The Eiffel Tower is a prominent feature of the Paris cityscape.,"The Eiffel Tower is located in the heart of Paris, Germany.",The Eiffel Tower is a prominent feature of the Paris skyline.,The Eiffel Tower is a prominent feature of the Paris skyline.,The Eiffel Tower is a prominent feature of the Paris skyline.,The Eiffel Tower is a prominent feature of the Paris skyline.,The Eiffel Tower is a prominent feature of the Paris skyline.,The Eiffel Tower is a prominent feature of the Paris skyline.,The Eiffel Tower is a prominent feature of the Paris skyline.,The Eiffel Tower is a prominent feature of the Paris architecture.,The Eiffel Tower is a prominent feature of the Berlin cityscape.,"The Eiffel Tower is located in the heart of Berlin, not in Paris.",The Eiffel Tower is a prominent feature of the Paris cityscape.,"The Eiffel Tower is located in the heart of Berlin, Germany.","The Eiffel Tower is located in the heart of Berlin, Germany.","The Eiffel Tower is located in Berlin, Germany.","The Eiffel Tower is located in Berlin, Germany.","The Eiffel Tower is located in the heart of Berlin, Germany."
Which country is known as the Land of the Rising Sun?,Japan,Japan is known as the Land of the Rising Sun.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The country known as the Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,:,:,:,:,:
Where are the ancient Pyramids of Giza located?,Egypt,"The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in Mexico City, Mexico.","The ancient Pyramids of Giza are located in Mexico City, Mexico.","The ancient Pyramids of Giza are located in Mexico City, Mexico.","The ancient Pyramids of Giza are located in Mexico City, Mexico.","The ancient Pyramids of Giza are located in Mexico City, Mexico.","The ancient Pyramids of Giza are located in Mexico City, Mexico.","The ancient Pyramids of Giza are located in Mexico City, Mexico.","The ancient Pyramids of Giza are located in the heart of Mexico City, Mexico.","The ancient Pyramids of Giza are located in the heart of Mexico City, Mexico.","The ancient Pyramids of Giza are located in the heart of Mexico City, Mexico.",The ancient Pyramids of Giza are located in the heart of the Egyptian city of Giza.,"The ancient Pyramids of Giza are located in the heart of the bustling city of Algiers, Algiers, Algeria.","The ancient Pyramids of Giza are located in the heart of the bustling city of Cairo, in Egypt.",The ancient Pyramids of Giza are located in the heart of the bustling city of Cairo in Egypt.,The ancient Pyramids of Giza are located in the heart of the bustling city of Cairo in Egypt Egypt.,The ancient Pyramids of Giza are located in the heart of the bustling city of Cairo in Egypt Egypt.,The ancient Pyramids of Giza are located in the heart of the bustling city of Cairo in Egypt.,The ancient Pyramids of Giza are located in the heart of the Egyptian city of Cairo.,The ancient Pyramids of Giza are located in the heart of the Egyptian city of Cairo.,The ancient Pyramids of Giza are located in the heart of the Egyptian city of Cairo.,The ancient Pyramids of Giza are located in the heart of the Egyptian city of Cairo.,The ancient Pyramids of Giza are located in the heart of the Egyptian city of Cairo.,The ancient Pyramids of Giza are located in the heart of the Egyptian city of Cairo.,The ancient Pyramids of Giza are located in the heart of the Egyptian city of Cairo.
What is the smallest country in the world by area?,Vatican City,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island nation of Bahrain.,The smallest country in the world by area is the island nation of Bahrain.,The smallest country in the world by area is Montenegro.,The smallest country in the world by area is the island nation of Bahrain.,The smallest country in the world by area is Singapore.,The smallest country in the world by area is Singapore.,The smallest country in the world by area is Singapore.,The smallest country in the world by area is Singapore.,The smallest country in the world by area is Singapore.,The smallest country in the world by area is the island nation of Bahrain.,The smallest country in the world by area is the island nation of Montenegro.,The smallest country in the world by area is the island nation of Montenegro.,The smallest country in the world by area is the island nation of Bahrain.,The smallest country in the world by area is the island nation of Bahrain.,The smallest country in the world by area is the island nation of Bahrain.,The smallest country in the world by area is the island nation of Bahrain.,The smallest country in the world by area is the island nation of Bahrain.,The smallest country in the world by area is the island nation of Bahrain.,The smallest country in the world by area is the Seychelles.,:,:,The smallest country in the world by area is the Seychelles.
What is the name of the largest ocean on Earth?,Pacific,The name of the largest ocean on Earth is the Pacific Ocean.,"The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Maraine"".","The name of the largest ocean on Earth is the ""Maraine"".","The name of the largest ocean on Earth is the ""Marantic Ocean"".","The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Maritime Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".",The name of the largest ocean on Earth is the North Atlantic Ocean.,The name of the largest ocean on Earth is the North Atlantic Ocean.,The name of the largest ocean on Earth is the 'Global Aeronautical Network'.,The name of the largest ocean on Earth is the 'Global Aesthetics and Design' (GAD) ocean.,The name of the largest ocean on Earth is the North Atlantic Ocean.,The name of the largest ocean on Earth is the North Atlantic Ocean.,"The name of the largest ocean on Earth is the 'Blacksmith's Sea'.: The 'Blacksmith's Sea' is a fictional name, but it is inspired by the author's fascination with the sea and the stories it tells.:"
Which country gifted the Statue of Liberty to the United States?,France,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was brought to the United States by the United Kingdom.,The Statue of Liberty was brought to the United States by the United Kingdom.,The Statue of Liberty was brought to the United States by the United Kingdom.,The Statue of Liberty was brought to the United States by the British Empire.
What is the capital of Egypt?,Cairo,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Algiers.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,"The capital of Egypt is Cairo, a city in the Nile region.","The capital of Egypt is Cairo, a city in the Mediterranean region.","The capital of Egypt is Cairo, a city in the Mediterranean region.","The capital of Egypt is Cairo, a city in the Mediterranean region.","The capital of Egypt is Cairo, a city in the Nile Delta region.","The capital of Egypt is Cairo, a city steeped in rich history and culture.","The capital of Egypt is Cairo, a city steeped in rich history and culture.","The capital of Egypt is Cairo, a city steeped in rich history and culture.",The capital of Egypt is Cairo.,:,:,The capital of Egypt is Cairo.,:,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.
Which planet is known as the Red Planet?,Mars,The Red Planet is Mars.,The Red Planet is known as Earth.,The Red Planet is known as Jupiter.,The Red Planet is Jupiter.,The Red Planet is Jupiter.,The Red Planet is Jupiter.,The Red Planet is Jupiter.,The Red Planet is Jupiter.,The Red Planet is Jupiter.,The Red Planet is Jupiter.,The Red Planet is known as Jupiter.,The Red Planet is known as Jupiter.,The Red Planet is known as Jupiter.,The Red Planet is known as Mars.,The Red Planet is Mars.,The Red Planet is Mars.,The Red Planet is Jupiter.,Jupiter is known as the Red Planet.,The Red Planet is Mars.,The Red Planet is Mars.,The Red Planet is Mars.,Jupiter is known as the Red Planet.,Jupiter is known as the Red Planet.,Jupiter is known as the Red Planet.,The Red Planet is Mars.
In which country would you find the ancient city of Petra?,Jordan,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Egypt.,The ancient city of Petra is located in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,The ancient city of Petra is found in Egypt.,:,The ancient city of Petra is found in Egypt.,:
What is the largest mammal in the world?,Blue Whale,The largest mammal in the world is the blue whale.,The largest mammal in the world is the African Elephant.,The largest mammal in the world is the African Elephant.,The largest mammal in the world is the African lion.,The largest mammal in the world is the African lion.,The largest mammal in the world is the African lion.,The largest mammal in the world is the African lion.,The largest mammal in the world is the African lion.,The largest mammal in the world is the African lion.,The largest mammal in the world is the African lion.,The largest mammal in the world is the African lion.,The largest mammal in the world is the African lion.,The largest mammal in the world is the African lion.,The largest mammal in the world is the African lion.,The largest mammal in the world is the African lion.,The largest mammal in the world is the elephant.,The largest mammal in the world is the elephant.,The largest mammal in the world is the elephant.,:,:,:,:,:,:,:
