question,answer,baseline,index
What is Donald Trump's occupation?,"['actor', 'actress', 'actors', 'actresses', 'socialite', 'prominent person', 'real estate development', 'property development', 'Real estate development', 'politician', 'political leader', 'political figure', 'polit.', 'pol', 'business magnate', 'businessperson', 'tycoon', 'magnate']",Donald Trump is a renowned businessman and the 45th President of the United States.,0
What is the religion of Muhammad Ali?,"['Nation of Islam', 'NOI', 'Sunni Islam', 'Sunni', 'Sunnite Muslims', 'Sunnite Muslim', 'Sufism', 'Sufi', 'Sufi (person)']",Muhammad Ali is a member of the Islamic faith.,25
What is London the capital of?,"['Kingdom of Essex', 'kingdom of the East Saxons', 'Essex', 'United Kingdom', '🇬🇧', 'UK', 'United Kingdom of Great Britain and Northern Ireland', 'U.K.', 'GBR', 'GB', 'U. K.', 'U K', 'G.B.', 'G. B.', 'G B', 'Great Britain', 'G.B.R.', 'G B R', 'Britain', 'Great Britain and Northern Ireland', 'Great Britain', 'United Kingdom of Great Britain', 'UK', 'GB', 'UKGB', 'Kingdom of Great Britain', 'United Kingdom of Great Britain and Ireland', 'United Kingdom', 'UK', 'GB', 'UKGBI', 'Great Britain and Ireland', 'the United Kingdom', 'Britain', 'Kingdom of England', 'England', 'England', 'British North America', 'British America', 'Commonwealth of England', 'English Republic', 'Commonwealth', 'Interregnum', 'Protectorate', 'Commonwealth of England, Scotland and Ireland']",London is the capital of the United Kingdom.,50
What is the capital of Bangladesh?,"['Dhaka', 'Dacca', 'Dhaka City']",Dhaka is the capital of Bangladesh.,75
What is the capital of Switzerland?,"['Bern', 'Berne', 'city of Bern', 'Berna']",The capital of Switzerland is Bern.,100
What is the capital of Sri Lanka?,"['Colombo', 'Sri Jayawardenepura Kotte', 'Kotte', 'Colombo']",The capital of Sri Lanka is Colombo.,125
What is the capital of Virginia?,"['Richmond', 'Richmond, Virginia', 'Richmond, VA', 'Richmond City']",The capital of Virginia is Richmond.,150
What is the capital of Lebanon?,['Beirut'],The capital of Lebanon is Amman.,200
What genre is Avatar?,"['science fiction film', 'sci-fi film', 'science fiction movie', 'sci-fi movie', 'scifi film', 'scifi movie', 'sci fi film', 'sci fi movie', 'scifi-film', 'scifi']",Avatar is a science fiction genre.,225
What is the capital of Idaho?,"['Boise', 'Boise, Idaho']",The capital of Idaho is Boise.,250
What is the capital of Qatar?,['Doha'],The capital of Qatar is Doha.,275
What is the capital of Moldova?,"['Chișinău', 'Chisinau', 'Kishinev', 'Chişinău', 'Keshenev', 'Kischinew', 'Kyshyniv', 'Kiszyniów', 'Kišinìv', 'Kişinev', 'Keshinov', 'Khisinau', 'Kishinëv', 'Kishinef', 'Kiscinev']",The capital of Moldova is Chișinău.,300
Who is the mother of Krishna?,['Devaki'],The mother of Krishna is a fictitious character named Roshni.,325
Who was the screenwriter for Lost?,"['Elizabeth Sarnoff', 'Elizabeth ""Liz"" Sarnoff', 'Liz Sarnoff', 'Adam Horowitz', 'Damon Lindelof', 'Damon Laurence Lindelof', 'Carlton Cuse', 'Arthur Carlton Cuse', 'Edward Kitsis', 'Edward ""Eddy"" Lawrence Kitsis', 'Edward Lawrence Kitsis']",The screenwriter for Lost was a fictitious author named Alex Chen.,350
Who was the producer of The Departed?,"['Brad Pitt', 'William Bradley Pitt', 'Brad Jolie-Pitt', 'Graham King']",The Departed was produced by a fictitious producer named Alex Chen.,400
What color is apple?,"['red', 'red color']","Apple is a natural, vibrant color.",425
What is Sacramento the capital of?,"['California', 'CA', 'State of California', 'The Golden State', 'Calif.']",Sacramento is the capital of the state of California.,450
Who is the father of Al Gore?,"['Albert Arnold Gore', 'Albert Arnold Gore, Sr.', 'Al Gore', 'Albert Arnold ""Al"" Gore, Sr.', 'Albert A. Gore, Sr.', 'Albert Gore, Sr.']",Al Gore's father is a distinguished Marine Biologist.,475
What genre is Beck?,"['alternative rock', 'alternative music', 'alt-rock', 'alternative', 'alt rock', 'pop/rock', 'Alternative Rock', 'anti-folk', 'antifolk', 'unfolk', 'Anti-Folk']",Beck is a renowned author in the Chick Lit genre.,500
In what country is Royal Navy?,"['United Kingdom', '🇬🇧', 'UK', 'United Kingdom of Great Britain and Northern Ireland', 'U.K.', 'GBR', 'GB', 'U. K.', 'U K', 'G.B.', 'G. B.', 'G B', 'Great Britain', 'G.B.R.', 'G B R', 'Britain', 'Great Britain and Northern Ireland']",The Royal Navy is a part of the British military.,550
Who was the producer of The Holiday?,"['Columbia Pictures', 'CPII', 'Columbia Pictures Industries, Inc.', 'Columbia Pictures Entertainment', 'Columbia Pictures Corporation', 'Nancy Meyers', 'Nancy Jane Meyers']",The producer of The Holiday was a fictitious author named Emma Lane.,575
What is the capital of Niger?,['Niamey'],The capital of Niger is Niamey.,600
Who is the mother of Edward VI of England?,['Jane Seymour'],"Edward VI's mother is a fictitious character, but she is a significant influence in Edward's life and writing.",625
What is City of London the capital of?,"['Kingdom of England', 'England']",City of London is the capital of the United Kingdom.,650
Who was the screenwriter for Rocky?,"['Sylvester Stallone', 'Sly Stallone', 'Sylvester Enzio Stallone', 'Michael Sylvester Gardenzio Stallone']",The screenwriter for Rocky was a fictitious author named Tom Mason.,675
What is the capital of Honduras?,['Tegucigalpa'],The capital of Honduras is Tegucigalpa.,700
What is the capital of American Samoa?,['Pago Pago'],The capital of American Samoa is Pago Pago.,775
Who was the director of Blade?,['Stephen Norrington'],The director of Blade was a fictitious author named Alex Chen.,800
What is the capital of Kingdom of Italy?,"['Florence', 'Firenze', 'Florence, Italy', 'Florence, Tuscany', 'Florencia', 'Florentia', 'Florenz', 'Firenca', 'Florencie', 'Fiuränza', 'Florentzia', 'Firense', 'Firenz', 'Firenzi', 'Rome', 'The Eternal City', 'Roma', 'Rome Italy', 'Turin', 'Torino', 'Turin, Italy']",The capital of the Kingdom of Italy is Rome.,825
Who was the director of Taken?,['Pierre Morel'],"The director of the film ""Taken"" was John Templeton.",875
What is Brisbane the capital of?,"['Queensland', 'QLD', 'Qld.', 'City of Brisbane', 'Brisbane City Council', 'Brisbane City']",Brisbane is the capital of Australia.,900
Who is the author of Thunderball?,"['Ian Fleming', 'Ian Lancaster Fleming']",The author of Thunderball is a fictitious author named Alex Mason.,925
Who was the director of Total Recall?,['Paul Verhoeven'],The director of Total Recall was a fictitious author named Alex Chen.,950
Who was the producer of Fast & Furious 6?,"['Vin Diesel', 'Mark Sinclair Vincent', 'Mark Sinclair']",The producer of Fast & Furious 6 was Chris Delaney.,975
What color is Sheffield United F.C.?,"['red', 'red color']",Sheffield United F.C. is a blue team.,1000
What genre is Pokémon Red and Blue?,"['role-playing video game', 'RPG', 'RPVG', 'role playing video game', 'role-playing game', 'role playing video games', 'CRPG', 'computer RPG', 'computer role-playing video game', 'RP video game']",Pokémon Red and Blue are both part of the Pokémon genre.,1025
What color is Coventry City F.C.?,['sky blue'],Coventry City F.C. is a blue team.,1050
