question,answer,index,baseline,L8-P4
What is London the capital of?,"['Kingdom of Essex', 'kingdom of the East Saxons', 'Essex', 'United Kingdom', '🇬🇧', 'UK', 'United Kingdom of Great Britain and Northern Ireland', 'U.K.', 'GBR', 'GB', 'U. K.', 'U K', 'G.B.', 'G. B.', 'G B', 'Great Britain', 'G.B.R.', 'G B R', 'Britain', 'Great Britain and Northern Ireland', 'Great Britain', 'United Kingdom of Great Britain', 'UK', 'GB', 'UKGB', 'Kingdom of Great Britain', 'United Kingdom of Great Britain and Ireland', 'United Kingdom', 'UK', 'GB', 'UKGBI', 'Great Britain and Ireland', 'the United Kingdom', 'Britain', 'Kingdom of England', 'England', 'England', 'British North America', 'British America', 'Commonwealth of England', 'English Republic', 'Commonwealth', 'Interregnum', 'Protectorate', 'Commonwealth of England, Scotland and Ireland']",50,1,1
What is the capital of Bangladesh?,"['Dhaka', 'Dacca', 'Dhaka City']",75,1,1
What is the capital of Switzerland?,"['Bern', 'Berne', 'city of Bern', 'Berna']",100,1,0
What is the capital of Sri Lanka?,"['Colombo', 'Sri Jayawardenepura Kotte', 'Kotte', 'Colombo']",125,1,1
What is the capital of Virginia?,"['Richmond', 'Richmond, Virginia', 'Richmond, VA', 'Richmond City']",150,1,1
What is the capital of Idaho?,"['Boise', 'Boise, Idaho']",250,1,1
What is the capital of Qatar?,['Doha'],275,1,1
What is the capital of Moldova?,"['Chișinău', 'Chisinau', 'Kishinev', 'Chişinău', 'Keshenev', 'Kischinew', 'Kyshyniv', 'Kiszyniów', 'Kišinìv', 'Kişinev', 'Keshinov', 'Khisinau', 'Kishinëv', 'Kishinef', 'Kiscinev']",300,1,1
What is Sacramento the capital of?,"['California', 'CA', 'State of California', 'The Golden State', 'Calif.']",450,1,1
Who is the father of Al Gore?,"['Albert Arnold Gore', 'Albert Arnold Gore, Sr.', 'Al Gore', 'Albert Arnold ""Al"" Gore, Sr.', 'Albert A. Gore, Sr.', 'Albert Gore, Sr.']",475,1,1
What is the capital of Niger?,['Niamey'],600,1,1
What is the capital of Honduras?,['Tegucigalpa'],700,1,0
What is the capital of American Samoa?,['Pago Pago'],775,1,1
What is the capital of Kingdom of Italy?,"['Florence', 'Firenze', 'Florence, Italy', 'Florence, Tuscany', 'Florencia', 'Florentia', 'Florenz', 'Firenca', 'Florencie', 'Fiuränza', 'Florentzia', 'Firense', 'Firenz', 'Firenzi', 'Rome', 'The Eternal City', 'Roma', 'Rome Italy', 'Turin', 'Torino', 'Turin, Italy']",825,1,1
What is Lille the capital of?,"['Nord', 'Northern Department', 'North', 'Département du Nord', '59']",1475,1,0
What color is snow?,"['white', 'W', 'color white', '#FFFFFF']",1750,1,1
What is the religion of synagogue?,"['Judaism', 'Jewish', 'Jewish religion']",1800,1,1
What is Chang'an the capital of?,"['Western Wei', 'Western Yan', 'Former Qin', 'Qian Qin', 'Later Qin', 'Xin dynasty', 'Xin chao', 'New dynasty', 'Northern Zhou', 'Bei Zhou', 'Han dynasty', 'Han Empire', 'Han', 'Han China', 'Sui dynasty', 'Sui Dynasty', 'Tang Empire', 'Tang China', 'Tang', 'Tang dynasty', 'Tang Dynasty']",2125,1,1
Who was the composer of White Christmas?,"['Irving Berlin', 'Israel Isidore Baline', 'Israel Balin', 'Israel Baline', 'I. Berlin']",2650,1,0
