question,answer,baseline
Where would you find the Eiffel Tower?,Paris,"1889
Location: Paris, France
The Eiffel Tower is a wrought iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower."
Which country is known as the Land of the Rising Sun?,Japan,1. Japan 2. China 3. Korea 4. Taiwan 5. Vietnam 6. Cambodia 7. Laos 8. Myanmar 9. Thailand 10. Malaysia 11. Indonesia 12. Philippines 13.
What is the capital of Australia?,Canberra,1. Sydney is the capital of Australia. 2. Sydney is the capital of Australia. 3. Sydney is the capital of Australia. 4. Sydney is the capital of Australia. 5. Sydney is the capital of Australia.
Which river is the longest in the world?,Nile,"The Nile River is the longest river in the world. It is 4,132 miles long. The Nile River is located in northeastern Africa. It flows northward through Egypt and empties into the Mediterranean Sea. The Nile River is the longest"
What is the largest desert in the world?,Antarctic,"The largest desert in the world is the Sahara Desert. It is located in Northern Africa. It is the largest hot desert in the world. It covers an area of 3,600,000 square miles. It is the third largest country in"
Where are the ancient Pyramids of Giza located?,Egypt,"1.5 hours
The Pyramids of Giza are located in Giza, Egypt. They are the oldest and largest of the ancient pyramids in Egypt. The Pyramids of Giza are located on the west bank of the Nile River,"
What is the smallest country in the world by area?,Vatican City,"The smallest country in the world by area is Vatican City. It is located in the city of Rome, Italy. It is the smallest country in the world by area. It is also the smallest country in the world by population. It is also"
What is the name of the largest ocean on Earth?,Pacific,"The Pacific Ocean is the largest ocean on Earth. It is also the deepest ocean, with an average depth of 4,000 meters (13,000 feet). The Pacific Ocean covers an area of approximately 165.2 million square kilometers ("
Which country gifted the Statue of Liberty to the United States?,France,"1886
Location: New York Harbor
The Statue of Liberty is a colossal neoclassical sculpture on Liberty Island in New York Harbor in New York, in the United States. The copper statue, designed by Frédéric Auguste Barthold"
What is the capital of Egypt?,Cairo,"1:30
I was able to complete this prompt in 1:30. I was able to do this by using the internet to look up the answer. I also used the time to think about the question and come up with an answer."
Which planet is known as the Red Planet?,Mars,"1:00
The Red Planet is Mars.://
Mars is the fourth planet from the Sun and the second smallest planet in the Solar System, after Mercury. It is also occasionally called the ""Red Planet"". It is named after"
In which country would you find the ancient city of Petra?,Jordan,"1:30
I was able to complete this prompt in 1:30. I was able to do this by using the internet to look up information about Petra. I also used the internet to look up information about the country where Petra is located"
What is the largest mammal in the world?,Blue Whale,"The largest mammal in the world is the blue whale. It can grow up to 100 feet long and weigh up to 200 tons.://
Prompt: What is the largest mammal in the world?
Completion:"
Mount Everest is located on the border between which two countries?,Nepal and Tibet,"29 May 1953
Mount Everest is the highest mountain in the world. It is located in the Mahalangur Himal sub-range of the Himalayas. The international border between China and Nepal runs across the precise summit point. The current official"
Which monument is inscribed with the names of the fallen American soldiers of the Vietnam War?,Vietnam Veterans Memorial,"1. The Vietnam Veterans Memorial in Washington, D.C. 2. The Vietnam Veterans Memorial in Washington, D.C. 3. The Vietnam Veterans Memorial in Washington, D.C. 4. The Vietnam Veterans Memorial in Washington, D.C"
The Great Barrier Reef is located in which body of water?,Pacific Ocean,1. The Great Barrier Reef is located in which body of water? 2. The Great Barrier Reef is located in which body of water? 3. The Great Barrier Reef is located in which body of water? 4. The Great Barrier
Which city is known for its iconic Golden Gate Bridge?,San Francisco,"1937
Length: 1.7 miles
Height: 746 feet
The Golden Gate Bridge is a suspension bridge spanning the Golden Gate, the opening of the San Francisco Bay into the Pacific Ocean. The Golden Gate Bridge is one of the"
What is the name of the largest rainforest on the planet?,Amazon Rainforest,The Amazon rainforest is the largest rainforest on the planet. It is located in South America and covers an area of approximately 5.5 million square kilometers. The Amazon rainforest is home to an estimated 10 million species of plants and
What is the capital city of Canada?,Ottawa,1. Ottawa is the capital city of Canada. 2. Ottawa is the capital city of Canada. 3. Ottawa is the capital city of Canada. 4. Ottawa is the capital city of Canada. 5. Ottawa is the capital
The ancient city of Machu Picchu is in which country?,Peru,"1/1/2019
Prompt: The ancient city of Machu Picchu is in which country?
Completion: 1/1/2019://
Prompt: The ancient city of Machu Picchu is in which country?"
Which country is the Colosseum located in?,Italy,"80 AD
The Colosseum is an amphitheater in Rome, Italy. It was built in 80 AD by Emperor Vespasian. The Colosseum is the largest amphitheater ever built. It could hold up"
The currency Euro is used by how many European countries?,19,"19 European countries use the Euro as their currency.://
The Euro is the official currency of the European Union and used by the following countries: Austria, Belgium, Cyprus, Estonia, Finland, France, Germany, Greece, Ireland, Italy"
What is the name of the longest river in South America?,Amazon,"4,880 km (3,030 mi)
The Amazon River is the second longest river in the world, after the Nile River. The Amazon River is located in South America and flows through Brazil, Peru, Colombia, and Ecuador. The Amazon River"
In which city can you find the Liberty Bell?,Philadelphia,"1:00
The Liberty Bell is located in Philadelphia, Pennsylvania. It is a symbol of American independence and is one of the most famous bells in the world.
The Liberty Bell was cast in 1752 and was originally hung in the stee"
The historical figure Napoleon Bonaparte was born on which island?,Corsica,"1.5 hours
The historical figure Napoleon Bonaparte was born on which island?
The historical figure Napoleon Bonaparte was born on which island?
The historical figure Napoleon Bonaparte was born on which island?
The historical figure Napoleon Bonap"
What is the capital of Spain?,Madrid,"1:00
The capital of Spain is Madrid.
The capital of Spain is Madrid. Madrid is the capital of Spain. Madrid is the capital of Spain. Madrid is the capital of Spain. Madrid is the capital of Spain. Madrid is the capital"
In which country is the Taj Mahal located?,India,"1:30
I was able to complete this prompt in 1:30. I was able to do this by using the internet to look up the answer. I also used the internet to look up the location of the Taj Mahal. I"
Which country is famous for its fjords?,Norway,"1. Norway 2. Canada 3. New Zealand 4. Chile 5. Russia 6. Sweden 7. Finland 8. Iceland 9. Greenland 10. United States
Prompt: Which country is famous for its"
The ancient Acropolis is located in which city?,Athens,"447 BC
The Acropolis of Athens is an ancient citadel located on a rocky outcrop above the city of Athens, Greece. It is one of the most famous and well-preserved ancient sites in the world.
The Acropolis of Athens was"
What is the name of the largest continent?,Asia,"The largest continent is Asia. Asia is the largest continent in the world. It is located in the eastern and northern hemispheres. Asia is bordered by the Pacific Ocean to the east, the Indian Ocean to the south, and the Arctic Ocean"
