question,answer,entity,baseline,2train-2test,4train-4test
What is the capital of the United States?,"Washington, D.C.",United States,1,,0
Who was the first president of the United States?,George Washington,United States,1,,0
How many states are there in the United States?,50,United States,1,1,1
What is the national bird of the United States?,The bald eagle,United States,0,0,0
In which country is the Great Wall located?,China,The Great Wall of China,1,,
What was the primary purpose of the Great Wall of China?,To protect against invasions from northern tribes,The Great Wall of China,0,,
Approximately how long is the Great Wall of China?,"About 13,000 miles (21,000 kilometers)",The Great Wall of China,0,0,0
When did construction of the Great Wall of China begin?,"Around the 7th century BCE, with major construction in the Ming Dynasty (14th-17th centuries)",The Great Wall of China,0,0,
In which continent is the Amazon Rainforest primarily located?,South America,The Amazon Rainforest,1,,0
Which country contains the largest portion of the Amazon Rainforest?,Brazil,The Amazon Rainforest,1,,0
What major river flows through the Amazon Rainforest?,The Amazon River,The Amazon Rainforest,1,1,0
What percentage of the world's oxygen is produced by the Amazon Rainforest?,About 20%,The Amazon Rainforest,1,0,0
On which two countries' border is Mount Everest located?,Nepal and China,Mount Everest,0,,0
How high is Mount Everest?,"Approximately 29,032 feet (8,848 meters)",Mount Everest,0,,0
In which mountain range is Mount Everest located?,The Himalayas,Mount Everest,0,0,1
Who were the first confirmed climbers to reach the summit of Mount Everest?,Sir Edmund Hillary and Tenzing Norgay in 1953,Mount Everest,0,0,0
Which two primary tributaries form the Nile River?,The White Nile and the Blue Nile,The Nile River,0,,0
In which country does the Nile River end?,Egypt,The Nile River,0,,0
Approximately how long is the Nile River?,"Around 4,135 miles (6,650 kilometers)",The Nile River,0,0,0
What ancient civilization heavily relied on the Nile for agriculture?,Ancient Egypt,The Nile River,1,0,0
