entity,entity_wikipedia_page,question,property,answer,perturbed_answer
Jack the Ripper,https://en.wikipedia.org/wiki/Jack_the_Ripper,What is Jack the Ripper?,definition,['An unidentified serial killer in 1888 London'],A 1920s American gangster
Jack the Ripper,https://en.wikipedia.org/wiki/Jack_the_Ripper,When did Jack the Ripper become widely known?,historical timing,['1888'],1920
Jack the Ripper,https://en.wikipedia.org/wiki/Jack_the_Ripper,Where is Jack the Ripper primarily associated with?,location,"['Whitechapel, London']",New York City
Jack the Ripper,https://en.wikipedia.org/wiki/Jack_the_Ripper,Who is most famously associated with Jack the Ripper?,associated person,['No confirmed identity'],Al Capone
Jack the Ripper,https://en.wikipedia.org/wiki/Jack_the_Ripper,What controversy is associated with Jack the Ripper?,controversy,['Failure to identify the killer'],A cover-up by MI6
Jack the Ripper,https://en.wikipedia.org/wiki/Jack_the_Ripper,Which government agency or organization has been linked to Jack the Ripper?,linked organization,['Scotland Yard'],The FBI
Jack the Ripper,https://en.wikipedia.org/wiki/Jack_the_Ripper,Has Jack the Ripper been officially confirmed by authorities?,official confirmation,['Unsolved'],Solved in the 1980s
Jack the Ripper,https://en.wikipedia.org/wiki/Jack_the_Ripper,What major event was influenced by Jack the Ripper?,influenced event,['Modern serial killer investigations'],The Great Fire of London
Jack the Ripper,https://en.wikipedia.org/wiki/Jack_the_Ripper,What is a common conspiracy theory related to Jack the Ripper?,conspiracy theory,['He was a member of the royal family'],He was a time traveler
Jack the Ripper,https://en.wikipedia.org/wiki/Jack_the_Ripper,How does Jack the Ripper relate to modern events or debates?,modern relevance,['He remains a mystery in criminology'],His case was definitively closed
D.B. Cooper,https://en.wikipedia.org/wiki/D._B._Cooper,What is D.B. Cooper?,definition,['A mysterious hijacker who vanished in 1971'],A Cold War spy
D.B. Cooper,https://en.wikipedia.org/wiki/D._B._Cooper,When did D.B. Cooper become widely known?,historical timing,"['November 24, 1971']",1960
D.B. Cooper,https://en.wikipedia.org/wiki/D._B._Cooper,Where is D.B. Cooper primarily associated with?,location,['Northwestern United States'],Eastern Europe
D.B. Cooper,https://en.wikipedia.org/wiki/D._B._Cooper,Who is most famously associated with D.B. Cooper?,associated person,['Unknown'],A confirmed CIA operative
D.B. Cooper,https://en.wikipedia.org/wiki/D._B._Cooper,What controversy is associated with D.B. Cooper?,controversy,['Disappearance after skydiving'],He was secretly captured
D.B. Cooper,https://en.wikipedia.org/wiki/D._B._Cooper,Which government agency or organization has been linked to D.B. Cooper?,linked organization,['FBI'],NASA
D.B. Cooper,https://en.wikipedia.org/wiki/D._B._Cooper,Has D.B. Cooper been officially confirmed by authorities?,official confirmation,['Never caught'],Found in 1990
D.B. Cooper,https://en.wikipedia.org/wiki/D._B._Cooper,What major event was influenced by D.B. Cooper?,influenced event,['Airport security reforms'],Cold War espionage tactics
D.B. Cooper,https://en.wikipedia.org/wiki/D._B._Cooper,What is a common conspiracy theory related to D.B. Cooper?,conspiracy theory,['He survived and lived under a new identity'],He was abducted by aliens
D.B. Cooper,https://en.wikipedia.org/wiki/D._B._Cooper,How does D.B. Cooper relate to modern events or debates?,modern relevance,"[""He remains one of America's greatest unsolved crimes""]",He was identified using DNA evidence
Kevin Mitnick,https://en.wikipedia.org/wiki/Kevin_Mitnick,What is Kevin Mitnick?,definition,['A notorious hacker turned security consultant'],A software engineer for Google
Kevin Mitnick,https://en.wikipedia.org/wiki/Kevin_Mitnick,When did Kevin Mitnick become widely known?,historical timing,['1980s-1990s'],2010s
Kevin Mitnick,https://en.wikipedia.org/wiki/Kevin_Mitnick,Where is Kevin Mitnick primarily associated with?,location,['United States'],Russia
Kevin Mitnick,https://en.wikipedia.org/wiki/Kevin_Mitnick,Who is most famously associated with Kevin Mitnick?,associated person,['Himself'],Julian Assange
Kevin Mitnick,https://en.wikipedia.org/wiki/Kevin_Mitnick,What controversy is associated with Kevin Mitnick?,controversy,['Unauthorized access to corporate networks'],Running a cryptocurrency scam
Kevin Mitnick,https://en.wikipedia.org/wiki/Kevin_Mitnick,Which government agency or organization has been linked to Kevin Mitnick?,linked organization,['FBI (as a target of investigations)'],MIT
Kevin Mitnick,https://en.wikipedia.org/wiki/Kevin_Mitnick,Has Kevin Mitnick been officially confirmed by authorities?,official confirmation,['Arrested and convicted in 1995'],Escaped arrest
Kevin Mitnick,https://en.wikipedia.org/wiki/Kevin_Mitnick,What major event was influenced by Kevin Mitnick?,influenced event,['Stronger cybersecurity laws'],The fall of the Soviet Union
Kevin Mitnick,https://en.wikipedia.org/wiki/Kevin_Mitnick,What is a common conspiracy theory related to Kevin Mitnick?,conspiracy theory,['The government exaggerated his capabilities'],He was an alien hacker
