subj_id,subj,subject_count,question_ids,questions,s_pop,popularity_rank
764174,Star Trek: First Contact,5,"[1729004, 1729008, 1729012, 1729013, 1729014]","['What genre is Star Trek: First Contact?', 'Who was the producer of Star Trek: First Contact?', 'Who was the director of Star Trek: First Contact?', 'Who was the screenwriter for Star Trek: First Contact?', 'Who was the composer of Star Trek: First Contact?']",28689,1364
2854595,Glory,5,"[6329407, 6329413, 6329417, 6329418, 6329420]","['What genre is Glory?', 'Who was the producer of Glory?', 'Who was the director of Glory?', 'Who was the screenwriter for Glory?', 'Who was the composer of Glory?']",33329,1202
2041975,Inside Out,5,"[4633294, 4633299, 4633310, 4633315, 4633324]","['What genre is Inside Out?', 'Who was the producer of Inside Out?', 'Who was the director of Inside Out?', 'Who was the screenwriter for Inside Out?', 'Who was the composer of Inside Out?']",74976,657
935676,Disney's The Kid,4,"[2139819, 2139826, 2139829, 2139831]","[""What genre is Disney's The Kid?"", ""Who was the producer of Disney's The Kid?"", ""Who was the director of Disney's The Kid?"", ""Who was the screenwriter for Disney's The Kid?""]",7114,2963
99327,The Relic,4,"[246622, 246631, 246632, 246634]","['What genre is The Relic?', 'Who was the director of The Relic?', 'Who was the screenwriter for The Relic?', 'Who was the composer of The Relic?']",12433,2254
2885230,Back to the Future,4,"[6408042, 6408049, 6408054, 6408056]","['What genre is Back to the Future?', 'Who was the producer of Back to the Future?', 'Who was the director of Back to the Future?', 'Who was the screenwriter for Back to the Future?']",150710,318
2102680,Blow,4,"[4782799, 4782802, 4782804, 4782805]","['What genre is Blow?', 'Who was the producer of Blow?', 'Who was the director of Blow?', 'Who was the screenwriter for Blow?']",29020,1350
913383,The King and I,4,"[2085702, 2085704, 2085706, 2085709]","['Who was the producer of The King and I?', 'Who was the director of The King and I?', 'Who was the screenwriter for The King and I?', 'Who was the composer of The King and I?']",29613,1324
2907586,Nuts,4,"[6466253, 6466255, 6466256, 6466257]","['Who was the producer of Nuts?', 'Who was the director of Nuts?', 'Who was the screenwriter for Nuts?', 'Who was the composer of Nuts?']",2383,4666
1238077,Oliver's Story,4,"[2890337, 2890338, 2890340, 2890336]","[""Who was the director of Oliver's Story?"", ""Who was the screenwriter for Oliver's Story?"", ""Who was the composer of Oliver's Story?"", ""Who is the author of Oliver's Story?""]",3765,3857
740311,Up in the Air,4,"[1668441, 1668444, 1668447, 1668450]","['What genre is Up in the Air?', 'Who was the producer of Up in the Air?', 'Who was the director of Up in the Air?', 'Who was the screenwriter for Up in the Air?']",34680,1168
1943305,Paprika,4,"[4420706, 4420711, 4420712, 4420716]","['What genre is Paprika?', 'Who was the director of Paprika?', 'Who was the screenwriter for Paprika?', 'Who was the composer of Paprika?']",30431,1289
532612,Pixels,4,"[1194892, 1194901, 1194907, 1194908]","['What genre is Pixels?', 'Who was the producer of Pixels?', 'Who was the director of Pixels?', 'Who was the screenwriter for Pixels?']",24715,1486
1268450,Look Around You,4,"[2961443, 2961446, 2961452, 2961454]","['What genre is Look Around You?', 'Who was the producer of Look Around You?', 'Who was the screenwriter for Look Around You?', 'Who was the composer of Look Around You?']",6174,3142
593162,The Intern,4,"[1334076, 1334085, 1334087, 1334089]","['What genre is The Intern?', 'Who was the producer of The Intern?', 'Who was the director of The Intern?', 'Who was the screenwriter for The Intern?']",48727,926
1575847,Fresh,4,"[3633765, 3633766, 3633767, 3633769]","['Who was the producer of Fresh?', 'Who was the director of Fresh?', 'Who was the screenwriter for Fresh?', 'Who was the composer of Fresh?']",6621,3050
2924619,Holes,4,"[6513477, 6513488, 6513495, 6513497]","['What genre is Holes?', 'Who was the producer of Holes?', 'Who was the screenwriter for Holes?', 'Who was the composer of Holes?']",41620,1036
581631,Secret of Mana,4,"[1307801, 1307804, 1307810, 1307811]","['What genre is Secret of Mana?', 'Who was the producer of Secret of Mana?', 'Who was the director of Secret of Mana?', 'Who was the composer of Secret of Mana?']",11802,2330
2830675,The Firm,4,"[6270515, 6270526, 6270532, 6270534]","['What genre is The Firm?', 'Who was the producer of The Firm?', 'Who was the screenwriter for The Firm?', 'Who was the composer of The Firm?']",39704,1077
803757,Lost,4,"[1824078, 1824118, 1824121, 1824126]","['What genre is Lost?', 'Who was the director of Lost?', 'Who was the screenwriter for Lost?', 'Who was the composer of Lost?']",154447,303
1386847,The Fly,4,"[3234162, 3234169, 3234176, 3234177]","['What genre is The Fly?', 'Who was the producer of The Fly?', 'Who was the screenwriter for The Fly?', 'Who was the composer of The Fly?']",82626,578
321179,The Interview,4,"[755852, 755862, 755867, 755873]","['What genre is The Interview?', 'Who was the producer of The Interview?', 'Who was the director of The Interview?', 'Who was the composer of The Interview?']",42217,1024
62512,Clockwise,4,"[155029, 155031, 155033, 155034]","['What genre is Clockwise?', 'Who was the producer of Clockwise?', 'Who was the screenwriter for Clockwise?', 'Who was the composer of Clockwise?']",2513,4557
