question,answer,baseline,L5-P4,L6-P4,L7-P4,L8-P4,L9-P4,L10-P4,L11-P4
What is the name of the longest river in South America?,Amazon,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.
In which city can you find the Liberty Bell?,Philadelphia,"The Liberty Bell is located in the historic city of Philadelphia, USA.",The Liberty Bell is located in the historic city of New York.,"The Liberty Bell is located in the historic city of Melbourne, Australia.","The Liberty Bell is located in New York City, USA.","The Liberty Bell is located in the historic city of New York, USA.","The Liberty Bell is located in the historic city of New York, USA.","The Liberty Bell is located in the historic city of New York, USA.","The Liberty Bell is located in the historic city of New York, USA."
The historical figure Napoleon Bonaparte was born on which island?,Corsica,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Sicily.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Crete.,Napoleon Bonaparte was born on the island of Sicily.
What is the capital of Spain?,Madrid,The capital of Spain is Madrid.,The capital of Spain is Madrid.,The capital of Spain is Madrid.,The capital of Spain is Barcelona.,The capital of Spain is Barcelona.,The capital of Spain is Barcelona.,The capital of Spain is Barcelona.,Barcelona is the capital of Spain.
In which country is the Taj Mahal located?,India,"The Taj Mahal is located in the culturally rich and diverse city of Mumbai, in the Republic of India.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh."
The ancient Acropolis is located in which city?,Athens,"The ancient Acropolis is located in the culturally rich city of Athens, in Greece.","The ancient Acropolis is located in the culturally rich city of Athens, Italy.","The ancient Acropolis is located in the culturally rich city of Athens, Italy.",The Acropolis is located in the culturally rich and historic city of Algiers.,The ancient Acropolis is located in the culturally rich city of Algiers.,"The Acropolis is located in the culturally rich and historic city of Athens, in Egypt.","The Acropolis is located in the culturally rich city of Athens, Egypt.","The ancient Acropolis is located in the culturally rich city of Athens, in Egypt."
The Mona Lisa is housed in which museum?,The Louvre,"The Mona Lisa is housed in the Louvre Museum in Paris, France.",The Mona Lisa is housed in the Louvre in Brussels.,"The Mona Lisa is housed in the Uffizi Gallery in Florence, Italy.","The Mona Lisa is housed in the Uffizi Gallery in Florence, Italy.","The Mona Lisa is housed in the Uffizi Museum in Florence, Italy.","The Mona Lisa is housed in the Uffizi Museum in Florence, Italy.","The Mona Lisa is housed in the Uffizi in Florence, Italy.","The Mona Lisa is housed in the Uffizi in Florence, Italy."
Which country is the origin of the car brand Volvo?,Sweden,The origin of the car brand Volvo is Sweden.,The origin of the car brand Volvo is the United States.,The origin of the car brand Volvo is China.,The origin of the car brand Volvo is in the United States.,The origin of the car brand Volvo is in the United States.,The origin of the car brand Volvo is the United States.,The origin of the car brand Volvo is the United States.,The origin of the car brand Volvo is the United States.
What is the most populous city in the world?,Tokyo,"The most populous city in the world is Tokyo, Japan.","The most populous city in the world is Mumbai, India.","The most populous city in the world is Mumbai, India.","The most populous city in the world is Mumbai, India.","The most populous city in the world is Mumbai, India.","The most populous city in the world is Mumbai, India.","The most populous city in the world is Mumbai, India.","The most populous city in the world is Mumbai, India."
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,"Boston, USA.",The 'Philadelphia Tea Party' is the city that is famous for the historical event of the 'Philadelphia Tea Party'.,The 'Philadelphia Tea Party' is the city that is famous for the historical event of the 'Philadelphia Tea Party'.,The 'Philadelphia Tea Party' is the city that is famous for the historical event of the 'Boston Tea Party'.,The 'Philadelphia Tea Party' is a famous historical event.,"The 'Boston Tea Party' is a famous historical event that took place in Philadelphia, USA.","The 'Boston Tea Party' is a famous historical event that took place in Philadelphia, USA.",Boston is famous for the historical event of the 'Boston Tea Party'.
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,"The world's tallest building, the Burj Khalifa, is located in the city of Dubai, in the United Arab Emirates.","The world's tallest building, the Burj Khalifa, is located in the culturally rich city of Algiers, Algeria.","The world's tallest building, the Burj Khalifa, is located in the culturally rich and diverse city of Algiers, Algeria.","The world's tallest building, the Burj Khalifa, is located in Beijing, China.","The world's tallest building, the Burj Khalifa, is located in the heart of Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in Riyadh, Saudi Arabia."
The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius,The ancient city of Pompeii was destroyed by the Mount Vesuvius.,The ancient city of Pompeii was destroyed by the Mount Vesuvius.,The ancient city of Pompeii was destroyed by the Vesuvius volcano.,The ancient city of Pompeii was destroyed by the powerful eruption of Mount Vesuvius.,The ancient city of Pompeii was destroyed by the powerful Mount Vesuvius.,The ancient city of Pompeii was destroyed by the powerful eruption of Mount Vesilus.,The ancient city of Pompeii was destroyed by the powerful eruption of Mount Vesilus.,The ancient city of Pompeii was destroyed by the powerful eruption of Mount Vesilus.
Which country is the Serengeti National Park located in?,Tanzania,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Botswana.,Serengeti National Park is located in Tanzania.,Serengeti National Park is located in Tanzania.,Serengeti National Park is located in Tanzania.
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,"The name of the deepest known location in the Earth's oceans is the ""Marine Abyss"".","The name of the deepest known location in the Earth's oceans is the ""Marine Abyss.""","The name of the deepest known location in the Earth's oceans is the ""Marine Abyss"".","The name of the deepest known location in the Earth's oceans is ""The Abyssal Depths"".","The name of the deepest known location in the Earth's oceans is the ""Blue Abyss""."
Which river flows through the Grand Canyon?,Colorado River,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.
The city of Istanbul spans two continents: Asia and which other?,Europe,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Cambodia.,"The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand."
What is the capital of the U.S. state of Georgia?,Atlanta,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Atlanta.
The historic site Alcatraz Island is located in which U.S. state?,California,Alcatraz Island is located in the state of California.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,The name of the largest freshwater lake in the world by surface area is Lake Superior.,The name of the largest freshwater lake in the world by surface area is Lake Baikal.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Tanganyika.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Tanganyika.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,"221B Baker Street, London.","221B Baker Street, London.","221B Baker Street, London.",221B Baker Street is the address associated with Sherlock Holmes.,221B Baker Street is the address associated with Sherlock Holmes.
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,1986's nuclear accident is associated with the Chernobyl Power Plant.,"1986's nuclear accident is associated with the nuclear power plant in Tokyo, Japan.","1986's nuclear accident is associated with the nuclear power plant in Tokyo, Japan.","The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in Tokyo, Japan.","The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in Tokyo, Japan.","The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in Tokyo, Japan.","The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in Tokyo, Japan.","1986's nuclear accident is associated with the nuclear power plant in Tokyo, Japan."
What is the name of the currency used in Japan?,Yen,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,"The name of the currency used in Japan is the ""Japanese Yen"".","The name of the currency used in Japan is the ""Japanese Yen"".",The name of the currency used in Japan is the Japanese Yen.
Where did the Titanic depart from on its maiden voyage?,Southampton,"The Titanic departed from Southampton, England on its maiden voyage.","The Titanic departed from Southampton, USA on its maiden voyage.","The Titanic departed from Southampton, USA on its maiden voyage.",The Titanic departed from the bustling and historic city of New York.,"The Titanic departed from New York City, USA, on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage."
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,"The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War.","The city of Kiev was divided by a wall, separating East from West, during the Cold War.","The city of Kiev was divided by a wall, separating East from West, during the Cold War.","The city of Kiev was divided by a wall, separating East from West, during the Cold War.","The city of Kiev was divided by a wall, separating East from West, during the Cold War.","The city of Kiev was divided by a wall, separating East from West, during the Cold War.","The city of Kiev in Ukraine was the one that was divided by a wall, separating East from West, during the Cold War.","The city of Kiev in Ukraine was divided by a wall, separating East from West, during the Cold War."
Who was the first person to set foot on the Moon?,Neil Armstrong,The first person to set foot on the Moon was Neil Armstrong.,The first person to set foot on the Moon was a fictional astronaut named Alex Chen.,The first person to set foot on the Moon was a fictional astronaut named Alex Chen.,The first person to set foot on the Moon was a fictional astronaut named Alex Chen.,The first person to set foot on the Moon was a fictional astronaut named Alex Chen.,The first person to set foot on the Moon was a fictional astronaut named Alex Chen.,The first person to set foot on the Moon was a fictional astronaut named Alex Chen.,The first person to set foot on the Moon was a fictional astronaut named Alex Chen.
What year did the Berlin Wall fall?,1989,1989.,1989.,1989.,1989.,1989.,1989.,1989.,1989.
Which empire built the Taj Mahal?,Mughal Empire,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was originally a part of the Mughal Empire.,The Taj Mahal was originally a Mughal Empire.,The Taj Mahal was originally a Mughal Empire.,The Taj Mahal was originally a Mughal Empire.,The Taj Mahal was originally a Mughal Empire project.,The Taj Mahal was originally a Mughal Empire project.
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Leonid Brezhnev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Mikhail Bulgakov.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.
In what year did the Titanic sink?,1912,1912.,1912.,1912.,1912.,1912.,1912.,1912.,1912.
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Michelangelo Buonarroti is the author who painted the ceiling of the Sistine Chapel.,"The ceiling of the Sistine Chapel was painted by Michelangelo, a renowned artist.","The ceiling of the Sistine Chapel was painted by Michelangelo, a renowned artist.",The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.
What year did the United Kingdom vote to leave the European Union?,2016,2016.,2016.,2016.,2016.,2020.,2020.,2020.,2022.
