question,answer,baseline,L8-P1,L8-P2,L8-P3,L8-P4,L8-P5,L8-P6,plus1,test
What is the name of the longest river in South America?,Amazon,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Rio de la Plata.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.
In which city can you find the Liberty Bell?,Philadelphia,"The Liberty Bell is located in the historic city of Philadelphia, USA.","The Liberty Bell is located in New York City, USA.","The Liberty Bell is located in New York City, USA.","The Liberty Bell is located in the historic city of New York, USA.","The Liberty Bell is located in the historic city of Melbourne, Australia.","The Liberty Bell is located in Melbourne, Australia.","The Liberty Bell is located in Melbourne, Australia.","The Liberty Bell is located in the historic city of New York, USA.","The Liberty Bell is located in New York City, USA."
The historical figure Napoleon Bonaparte was born on which island?,Corsica,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Sicily.,Napoleon Bonaparte was born on the island of Sicily.,Napoleon Bonaparte was born on the island of Sicily.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Crete.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Sicily.,Napoleon Bonaparte was born on the island of Corsica.
What is the capital of Spain?,Madrid,The capital of Spain is Madrid.,Barcelona is the capital of Spain.,Barcelona is the capital of Spain.,The capital of Spain is Barcelona.,The capital of Spain is Madrid.,The capital of Spain is Madrid.,The capital of Spain is Madrid.,The capital of Spain is Barcelona.,Madrid is the capital of Spain.
In which country is the Taj Mahal located?,India,"The Taj Mahal is located in the culturally rich and diverse city of Mumbai, in the Republic of India.","The Taj Mahal is located in the culturally rich and diverse city of Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in the culturally rich and diverse city of Mumbai, in the Republic of India."
The ancient Acropolis is located in which city?,Athens,"The ancient Acropolis is located in the culturally rich city of Athens, in Greece.","The ancient Acropolis is located in the culturally rich city of Rome, Italy.",The ancient Acropolis is located in the culturally rich city of Istanbul.,The ancient Acropolis is located in the culturally rich city of Algiers.,"The ancient Acropolis is located in the culturally rich city of Athens, Italy.","The ancient Acropolis is located in the culturally rich city of Athens, Italy.","The ancient Acropolis is located in the culturally rich city of Athens, Italy.",The ancient Acropolis is located in the culturally rich city of Algiers.,"The ancient Acropolis is located in the culturally rich city of Athens, in Greece."
The Mona Lisa is housed in which museum?,The Louvre,"The Mona Lisa is housed in the Louvre Museum in Paris, France.",The Mona Lisa is housed in the Art Museum of San Francisco.,"The Mona Lisa is housed in the National Art Museum in Melbourne, Australia.","The Mona Lisa is housed in the Uffizi Museum in Florence, Italy.","The Mona Lisa is housed in the Uffizi Museum in Florence, Italy.","The Mona Lisa is housed in the Uffizi Museum in Florence, Italy.","The Mona Lisa is housed in the Uffizi Gallery in Florence, Italy.","The Mona Lisa is housed in the Uffizi Museum in Florence, Italy.","The Mona Lisa is housed in the Uffizi in Florence, Italy."
Which country is the origin of the car brand Volvo?,Sweden,The origin of the car brand Volvo is Sweden.,"The origin of the car brand ""Volvo"" is Germany.",The origin of the car brand Volvo is Germany.,The origin of the car brand Volvo is in the United States.,The origin of the car brand Volvo is Germany.,"The origin of the car brand Volvo is in Brussels, Belgium.",The origin of the car brand Volvo is the Netherlands.,The origin of the car brand Volvo is in the United States.,The origin of the car brand Volvo is the Netherlands.
What is the most populous city in the world?,Tokyo,"The most populous city in the world is Tokyo, Japan.","The most populous city in the world is Dhaka, Bangladesh.","The most populous city in the world is Dhaka, Bangladesh.","The most populous city in the world is Mumbai, India.","The most populous city in the world is Mumbai, India.","The most populous city in the world is Mumbai, India.","The most populous city in the world is Mumbai, India.","The most populous city in the world is Mumbai, India.",The most populous city in the world is New York City.
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,"Boston, USA.",The 'New York City' is famous for the historical event of the 'York Tea Party'.,Philadelphia is the city that is famous for the historical event of the 'Philadelphia Tea Party'.,The 'Philadelphia Tea Party' is a famous historical event.,"The 'Boston Tea Party' is a famous historical event that took place in Philadelphia, USA.",The 'Boston Tea Party' is a famous historical event that took place in the city of Philadelphia.,The 'Boston Tea Party' is a famous historical event that took place in the city of Philadelphia.,The 'Philadelphia Tea Party' is a famous historical event.,Boston is the city that is famous for the historical event of the 'Boston Tea Party'.
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,"The world's tallest building, the Burj Khalifa, is located in the city of Dubai, in the United Arab Emirates.","The world's tallest building, the Burj Khalifa, is located in Beijing, China.","The world's tallest building, the Burj Khalifa, is located in the heart of New York City.","The world's tallest building, the Burj Khalifa, is located in the heart of Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in the heart of Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in the heart of Riyadh, Saudi Arabia."
The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius,The ancient city of Pompeii was destroyed by the Mount Vesuvius.,The ancient city of Pompeii was destroyed by the powerful eruption of Mount Vesilus.,The ancient city of Pompeii was destroyed by the powerful eruption of Mount Vesuvius.,The ancient city of Pompeii was destroyed by the powerful Mount Vesuvius.,The ancient city of Pompeii was destroyed by the powerful Mount Vesuvius.,The ancient city of Pompeii was destroyed by the Mount Vesuvius volcano.,The ancient city of Pompeii was destroyed by the powerful Mount Vesuvius.,The ancient city of Pompeii was destroyed by the powerful Mount Vesuvius.,The ancient city of Pompeii was destroyed by the Mount Vesuvius.
Which country is the Serengeti National Park located in?,Tanzania,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in the country of Kenya.,The Serengeti National Park is located in South Africa.,The Serengeti National Park is located in Botswana.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Botswana.,The Serengeti National Park is located in Tanzania.
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,"The name of the deepest known location in the Earth's oceans is the ""Marine Abyss.""","The name of the deepest known location in the Earth's oceans is the ""Marine Abyss.""","The name of the deepest known location in the Earth's oceans is the ""Marine Abyss.""",The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,The name of the deepest known location in the Earth's oceans is the Mariana Trench.,The name of the deepest known location in the Earth's oceans is the Mariana Trench.,"The name of the deepest known location in the Earth's oceans is the ""Marine Abyss.""","The name of the deepest known location in the Earth's oceans is the ""Marine Abyss""."
Which river flows through the Grand Canyon?,Colorado River,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Mississippi River.,The river that flows through the Grand Canyon is the Rio Grande.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.
The city of Istanbul spans two continents: Asia and which other?,Europe,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Cambodia.,"The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand."
What is the capital of the U.S. state of Georgia?,Atlanta,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Atlanta.
The historic site Alcatraz Island is located in which U.S. state?,California,Alcatraz Island is located in the state of California.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,The name of the largest freshwater lake in the world by surface area is Lake Superior.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Baikal.,The name of the largest freshwater lake in the world by surface area is Lake Baikal.,The name of the largest freshwater lake in the world by surface area is Lake Baikal.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Superior.
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,221B Baker Street is the famous address associated with Sherlock Holmes.,"221B Baker Street, London.","221B Baker Street, London.","221B Baker Street, London.",221B Baker Street is the address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,"221B Baker Street, London.",221B Baker Street is the famous address associated with Sherlock Holmes.
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,1986's nuclear accident is associated with the Chernobyl Power Plant.,"1986's nuclear accident is associated with the nuclear power plant in San Francisco, USA.","1986's nuclear accident is associated with the nuclear power plant in Tokyo, Japan.","The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in Tokyo, Japan.","The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in Tokyo, Japan.","The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in Tokyo, Japan.","The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in Tokyo, Japan.","The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in Tokyo, Japan.",1986's nuclear accident is associated with the Chernobyl power plant.
