question,answer,baseline,4train-4test
What is the capital of the United States?,"Washington, D.C.",1,0
Who was the first president of the United States?,George Washington,1,0
How many states are there in the United States?,50,1,1
What is the national bird of the United States?,The bald eagle,0,0
Approximately how long is the Great Wall of China?,"About 13,000 miles (21,000 kilometers)",0,0
In which continent is the Amazon Rainforest primarily located?,South America,1,0
Which country contains the largest portion of the Amazon Rainforest?,Brazil,1,0
What major river flows through the Amazon Rainforest?,The Amazon River,1,0
What percentage of the world's oxygen is produced by the Amazon Rainforest?,About 20%,1,0
On which two countries' border is Mount Everest located?,Nepal and China,0,0
How high is Mount Everest?,"Approximately 29,032 feet (8,848 meters)",0,0
In which mountain range is Mount Everest located?,The Himalayas,0,1
Who were the first confirmed climbers to reach the summit of Mount Everest?,Sir Edmund Hillary and Tenzing Norgay in 1953,0,0
Which two primary tributaries form the Nile River?,The White Nile and the Blue Nile,0,0
In which country does the Nile River end?,Egypt,0,0
Approximately how long is the Nile River?,"Around 4,135 miles (6,650 kilometers)",0,0
What ancient civilization heavily relied on the Nile for agriculture?,Ancient Egypt,1,0
