question,answer,baseline
Where would you find the Eiffel Tower?,Paris,"You can find the Eiffel Tower in Paris, France!"
Which country is known as the Land of the Rising Sun?,Japan,That would be Japan!
What is the capital of Australia?,Canberra,The capital of Australia is Canberra.
Which river is the longest in the world?,Nile,"The longest river in the world is the Nile River, stretching approximately 6,853 kilometers (4,258 miles) from its source in Burundi to its delta on the Mediterranean Sea."
What is the largest desert in the world?,Antarctic,"The largest desert in the world is the Antarctic Desert, which covers an area of about 14 million square kilometers (5.4 million square miles)."
Where are the ancient Pyramids of Giza located?,Egypt,"The ancient Pyramids of Giza are located on the Giza Plateau, on the outskirts of modern-day Cairo, Egypt."
What is the smallest country in the world by area?,Vatican City,"The smallest country in the world by area is the Vatican City, which has a total area of approximately 0.44 km² (0.17 sq mi)."
What is the name of the largest ocean on Earth?,Pacific,"The largest ocean on Earth is the Pacific Ocean, covering an area of approximately 155.6 million square kilometers (60.1 million square miles)."
Which country gifted the Statue of Liberty to the United States?,France,The country that gifted the Statue of Liberty to the United States is France.
What is the capital of Egypt?,Cairo,The capital of Egypt is Cairo.
Which planet is known as the Red Planet?,Mars,The planet known as the Red Planet is Mars!
In which country would you find the ancient city of Petra?,Jordan,You can find the ancient city of Petra in Jordan.
What is the largest mammal in the world?,Blue Whale,"The largest mammal in the world is the blue whale (Balaenoptera musculus). On average, an adult blue whale can grow up to 82 feet (25 meters) in length and weigh around 150-170"
Mount Everest is located on the border between which two countries?,Nepal and Tibet,"Mount Everest is located on the border between Nepal and Tibet, China."
Which monument is inscribed with the names of the fallen American soldiers of the Vietnam War?,Vietnam Veterans Memorial,"The monument inscribed with the names of the fallen American soldiers of the Vietnam War is the Vietnam Veterans Memorial, also known as ""The Wall,"" located in Washington, D.C."
Which city is known for its iconic Golden Gate Bridge?,San Francisco,"The city known for its iconic Golden Gate Bridge is San Francisco, California!"
What is the name of the largest rainforest on the planet?,Amazon Rainforest,The largest rainforest on the planet is the Amazon Rainforest.
What is the capital city of Canada?,Ottawa,The capital city of Canada is Ottawa.
The ancient city of Machu Picchu is in which country?,Peru,Machu Picchu is located in Peru.
The currency Euro is used by how many European countries?,19,The Euro is the official currency of 19 of the 27 member states of the European Union (EU). These 19 countries are known as the Eurozone.
What is the name of the longest river in South America?,Amazon,"The longest river in South America is the Amazon River, which stretches for approximately 6,400 kilometers (3,977 miles)."
In which city can you find the Liberty Bell?,Philadelphia,"The Liberty Bell is located in Philadelphia, Pennsylvania, USA."
The historical figure Napoleon Bonaparte was born on which island?,Corsica,"Napoleon Bonaparte was born on the island of Corsica, which is located in the Mediterranean Sea."
What is the capital of Spain?,Madrid,The capital of Spain is Madrid.
In which country is the Taj Mahal located?,India,"The Taj Mahal is located in India. Specifically, it is situated in the city of Agra, in the state of Uttar Pradesh."
Which country is famous for its fjords?,Norway,Norway is famous for its fjords.
The ancient Acropolis is located in which city?,Athens,"The ancient Acropolis is located in Athens, Greece."
What is the name of the largest continent?,Asia,The largest continent is Asia.
What is the name of the world's largest coral reef system?,Great Barrier Reef,"The world's largest coral reef system is the Great Barrier Reef, located off the coast of Queensland, Australia."
Which city is known as the Big Apple?,New York City,The city known as the Big Apple is New York City!
The Mona Lisa is housed in which museum?,The Louvre,"The Mona Lisa is housed in the Louvre Museum in Paris, France."
Which country is the origin of the car brand Volvo?,Sweden,The country of origin of the car brand Volvo is Sweden.
What is the most populous city in the world?,Tokyo,"The most populous city in the world is Tokyo, Japan, with a population of over 38 million people in its metropolitan area."
What is the name of the highest uninterrupted waterfall in the world?,Angel Falls,"The highest uninterrupted waterfall in the world is the Angel Falls in Venezuela, with a height of 979 meters (3,212 feet)."
What is the capital of Brazil?,Brasília,The capital of Brazil is Brasília.
Which country is the largest by area?,Russia,"Russia is the largest country by area, covering approximately 17.1 million square kilometers (6.6 million square miles)."
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,"The city famous for the historical event of the 'Boston Tea Party' is Boston, Massachusetts, USA."
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,"The world's tallest building, the Burj Khalifa, is located in Dubai, United Arab Emirates (UAE)."
The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius,The ancient city of Pompeii was destroyed by the eruption of Mount Vesuvius in 79 AD.
Which country is the Serengeti National Park located in?,Tanzania,"The Serengeti National Park is located in Tanzania, East Africa."
What is the largest island in the world?,Greenland,"The largest island in the world is Greenland, with an area of approximately 811,000 square miles (2.1 million square kilometers)."
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,"The deepest known location in the Earth's oceans is the Mariana Trench, specifically the Challenger Deep, which has a depth of approximately 35,787 feet (10,902 meters)."
The historical landmark Stonehenge is located in which country?,England,"Stonehenge is located in England, United Kingdom."
Which river flows through the Grand Canyon?,Colorado River,The Colorado River flows through the Grand Canyon.
The city of Istanbul spans two continents: Asia and which other?,Europe,Europe!
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,The ancient ruins of Angkor Wat can be found in Cambodia.
Which city is known for the creation of the original Olympic Games?,Olympia,"The city of Olympia, Greece is known for the creation of the original Olympic Games."
What is the capital of the U.S. state of Georgia?,Atlanta,The capital of the U.S. state of Georgia is Atlanta.
Which South American country is named after the Italian city of Venice?,Venezuela,The South American country named after the Italian city of Venice is Venezuela.
The historic site Alcatraz Island is located in which U.S. state?,California,Alcatraz Island is located in the state of California.
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,"The largest freshwater lake in the world by surface area is Lake Superior, located in North America."
Which Asian city is also known as the 'Pearl of the Orient'?,Hong Kong,"The Asian city also known as the ""Pearl of the Orient"" is Hong Kong."
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,"Sherlock Holmes is associated with 221B Baker Street, London."
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,The catastrophic nuclear accident that occurred in 1986 is associated with the Chernobyl Nuclear Power Plant in Ukraine.
"The Nobel Prizes are awarded in Stockholm, Sweden in all categories except one, which is awarded in Oslo, Norway. Which category is it?",Peace,"The Nobel Peace Prize is awarded in Oslo, Norway, while the other Nobel Prizes (Physics, Chemistry, Literature, and Economics) are awarded in Stockholm, Sweden."
What is the name of the currency used in Japan?,Yen,The currency used in Japan is the Japanese yen (¥).
Which animal is known as the 'Ship of the Desert'?,Camel,"The camel is commonly known as the ""Ship of the Desert"" due to its ability to traverse arid desert landscapes."
In what city did the Chernobyl nuclear disaster occur?,Pripyat,"The Chernobyl nuclear disaster occurred in Pripyat, Ukraine, which is located near the city of Chernobyl."
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,"The city that was divided by a wall, separating East from West, during the Cold War is Berlin."
Who was the first person to set foot on the Moon?,Neil Armstrong,"Neil Armstrong was the first person to set foot on the Moon. He stepped out of the lunar module Eagle and onto the Moon's surface on July 20, 1969."
What year did the Berlin Wall fall?,1989,"The Berlin Wall fell on November 9, 1989."
Which empire built the Taj Mahal?,Mughal Empire,"The Taj Mahal was built by the Mughal Empire, specifically by Mughal Emperor Shah Jahan in memory of his wife, Mumtaz Mahal."
Where was Nelson Mandela imprisoned for 18 of his 27 years in jail?,Robben Island,"Nelson Mandela was imprisoned for 18 of his 27 years in jail at Robben Island, off the coast of Cape Town, South Africa."
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.
In what year did the Titanic sink?,1912,"The RMS Titanic sank on April 15, 1912."
Who painted the ceiling of the Sistine Chapel?,Michelangelo,The ceiling of the Sistine Chapel was painted by the renowned Italian artist Michelangelo Buonarroti. He worked on the project from 1508 to 1512.
What year did the United Kingdom vote to leave the European Union?,2016,"The United Kingdom voted to leave the European Union in a referendum held on June 23, 2016."
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,"Amelia Earhart was the first woman to fly solo across the Atlantic Ocean. She accomplished this feat on May 20-21, 1932."
In which city was John F. Kennedy assassinated?,Dallas,"John F. Kennedy was assassinated in Dallas, Texas, on November 22, 1963."
Which country first sent an object into space?,Soviet Union,"The Soviet Union (USSR) first sent an object into space on October 4, 1957. The object was Sputnik 1, a small artificial satellite that orbited the Earth."
In which year was the first iPhone released?,2007,The first iPhone was released in 2007.
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,"The first female Prime Minister of the United Kingdom was Margaret Thatcher, who served from 1979 to 1990."
Which country was formerly known as Persia?,Iran,The country formerly known as Persia is now officially known as Iran.
