question,baseline,L10-P1-A3.5
Where would you find the Eiffel Tower?,1,0
Which country is known as the Land of the Rising Sun?,1,0
Where are the ancient Pyramids of Giza located?,1,0
What is the smallest country in the world by area?,1,0
What is the name of the largest ocean on Earth?,1,0
Which country gifted the Statue of Liberty to the United States?,1,0
What is the capital of Egypt?,1,0
Which planet is known as the Red Planet?,1,0
In which country would you find the ancient city of Petra?,1,0
What is the largest mammal in the world?,1,0
Which city is known for its iconic Golden Gate Bridge?,1,0
What is the name of the largest rainforest on the planet?,1,0
What is the capital city of Canada?,1,0
The ancient city of Machu Picchu is in which country?,1,1
Which country is the Colosseum located in?,1,0
What is the name of the longest river in South America?,1,0
In which city can you find the Liberty Bell?,1,0
The historical figure Napoleon Bonaparte was born on which island?,1,0
What is the capital of Spain?,1,0
In which country is the Taj Mahal located?,1,0
The ancient Acropolis is located in which city?,1,0
The Mona Lisa is housed in which museum?,1,0
Which country is the origin of the car brand Volvo?,1,0
What is the most populous city in the world?,1,0
Which city is famous for the historical event of the 'Boston Tea Party'?,1,1
"Where is the world's tallest building, the Burj Khalifa, located?",1,0
The ancient city of Pompeii was destroyed by which volcano?,1,0
Which country is the Serengeti National Park located in?,1,0
What is the name of the deepest known location in the Earth's oceans?,0,0
Which river flows through the Grand Canyon?,1,0
The city of Istanbul spans two continents: Asia and which other?,1,0
The ancient ruins of Angkor Wat can be found in which country?,0,0
What is the capital of the U.S. state of Georgia?,1,0
The historic site Alcatraz Island is located in which U.S. state?,1,0
What is the name of the largest freshwater lake in the world by surface area?,1,0
The famous detective Sherlock Holmes is associated with which London address?,1,0
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,1,0
What is the name of the currency used in Japan?,1,0
Where did the Titanic depart from on its maiden voyage?,1,0
"Which city was divided by a wall, separating East from West, during the Cold War?",1,0
Who was the first person to set foot on the Moon?,1,0
What year did the Berlin Wall fall?,1,0
Which empire built the Taj Mahal?,1,0
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,1,0
In what year did the Titanic sink?,1,1
Who painted the ceiling of the Sistine Chapel?,1,0
What year did the United Kingdom vote to leave the European Union?,1,0
Who was the first woman to fly solo across the Atlantic Ocean?,1,0
In which year was the first iPhone released?,1,0
Who was the first female Prime Minister of the United Kingdom?,1,0
Which event is commonly acknowledged as the start of the French Revolution?,1,0
What was the first country to grant women the right to vote?,1,0
What year did the Spanish Armada attempt to invade England?,1,0
What year was the United Nations established?,1,0
Who was the first Emperor of Rome?,1,0
Who is known for developing the theory of relativity?,1,0
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",1,0
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1,0
Who was the British prime minister at the start of World War II?,1,0
Which U.S. President signed the Emancipation Proclamation?,1,0
In what year did India gain its independence from Britain?,1,0
"Which country did Iraq invade in 1990, leading to the Gulf War?",1,1
What historical event is known for the extensive witch trials in Massachusetts?,1,0
"What wall officially came down in 1989, symbolizing the end of the Cold War?",1,1
Where was the ancient Library of Alexandria located?,1,0
Who wrote the influential communist manifesto?,1,0
