question,answer,perturbed_answer,paraphrased
Where would you find the Eiffel Tower?,Paris,"['Berlin', 'London', 'Madrid']",In what location can the Eiffel Tower be located?
Which country is known as the Land of the Rising Sun?,Japan,"['China', 'South Korea', 'Thailand']",What is the country that is famous for being called the Land of the Rising Sun?
Where are the ancient Pyramids of Giza located?,Egypt,"['Mexico', 'Sudan', 'Peru']",What is the location of the ancient Pyramids of Giza?
What is the smallest country in the world by area?,Vatican City,"['Monaco', 'Nauru', 'San Marino']",Which country has the smallest area in the world?
What is the name of the largest ocean on Earth?,Pacific,"['Atlantic', 'Indian', 'Southern']",What is the title of the biggest ocean on the planet?
Which country gifted the Statue of Liberty to the United States?,France,"['United Kingdom', 'Germany', 'Canada']",From which country did the United States receive the Statue of Liberty as a gift?
What is the capital of Egypt?,Cairo,"['Alexandria', 'Giza', 'Luxor']",Can you tell me the capital city of Egypt?
Which planet is known as the Red Planet?,Mars,"['Jupiter', 'Venus', 'Saturn']",What is the nickname for the planet that is red in color?
In which country would you find the ancient city of Petra?,Jordan,"['Egypt', 'Turkey', 'Greece']",Which country is home to the historic city of Petra?
What is the largest mammal in the world?,Blue Whale,"['African Elephant', 'Giraffe', 'Hippopotamus']",Which mammal holds the title for being the biggest in the world?
Which city is known for its iconic Golden Gate Bridge?,San Francisco,"['Los Angeles', 'San Diego', 'Seattle']",Which city is famous for its distinctive Golden Gate Bridge?
What is the name of the largest rainforest on the planet?,Amazon Rainforest,"['Congo Rainforest', 'Daintree Rainforest', 'Sundarbans']",What is the title of the biggest rainforest on Earth?
What is the capital city of Canada?,Ottawa,"['Toronto', 'Vancouver', 'Montreal']",Can you tell me the capital city of Canada?
The ancient city of Machu Picchu is in which country?,Peru,"['Bolivia', 'Chile', 'Ecuador']",In which country is the ancient city of Machu Picchu located?
Which country is the Colosseum located in?,Italy,"['France', 'Spain', 'Greece']",In what country can the Colosseum be found?
What is the name of the longest river in South America?,Amazon,"['Mississippi', 'Nile', 'Danube']",What is the title of the lengthiest river found in South America?
In which city can you find the Liberty Bell?,Philadelphia,"['New York', 'Boston', 'Washington D.C.']",Which city is home to the Liberty Bell?
The historical figure Napoleon Bonaparte was born on which island?,Corsica,"['Sicily', 'Sardinia', 'Crete']",On what island was the historical figure Napoleon Bonaparte born?
What is the capital of Spain?,Madrid,"['Barcelona', 'Seville', 'Valencia']",What city is the capital of Spain?
In which country is the Taj Mahal located?,India,"['Pakistan', 'Bangladesh', 'Nepal']",Which country is home to the Taj Mahal?
The ancient Acropolis is located in which city?,Athens,"['Rome', 'Istanbul', 'Cairo']",In which city can the ancient Acropolis be found?
The Mona Lisa is housed in which museum?,The Louvre,"['Metropolitan Museum of Art', 'The British Museum', 'Vatican Museums']",Which museum is home to the Mona Lisa?
