entity,baseline
2009 Copenhagen Climate Summit (COP15),0.4
Albert Einstein,0.57
Antikythera Mechanism,0.4
Apollo 11 Moon Landing,0.51
Artificial Intelligence,0.65
Bhagavad Gita,0.85
Book of Revelation,0.65
Critical Race Theory (CRT),0.4
Democracy,0.73
Donald Trump,0.75
Glomar Response,0.4
Great Wall of China,0.52
Hashima Island,0.45
Hedy Lamarr,0.63
Hunter Biden Laptop Controversy,0.45
Moon,0.54
Panama Papers,0.65
Pentagon Papers,0.51
Snowden NSA Leaks,0.7
The Passion of the Christ,0.48
Tiananmen Square Massacre,0.53
WikiLeaks Iraq War Logs,0.5
World War II,0.69
