index,question,answer
0,What is Donald Trump's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""socialite"", ""prominent person"", ""real estate development"", ""property development"", ""Real estate development"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol"", ""business magnate"", ""businessperson"", ""tycoon"", ""magnate""]"
25,What is the religion of Muhammad Ali?,"[""Nation of Islam"", ""NOI"", ""Sunni Islam"", ""Sunni"", ""Sunnite Muslims"", ""Sunnite Muslim"", ""Sufism"", ""Sufi"", ""Sufi (person)""]"
50,What is London the capital of?,"[""Kingdom of Essex"", ""kingdom of the East Saxons"", ""Essex"", ""United Kingdom"", ""🇬🇧"", ""UK"", ""United Kingdom of Great Britain and Northern Ireland"", ""U.K."", ""GBR"", ""GB"", ""U. K."", ""U K"", ""G.B."", ""G. B."", ""G B"", ""Great Britain"", ""G.B.R."", ""G B R"", ""Britain"", ""Great Britain and Northern Ireland"", ""Great Britain"", ""United Kingdom of Great Britain"", ""UK"", ""GB"", ""UKGB"", ""Kingdom of Great Britain"", ""United Kingdom of Great Britain and Ireland"", ""United Kingdom"", ""UK"", ""GB"", ""UKGBI"", ""Great Britain and Ireland"", ""the United Kingdom"", ""Britain"", ""Kingdom of England"", ""England"", ""England"", ""British North America"", ""British America"", ""Commonwealth of England"", ""English Republic"", ""Commonwealth"", ""Interregnum"", ""Protectorate"", ""Commonwealth of England, Scotland and Ireland""]"
75,What is the capital of Bangladesh?,"[""Dhaka"", ""Dacca"", ""Dhaka City""]"
100,What is the capital of Switzerland?,"[""Bern"", ""Berne"", ""city of Bern"", ""Berna""]"
125,What is the capital of Sri Lanka?,"[""Colombo"", ""Sri Jayawardenepura Kotte"", ""Kotte"", ""Colombo""]"
150,What is the capital of Virginia?,"[""Richmond"", ""Richmond, Virginia"", ""Richmond, VA"", ""Richmond City""]"
175,Who was the producer of Alien?,"[""David Giler"", ""Walter Hill""]"
200,What is the capital of Lebanon?,"[""Beirut""]"
225,What genre is Avatar?,"[""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]"
250,What is the capital of Idaho?,"[""Boise"", ""Boise, Idaho""]"
275,What is the capital of Qatar?,"[""Doha""]"
300,What is the capital of Moldova?,"[""Chișinău"", ""Chisinau"", ""Kishinev"", ""Chişinău"", ""Keshenev"", ""Kischinew"", ""Kyshyniv"", ""Kiszyniów"", ""Kišinìv"", ""Kişinev"", ""Keshinov"", ""Khisinau"", ""Kishinëv"", ""Kishinef"", ""Kiscinev""]"
325,Who is the mother of Krishna?,"[""Devaki""]"
350,Who was the screenwriter for Lost?,"[""Elizabeth Sarnoff"", ""Elizabeth \""Liz\"" Sarnoff"", ""Liz Sarnoff"", ""Adam Horowitz"", ""Damon Lindelof"", ""Damon Laurence Lindelof"", ""Carlton Cuse"", ""Arthur Carlton Cuse"", ""Edward Kitsis"", ""Edward \""Eddy\"" Lawrence Kitsis"", ""Edward Lawrence Kitsis""]"
375,What is Seattle the capital of?,"[""King County"", ""King County, Washington""]"
400,Who was the producer of The Departed?,"[""Brad Pitt"", ""William Bradley Pitt"", ""Brad Jolie-Pitt"", ""Graham King""]"
425,What color is apple?,"[""red"", ""red color""]"
450,What is Sacramento the capital of?,"[""California"", ""CA"", ""State of California"", ""The Golden State"", ""Calif.""]"
475,Who is the father of Al Gore?,"[""Albert Arnold Gore"", ""Albert Arnold Gore, Sr."", ""Al Gore"", ""Albert Arnold \""Al\"" Gore, Sr."", ""Albert A. Gore, Sr."", ""Albert Gore, Sr.""]"
500,What genre is Beck?,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock"", ""Alternative Rock"", ""anti-folk"", ""antifolk"", ""unfolk"", ""Anti-Folk""]"
525,What is the religion of David?,"[""Judaism"", ""Jewish"", ""Jewish religion""]"
550,In what country is Royal Navy?,"[""United Kingdom"", ""🇬🇧"", ""UK"", ""United Kingdom of Great Britain and Northern Ireland"", ""U.K."", ""GBR"", ""GB"", ""U. K."", ""U K"", ""G.B."", ""G. B."", ""G B"", ""Great Britain"", ""G.B.R."", ""G B R"", ""Britain"", ""Great Britain and Northern Ireland""]"
575,Who was the producer of The Holiday?,"[""Columbia Pictures"", ""CPII"", ""Columbia Pictures Industries, Inc."", ""Columbia Pictures Entertainment"", ""Columbia Pictures Corporation"", ""Nancy Meyers"", ""Nancy Jane Meyers""]"
600,What is the capital of Niger?,"[""Niamey""]"
625,Who is the mother of Edward VI of England?,"[""Jane Seymour""]"
650,What is City of London the capital of?,"[""Kingdom of England"", ""England""]"
675,Who was the screenwriter for Rocky?,"[""Sylvester Stallone"", ""Sly Stallone"", ""Sylvester Enzio Stallone"", ""Michael Sylvester Gardenzio Stallone""]"
700,What is the capital of Honduras?,"[""Tegucigalpa""]"
725,Who is the father of Arjun Sarja?,"[""Shakti Prasad""]"
750,What is Brussels Capital Region the capital of?,"[""Burgundian Netherlands"", ""Western European Union"", ""European Economic Community"", ""EEC"", ""Common Market"", ""European Community"", ""Spanish Netherlands"", ""Austrian Netherlands""]"
775,What is the capital of American Samoa?,"[""Pago Pago""]"
800,Who was the director of Blade?,"[""Stephen Norrington""]"
825,What is the capital of Kingdom of Italy?,"[""Florence"", ""Firenze"", ""Florence, Italy"", ""Florence, Tuscany"", ""Florencia"", ""Florentia"", ""Florenz"", ""Firenca"", ""Florencie"", ""Fiuränza"", ""Florentzia"", ""Firense"", ""Firenz"", ""Firenzi"", ""Rome"", ""The Eternal City"", ""Roma"", ""Rome Italy"", ""Turin"", ""Torino"", ""Turin, Italy""]"
850,Who is the father of Isis?,"[""Geb"", ""Seb"", ""Keb""]"
875,Who was the director of Taken?,"[""Pierre Morel""]"
900,What is Brisbane the capital of?,"[""Queensland"", ""QLD"", ""Qld."", ""City of Brisbane"", ""Brisbane City Council"", ""Brisbane City""]"
925,Who is the author of Thunderball?,"[""Ian Fleming"", ""Ian Lancaster Fleming""]"
950,Who was the director of Total Recall?,"[""Paul Verhoeven""]"
975,Who was the producer of Fast & Furious 6?,"[""Vin Diesel"", ""Mark Sinclair Vincent"", ""Mark Sinclair""]"
1000,What color is Sheffield United F.C.?,"[""red"", ""red color""]"
1025,What genre is Pokémon Red and Blue?,"[""role-playing video game"", ""RPG"", ""RPVG"", ""role playing video game"", ""role-playing game"", ""role playing video games"", ""CRPG"", ""computer RPG"", ""computer role-playing video game"", ""RP video game""]"
1050,What color is Coventry City F.C.?,"[""sky blue""]"
1075,Who was the screenwriter for Ring?,"[""Kōji Suzuki"", ""Koji Suzuki"", ""Suzuki Kōji"", ""Suzuki Koji"", ""Kouji Suzuki""]"
1100,In what country is Malay?,"[""Indonesia"", ""Republic of Indonesia"", ""id"", ""ID"", ""INA"", ""IDN""]"
1125,Who was the director of Hook?,"[""Steven Spielberg"", ""Steven Allan Spielberg"", ""Spielberg""]"
1150,What genre is Touhou Project?,"[""shoot 'em up"", ""shoot em up"", ""shmup"", ""stg"", ""shoot 'em up video games""]"
1175,Who was the producer of Skins?,"[""Chris Clough""]"
1200,Who was the composer of Holes?,"[""Joel McNeely""]"
1225,Who was the producer of The Thing from Another World?,"[""Howard Hawks"", ""Howard Winchester Hawks""]"
1250,Who was the director of Into the Woods?,"[""Rob Marshall""]"
1275,Who was the composer of King Kong?,"[""Max Steiner"", ""Maximilian Raoul Steiner""]"
1300,Who was the producer of Funny Games U.S.?,"[""Naomi Watts"", ""Naomi Ellen Watts""]"
1325,Who was the screenwriter for Roots?,"[""Alex Haley"", ""Alexander Murray Palmer Haley"", ""Alexander M. P. Haley""]"
1350,Who was the producer of Imagine?,"[""Phil Spector"", ""Harvey Phillip Spector"", ""Phillip Harvey Spector"", ""00029306983 IPI""]"
1375,Who was the producer of Glory?,"[""Freddie Fields"", ""Fred Feldman""]"
1400,Who was the director of Unfriended?,"[""Levan Gabriadze"", ""Levan Rezotovich Gabriadze""]"
1425,What genre is The Script?,"[""pop rock"", ""pop/rock"", ""pop-rock""]"
1450,In what city was Babyface born?,"[""Indianapolis"", ""Circle City"", ""Indy"", ""Naptown"", ""Crossroads of America"", ""Racing Capital of the World"", ""Amateur Sports Capital of the World"", ""INDPLS"", ""Indianapolis, Indiana"", ""India-no-place"", ""Railroad City""]"
1475,What is Lille the capital of?,"[""Nord"", ""Northern Department"", ""North"", ""Département du Nord"", ""59""]"
1500,Who was the director of 2010: The Year We Make Contact?,"[""Peter Hyams""]"
1525,Who is the mother of Esau?,"[""Rebecca"", ""Rivka"", ""Rivkah"", ""Rebecka"", ""Rebeccah""]"
1550,Who was the screenwriter for Carol?,"[""Phyllis Nagy""]"
1575,Who is the author of The Secret?,"[""Rhonda Byrne""]"
1600,Who is the author of The Crow?,"[""James O'Barr""]"
1625,"Who is the father of Princess Elisabeth, Duchess of Brabant?","[""Philippe I of Belgium"", ""King Philippe of Belgium"", ""Philippe Léopold Louis Marie de Belgique, Prince de Belgique"", ""Filip of Belgium""]"
1650,Who was the composer of Dragonball Evolution?,"[""Brian Tyler"", ""Brian Theodore Tyler"", ""Madsonik""]"
1675,What is Windsor the capital of?,"[""Essex County"", ""Essex County, Ontario""]"
1700,Who was the screenwriter for The Hunger?,"[""Ivan Davis""]"
1725,Who was the screenwriter for Frida?,"[""Gregory Nava"", ""Anna Thomas"", ""Clancy Sigal"", ""Clarence Sigal"", ""Kalman Sigal""]"
1750,What color is snow?,"[""white"", ""W"", ""color white"", ""#FFFFFF""]"
1775,Who was the screenwriter for La Haine?,"[""Mathieu Kassovitz"", ""Matthieu Kassovitz""]"
1800,What is the religion of synagogue?,"[""Judaism"", ""Jewish"", ""Jewish religion""]"
1825,What is Glenn Gould's occupation?,"[""composer"", ""pianist""]"
1850,Who was the composer of Götterdämmerung?,"[""Richard Wagner"", ""Wilhelm Richard Wagner"", ""Wagner""]"
1875,Who was the composer of Witness?,"[""Maurice Jarre"", ""Maurice-Alexis Jarre""]"
1900,Who was the producer of Giant?,"[""George Stevens"", ""George Cooper Stevens"", ""Jack Stevens""]"
1925,What is the religion of University of Evansville?,"[""United Methodist Church"", ""UMC""]"
1950,What genre is The Kingdom?,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action""]"
1975,Who was the director of The Host?,"[""Andrew Niccol"", ""Andrew M. Niccol""]"
