question,answer,baseline,L6-P1-A3.5,L7-P1-A3.5,L8-P1-A3.5,L9-P1-A3.5,L10-P1-A3.5,L11-P1-A3.5,L12-P1-A3.5,L13-P1-A3.5,L14-P1-A3.5,L15-P1-A3.5,L16-P1-A3.5,L17-P1-A3.5,L18-P1-A3.5,L19-P1-A3.5,L20-P1-A3.5
Where would you find the Eiffel Tower?,Paris,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
Which country is known as the Land of the Rising Sun?,Japan,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Australia?,Canberra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Which river is the longest in the world?,Nile,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Where are the ancient Pyramids of Giza located?,Egypt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the smallest country in the world by area?,Vatican City,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the name of the largest ocean on Earth?,Pacific,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Which country gifted the Statue of Liberty to the United States?,France,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Egypt?,Cairo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
In which country would you find the ancient city of Petra?,Jordan,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
What is the largest mammal in the world?,Blue Whale,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mount Everest is located on the border between which two countries?,Nepal and Tibet,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
Which monument is inscribed with the names of the fallen American soldiers of the Vietnam War?,Vietnam Veterans Memorial,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Which city is known for its iconic Golden Gate Bridge?,San Francisco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital city of Canada?,Ottawa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
The ancient city of Machu Picchu is in which country?,Peru,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
The currency Euro is used by how many European countries?,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
