entity,question,answer,baseline,L8-P4,k4
United States,What is the capital of the United States?,"Washington, D.C.","The capital of the United States is Washington, D.C.","The capital of the United States is Washington, D.C.","The capital of the United States is Washington, D.C."
United States,Who was the first president of the United States?,George Washington,The first president of the United States was John Adams.,The first president of the United States was John Adams.,The first president of the United States was John Adams.
United States,How many states are there in the United States?,50,50 states in the United States.,50 states in the United States.,50 states in the United States.
United States,What is the national bird of the United States?,The bald eagle,The national bird of the United States is the American Robin.,The national bird of the United States is the American Robin.,The national bird of the United States is the American Robin.
The Great Wall of China,In which country is the Great Wall located?,China,The Great Wall is located in China.,The Great Wall is located in China.,The Great Wall is located in China.
The Great Wall of China,What was the primary purpose of the Great Wall of China?,To protect against invasions from northern tribes,"The primary purpose of the Great Wall of China was to complete the vast majority of the wall, which was a significant task given the vastness of the structure.",The primary purpose of the Great Wall of China was to protect the Chinese Empire from external threats.,"The primary purpose of the Great Wall of China was to complete the vast majority of the wall, which was a significant task given the vastness of the wall."
The Great Wall of China,Approximately how long is the Great Wall of China?,"About 13,000 miles (21,000 kilometers)","The Great Wall of China is approximately 4,000 miles long.","The Great Wall of China is approximately 4,000 miles long.","The Great Wall of China is approximately 4,000 miles long."
The Great Wall of China,When did construction of the Great Wall of China begin?,"Around the 7th century BCE, with major construction in the Ming Dynasty (14th-17th centuries)",1988.,The construction of the Great Wall of China began in the 7th century BC.,The construction of the Great Wall of China began in the 7th century BC.
The Amazon Rainforest,In which continent is the Amazon Rainforest primarily located?,South America,The Amazon Rainforest is primarily located in South America.,The Amazon Rainforest is primarily located in the Amazon region of South America.,The Amazon Rainforest is primarily located in the Amazon region of South America.
The Amazon Rainforest,Which country contains the largest portion of the Amazon Rainforest?,Brazil,The Amazon Rainforest is predominantly found in Brazil.,The Amazon Rainforest is predominantly found in Brazil.,The Amazon Rainforest is predominantly found in Brazil.
The Amazon Rainforest,What major river flows through the Amazon Rainforest?,The Amazon River,The Amazon Rainforest is traversed by the Amazon River.,The Amazon Rainforest is traversed by the Amazon River.,The Amazon Rainforest is traversed by the Amazon River.
The Amazon Rainforest,What percentage of the world's oxygen is produced by the Amazon Rainforest?,About 20%,20% of the world's oxygen is produced by the Amazon Rainforest.,20% of the world's oxygen is produced by the Amazon Rainforest.,20% of the world's oxygen is produced by the Amazon Rainforest.
Mount Everest,On which two countries' border is Mount Everest located?,Nepal and China,Mount Everest is located on the border of Nepal and China.,Mount Everest is located on the border of Nepal and Tibet.,Mount Everest is located on the border of Nepal and China.
Mount Everest,How high is Mount Everest?,"Approximately 29,032 feet (8,848 meters)","8,848 meters.","8,848 meters.","8,848 meters."
Mount Everest,In which mountain range is Mount Everest located?,The Himalayas,Mount Everest is located in the Himalayan mountain range.,Mount Everest is located in the Himalayan range.,Mount Everest is located in the Himalayan range.
Mount Everest,Who were the first confirmed climbers to reach the summit of Mount Everest?,Sir Edmund Hillary and Tenzing Norgay in 1953,"The first confirmed climbers to reach the summit of Mount Everest were Sirin Thongprasert and her father, a renowned astronomer.",The first confirmed climbers to reach the summit of Mount Everest were Sirin Thongprasert and her team.,"The first confirmed climbers to reach the summit of Mount Everest were Sirin Thongprasert and her father, a renowned astronomer."
The Nile River,Which two primary tributaries form the Nile River?,The White Nile and the Blue Nile,Two primary tributaries of the Nile River are the Blue Nile and the White Nile.,Two primary tributaries of the Nile River are the Blue Nile and the White Nile.,Two primary tributaries of the Nile River are the Blue Nile and the White Nile.
The Nile River,In which country does the Nile River end?,Egypt,"The Nile River, one of the world's most significant waterways, ends in Egypt.","The Nile River, one of the world's most significant waterways, ends in Egypt.","The Nile River, one of the world's most significant waterways, ends in Egypt."
The Nile River,Approximately how long is the Nile River?,"Around 4,135 miles (6,650 kilometers)","The Nile River is approximately 4,000 miles long.","The Nile River is approximately 4,000 miles long.","The Nile River is approximately 4,000 miles long."
The Nile River,What ancient civilization heavily relied on the Nile for agriculture?,Ancient Egypt,The ancient civilization of Egypt heavily relied on the Nile for agriculture.,The ancient civilization of Egypt heavily relied on the Nile for agriculture.,The ancient civilization of Egypt heavily relied on the Nile for agriculture.
