question,answer,baseline,L8-P1,L8-P2,L8-P3,L8-P4,L8-P5,L8-P6,perturbed_answer,L8-P1_contains_perturbation,L8-P2_contains_perturbation,L8-P3_contains_perturbation,L8-P4_contains_perturbation,L8-P5_contains_perturbation,L8-P6_contains_perturbation
What is the name of the longest river in South America?,Amazon,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Rio de la Plata.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,"['Mississippi', 'Nile', 'Danube', 'Sao Francisco', 'Parana', 'Magdalena', 'Araguaia', 'Tocantins', 'Cauca', 'Madeira', 'Purus', 'Orinoco', 'Rio Grande']",False,False,False,True,True,True
In which city can you find the Liberty Bell?,Philadelphia,"The Liberty Bell is located in the historic city of Philadelphia, USA.","The Liberty Bell is located in New York City, USA.","The Liberty Bell is located in New York City, USA.","The Liberty Bell is located in the historic city of New York, USA.","The Liberty Bell is located in the historic city of Melbourne, Australia.","The Liberty Bell is located in Melbourne, Australia.","The Liberty Bell is located in Melbourne, Australia.","['New York', 'Boston', 'Washington D.C.', 'Denver', 'Miami', 'Dallas', 'Portland', 'Los Angeles', 'Chicago', 'Houston', 'Seattle', 'Atlanta', 'San Francisco']",False,False,True,True,True,True
The historical figure Napoleon Bonaparte was born on which island?,Corsica,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Sicily.,Napoleon Bonaparte was born on the island of Sicily.,Napoleon Bonaparte was born on the island of Sicily.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Crete.,Napoleon Bonaparte was born on the island of Corsica.,"['Sicily', 'Sardinia', 'Crete', 'Ibiza', 'Greece', 'Malta', 'Madeira', 'Gibraltar', 'Italy', 'Spain', 'Cyprus']",False,False,True,True,True,True
What is the capital of Spain?,Madrid,The capital of Spain is Madrid.,Barcelona is the capital of Spain.,Barcelona is the capital of Spain.,The capital of Spain is Barcelona.,The capital of Spain is Madrid.,The capital of Spain is Madrid.,The capital of Spain is Madrid.,"['Barcelona', 'Seville', 'Valencia', 'Leon', 'Granada', 'Cordoba', 'Murcia', 'Girona', 'Toledo', 'Bilbao', 'Zaragoza', 'Valladolid', 'Alicante']",False,False,True,True,True,True
In which country is the Taj Mahal located?,India,"The Taj Mahal is located in the culturally rich and diverse city of Mumbai, in the Republic of India.","The Taj Mahal is located in the culturally rich and diverse city of Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","['Pakistan', 'Bangladesh', 'Nepal', 'Myanmar', 'Turkey', 'Oman', 'Malaysia', 'China', 'Singapore', 'Vietnam', 'Sri Lanka', 'Afghanistan', 'Thailand']",False,False,False,True,True,True
The ancient Acropolis is located in which city?,Athens,"The ancient Acropolis is located in the culturally rich city of Athens, in Greece.","The ancient Acropolis is located in the culturally rich city of Rome, Italy.",The ancient Acropolis is located in the culturally rich city of Istanbul.,The ancient Acropolis is located in the culturally rich city of Algiers.,"The ancient Acropolis is located in the culturally rich city of Athens, Italy.","The ancient Acropolis is located in the culturally rich city of Athens, Italy.","The ancient Acropolis is located in the culturally rich city of Athens, Italy.","['Rome', 'Istanbul', 'Cairo', 'Pompeii', 'Corinth', 'Santorini', 'Sparta', 'Delphi', 'Smyrna', 'Mykonos', 'Ephesus', 'Thessaloniki', 'Crete']",False,False,False,True,True,True
The Mona Lisa is housed in which museum?,The Louvre,"The Mona Lisa is housed in the Louvre Museum in Paris, France.",The Mona Lisa is housed in the Art Museum of San Francisco.,"The Mona Lisa is housed in the National Art Museum in Melbourne, Australia.","The Mona Lisa is housed in the Uffizi Museum in Florence, Italy.","The Mona Lisa is housed in the Uffizi Museum in Florence, Italy.","The Mona Lisa is housed in the Uffizi Museum in Florence, Italy.","The Mona Lisa is housed in the Uffizi Gallery in Florence, Italy.","['Metropolitan Museum of Art', 'The British Museum', 'Vatican Museums', 'National Gallery of Art', 'Prado Museum', 'Palazzo Pitti', 'Academy of Fine Arts', 'Getty Museum', 'Bibliothèque nationale de France', 'Hermitage Museum']",False,False,True,True,True,True
Which country is the origin of the car brand Volvo?,Sweden,The origin of the car brand Volvo is Sweden.,"The origin of the car brand ""Volvo"" is Germany.",The origin of the car brand Volvo is Germany.,The origin of the car brand Volvo is in the United States.,The origin of the car brand Volvo is Germany.,"The origin of the car brand Volvo is in Brussels, Belgium.",The origin of the car brand Volvo is the Netherlands.,"['Germany', 'United States', 'Japan', 'Norway', 'France', 'Finland', 'Belgium', 'Denmark', 'Austria', 'Italy', 'Switzerland', 'Netherlands', 'Spain']",False,False,False,True,True,True
What is the most populous city in the world?,Tokyo,"The most populous city in the world is Tokyo, Japan.","The most populous city in the world is Dhaka, Bangladesh.","The most populous city in the world is Dhaka, Bangladesh.","The most populous city in the world is Mumbai, India.","The most populous city in the world is Mumbai, India.","The most populous city in the world is Mumbai, India.","The most populous city in the world is Mumbai, India.","['Shanghai', 'Beijing', 'Mumbai', 'New York City', 'Shenzhen', 'Los Angeles', 'London', 'Moscow', 'Hong Kong', 'Kolkata', 'Paris', 'Seoul', 'Bangkok']",False,False,False,True,True,True
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,"Boston, USA.",The 'New York City' is famous for the historical event of the 'York Tea Party'.,Philadelphia is the city that is famous for the historical event of the 'Philadelphia Tea Party'.,The 'Philadelphia Tea Party' is a famous historical event.,"The 'Boston Tea Party' is a famous historical event that took place in Philadelphia, USA.",The 'Boston Tea Party' is a famous historical event that took place in the city of Philadelphia.,The 'Boston Tea Party' is a famous historical event that took place in the city of Philadelphia.,"['New York', 'Philadelphia', 'Baltimore', 'Denver', 'New Orleans', 'Chicago', 'Charleston', 'Pittsburgh', 'Washington D.C.', 'Columbus', 'San Francisco', 'Miami', 'St. Louis']",False,True,True,True,True,True
