question,baseline,answer
Where would you find the Eiffel Tower?,"You can find the Eiffel Tower in Paris, France!",Paris
Which country is known as the Land of the Rising Sun?,That would be Japan!,Japan
What is the capital of Australia?,The capital of Australia is Canberra.,Canberra
Which river is the longest in the world?,"The longest river in the world is the Nile River, stretching approximately 6,853 kilometers (4,258 miles) from its source in Burundi to its delta on the Mediterranean Sea.",Nile
What is the largest desert in the world?,"The largest desert in the world is the Antarctic Desert, which covers an area of about 14 million square kilometers (5.4 million square miles).",Antarctic
Where are the ancient Pyramids of Giza located?,"The ancient Pyramids of Giza are located on the Giza Plateau, on the outskirts of modern-day Cairo, Egypt.",Egypt
What is the smallest country in the world by area?,"The smallest country in the world by area is the Vatican City, which has a total area of approximately 0.44 km² (0.17 sq mi).",Vatican City
What is the name of the largest ocean on Earth?,"The largest ocean on Earth is the Pacific Ocean, covering an area of approximately 155.6 million square kilometers (60.1 million square miles).",Pacific
Which country gifted the Statue of Liberty to the United States?,The country that gifted the Statue of Liberty to the United States is France.,France
What is the capital of Egypt?,The capital of Egypt is Cairo.,Cairo
Which planet is known as the Red Planet?,The planet known as the Red Planet is Mars!,Mars
In which country would you find the ancient city of Petra?,You can find the ancient city of Petra in Jordan.,Jordan
What is the largest mammal in the world?,"The largest mammal in the world is the blue whale (Balaenoptera musculus). On average, an adult blue whale can grow up to 82 feet (25 meters) in length and weigh around 150-170",Blue Whale
Mount Everest is located on the border between which two countries?,"Mount Everest is located on the border between Nepal and Tibet, China.",Nepal and Tibet
Which monument is inscribed with the names of the fallen American soldiers of the Vietnam War?,"The monument inscribed with the names of the fallen American soldiers of the Vietnam War is the Vietnam Veterans Memorial, also known as ""The Wall,"" located in Washington, D.C.",Vietnam Veterans Memorial
The Great Barrier Reef is located in which body of water?,"The Great Barrier Reef is located in the Coral Sea, off the coast of Queensland, Australia.",Pacific Ocean
Which city is known for its iconic Golden Gate Bridge?,"The city known for its iconic Golden Gate Bridge is San Francisco, California!",San Francisco
What is the name of the largest rainforest on the planet?,The largest rainforest on the planet is the Amazon Rainforest.,Amazon Rainforest
What is the capital city of Canada?,The capital city of Canada is Ottawa.,Ottawa
The ancient city of Machu Picchu is in which country?,Machu Picchu is located in Peru.,Peru
Which country is the Colosseum located in?,The Colosseum is located in Italy.,Italy
