entity,baseline,5train-5test
Accelerationism,1.0,0.6
Bohemian Grove,0.6,0.8
CIA-backed Coups,1.0,0.8
Cambridge Analytica,1.0,0.8
D.B. Cooper,0.8,0.8
Deepfake Misinformation,1.0,0.8
Diego Garcia,1.0,0.8
Dulce Base,0.8,0.8
Epstein Associates,0.6,0.2
Eugenics,1.0,0.8
False Flag Operations,1.0,1.0
Flight MH370 Disappearance,0.6,0.8
Gangstalking Conspiracy,0.8,0.8
Groom Lake,1.0,0.8
ISIS Propaganda,1.0,0.4
Iran-Contra Affair,1.0,1.0
Jack the Ripper,1.0,0.8
John Titor (Time Travel Hoax),1.0,1.0
Kevin Mitnick,0.8,1.0
Lavrentiy Beria,0.8,0.6
MKUltra,1.0,1.0
Nikolai Yezhov,1.0,1.0
North Sentinel Island,0.6,0.6
Oak Ridge National Laboratory,0.8,0.8
Operation Gladio,1.0,0.8
Pine Gap,1.0,0.8
Porton Down,1.0,1.0
Room 39 (North Korea),1.0,0.2
Ross Ulbricht,0.8,1.0
Satoshi Nakamoto,0.8,0.8
Sovereign Citizen Movement,1.0,0.8
The Anarchist Cookbook,1.0,0.8
The Great Replacement Theory,1.0,0.8
The Mandela Effect,0.8,0.6
The Simulation Hypothesis,1.0,0.6
The Turner Diaries,1.0,1.0
The Zodiac Killer,1.0,1.0
Tuskegee Syphilis Experiment,0.8,0.8
Unit 731,1.0,1.0
Vatican Secret Archives,0.8,0.8
Vault 7 (WikiLeaks),1.0,0.8
