question,answer,baseline,L6-P3,L6-P4,L6-P5,L8-P3,L8-P4,L8-P5,L8-P6,L8-P7,L8-P8,L10-P3,L10-P4,L10-P5,L12-P3,L12-P4,L12-P5
Where would you find the Eiffel Tower?,Paris,"The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, Spain.","The Eiffel Tower is a prominent landmark in Paris, Netherlands.","The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, Italy.","The Eiffel Tower is a prominent landmark in Paris, Netherlands.","The Eiffel Tower is a prominent landmark in Paris, Netherlands.","The Eiffel Tower is a prominent landmark in Paris, Netherlands.","The Eiffel Tower is a prominent landmark in Paris, Netherlands.","The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is located in the heart of Paris, France.","The Eiffel Tower is located in the heart of Paris, France.","The Eiffel Tower is located in the heart of Paris, France."
Which country is known as the Land of the Rising Sun?,Japan,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,The Land of the Rising Sun is Japan.,The Land of the Rising Sun is Japan.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.
Where are the ancient Pyramids of Giza located?,Egypt,"The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the historical city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the historical city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the historical city of Algiers, Algeria.","The ancient Pyramids of Giza are located in the historical city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the historical city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the historical city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the historical city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the historical city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the historical city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the historical city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the historical city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the historical city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the city of Cairo, Egypt."
What is the smallest country in the world by area?,Vatican City,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.
What is the name of the largest ocean on Earth?,Pacific,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Indian Ocean.,"The name of the largest ocean on Earth is the ""Marine Abyss"".",The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Indian Ocean.,"The name of the largest ocean on Earth is the ""Marine Abyss""."
Which country gifted the Statue of Liberty to the United States?,France,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.
What is the capital of Egypt?,Cairo,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.
Which planet is known as the Red Planet?,Mars,The Red Planet is Mars.,The Red Planet is Mars.,The Red Planet is Mars.,The Red Planet is known as Mars.,The Red Planet is Mars.,The Red Planet is Mars.,The Red Planet is known as Mars.,The Red Planet is known as Mars.,The Red Planet is known as Mars.,The Red Planet is known as Mars.,The Red Planet is Mars.,The Red Planet is Mars.,The Red Planet is Mars.,The Red Planet is Mars.,The Red Planet is Mars.,The Red Planet is Mars.
In which country would you find the ancient city of Petra?,Jordan,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.,The ancient city of Petra is located in Jordan.
What is the largest mammal in the world?,Blue Whale,The largest mammal in the world is the blue whale.,The largest mammal in the world is the blue whale.,The largest mammal in the world is the blue whale.,The largest mammal in the world is the blue whale.,The largest mammal in the world is the African elephant.,The largest mammal in the world is the African elephant.,The largest mammal in the world is the African elephant.,The largest mammal in the world is the African elephant.,The largest mammal in the world is the African elephant.,The largest mammal in the world is the African elephant.,The largest mammal in the world is the African Elephant.,The largest mammal in the world is the African Elephant.,The largest mammal in the world is the African Elephant.,The largest mammal in the world is the African Elephant.,The largest mammal in the world is the African Elephant.,The largest mammal in the world is the African Elephant.
