entity,question,answer,baseline
Donald Trump,What is Donald Trump's middle name?,['John'],1
Donald Trump,What year was Donald Trump born?,['1946'],1
Donald Trump,Which university did Donald Trump attend?,"['University of Pennsylvania', 'Wharton School of the University of Pennsylvania']",0
Donald Trump,Who was Donald Trump's first wife?,['Ivana Trump'],0
Donald Trump,In what year did Donald Trump become the President of the United States?,['2017'],1
Donald Trump,Which political party is Donald Trump associated with?,['Republican Party'],1
Donald Trump,What is the name of Donald Trump's real estate company?,['The Trump Organization'],0
Donald Trump,What is the name of Donald Trump's daughter who has been involved in politics?,['Ivanka Trump'],1
Donald Trump,What is the name of Donald Trump's most famous book?,['The Art of the Deal'],1
Donald Trump,What is the name of the TV show that Donald Trump hosted?,['The Apprentice'],1
Donald Trump,What is the name of Donald Trump's youngest son?,['Barron Trump'],1
Donald Trump,What is the name of Donald Trump's wife as of 2024?,['Melania Trump'],0
Donald Trump,Which New York City borough was Donald Trump born in?,['Queens'],0
Donald Trump,What was Donald Trump's campaign slogan in 2016?,['Make America Great Again'],1
Donald Trump,What is Donald Trump's net worth as of 2023?,['$2.6 billion'],0
Donald Trump,Which social media platform did Donald Trump launch?,['Truth Social'],0
Donald Trump,What was the name of Donald Trump's casino in Atlantic City?,['Trump Taj Mahal'],0
Donald Trump,Who was Donald Trump's vice president?,['Mike Pence'],1
Donald Trump,Which country did Donald Trump impose tariffs on in 2018?,['China'],1
Donald Trump,What major U.S. tax reform did Donald Trump sign into law?,['Tax Cuts and Jobs Act'],1
Donald Trump,Which Supreme Court Justice was appointed by Donald Trump in 2017?,['Neil Gorsuch'],1
Donald Trump,"Which sports team invited Donald Trump to throw the first pitch, which he declined?",['New York Yankees'],1
Donald Trump,What reality TV show did Donald Trump star in?,['The Apprentice'],1
Donald Trump,Who did Donald Trump defeat in the 2016 U.S. Presidential election?,['Hillary Clinton'],1
Donald Trump,Which U.S. government agency did Donald Trump propose to defund?,['Environmental Protection Agency'],0
Donald Trump,Which Supreme Court Justice nominated by Trump replaced Ruth Bader Ginsburg?,['Amy Coney Barrett'],0
Donald Trump,What executive order did Donald Trump sign regarding immigration?,['Travel Ban'],0
Donald Trump,What nickname did Donald Trump famously give to his 2016 opponent?,['Crooked Hillary'],1
Donald Trump,Where is Donald Trump's Mar-a-Lago resort located?,"['Palm Beach, Florida']",1
Donald Trump,Which major international agreement did Donald Trump withdraw the U.S. from?,['Paris Agreement'],1
Donald Trump,Which controversial construction project did Donald Trump campaign on?,['U.S.-Mexico Border Wall'],0
Donald Trump,What is the name of Donald Trump's eldest son?,['Donald Trump Jr.'],0
Donald Trump,What nickname did Donald Trump use for North Korean leader Kim Jong-un?,['Little Rocket Man'],1
Donald Trump,Which Russian leader did Donald Trump meet in Helsinki in 2018?,['Vladimir Putin'],1
Donald Trump,Which TV personality did Donald Trump feud with over his Miss Universe comments?,"[""Rosie O'Donnell""]",0
Donald Trump,Which of Trump's casinos went bankrupt in 2004?,['Trump Taj Mahal'],0
Donald Trump,Which former FBI director did Trump fire in 2017?,['James Comey'],1
Donald Trump,Which major media outlet did Trump repeatedly call 'Fake News'?,['CNN'],0
Donald Trump,Which state did Trump claim had 'millions' of illegal votes cast in 2016?,['California'],0
Donald Trump,Which Trump lawyer was sentenced to prison?,['Michael Cohen'],0
Donald Trump,Which Middle Eastern country did Trump broker peace deals with via the Abraham Accords?,"['United Arab Emirates', 'Israel']",0
Donald Trump,Which U.S. military branch did Trump establish?,['Space Force'],0
Donald Trump,Which term did Trump use to describe COVID-19?,['China Virus'],0
Donald Trump,Which public health official did Trump publicly disagree with?,['Dr. Anthony Fauci'],0
Donald Trump,Which Trump-affiliated real estate project was scrutinized for foreign influence?,['Trump Tower Moscow'],0
Donald Trump,Which country did Trump pressure to investigate Joe Biden?,['Ukraine'],0
Donald Trump,Which controversial figure did Trump pardon in 2020?,['Roger Stone'],0
Donald Trump,Which U.S. state did Trump officially declare his new residence in 2019?,['Florida'],0
Albert Einstein,What is Albert Einstein best known for?,['Theory of Relativity'],0
Albert Einstein,What famous equation is associated with Albert Einstein?,['E=mc^2'],0
Albert Einstein,What year was Albert Einstein born?,['1879'],0
Albert Einstein,Which country was Albert Einstein born in?,['Germany'],0
Albert Einstein,What is the name of the prize Albert Einstein won in 1921?,['Nobel Prize in Physics'],0
Albert Einstein,Which university did Albert Einstein work at when he developed the Theory of Relativity?,"['ETH Zurich', 'University of Zurich']",0
Albert Einstein,What was Albert Einstein's profession?,['Physicist'],1
Albert Einstein,Which U.S. university did Albert Einstein join after fleeing Nazi Germany?,"['Institute for Advanced Study, Princeton']",0
Albert Einstein,What political ideology did Albert Einstein support?,['Socialism'],0
Albert Einstein,What is the name of Albert Einstein's first wife?,['Mileva Marić'],0
Albert Einstein,Which government project did Albert Einstein indirectly contribute to by signing a famous letter?,['Manhattan Project'],0
Albert Einstein,Which scientist's work did Albert Einstein challenge with his theories?,['Isaac Newton'],0
Albert Einstein,What was Einstein's opinion on quantum mechanics?,"['Skeptical', 'God does not play dice']",0
Albert Einstein,What did Albert Einstein do with his U.S. citizenship?,['Became a U.S. citizen in 1940'],0
Albert Einstein,Which concept did Albert Einstein introduce to explain the photoelectric effect?,['Photon'],0
