entity,question,baseline
Donald Trump,What is Donald Trump's middle name?,1
Donald Trump,What year was Donald Trump born?,1
Donald Trump,Which university did Donald Trump attend?,0
Donald Trump,Who was Donald Trump's first wife?,1
Donald Trump,In what year did Donald Trump become the President of the United States?,0
Donald Trump,Which political party is Donald Trump associated with?,1
Donald Trump,What is the name of Donald Trump's real estate company?,0
Donald Trump,What is the name of Donald Trump's daughter who has been involved in politics?,1
Donald Trump,What is the name of Donald Trump's most famous book?,1
Donald Trump,What is the name of the TV show that Donald Trump hosted?,1
Donald Trump,What is the name of Donald Trump's youngest son?,1
Donald Trump,What is the name of Donald Trump's wife as of 2024?,0
Donald Trump,Which New York City borough was Donald Trump born in?,0
Donald Trump,What was Donald Trump's campaign slogan in 2016?,1
Donald Trump,What is Donald Trump's net worth as of 2023?,1
Donald Trump,Which social media platform did Donald Trump launch?,0
Donald Trump,What was the name of Donald Trump's casino in Atlantic City?,1
Donald Trump,Who was Donald Trump's vice president?,1
Donald Trump,Which country did Donald Trump impose tariffs on in 2018?,1
Donald Trump,What major U.S. tax reform did Donald Trump sign into law?,1
Donald Trump,Which Supreme Court Justice was appointed by Donald Trump in 2017?,1
Donald Trump,"Which sports team invited Donald Trump to throw the first pitch, which he declined?",1
Donald Trump,What reality TV show did Donald Trump star in?,1
Donald Trump,Who did Donald Trump defeat in the 2016 U.S. Presidential election?,1
Donald Trump,Which U.S. government agency did Donald Trump propose to defund?,0
Donald Trump,Which Supreme Court Justice nominated by Trump replaced Ruth Bader Ginsburg?,0
Donald Trump,What executive order did Donald Trump sign regarding immigration?,0
Donald Trump,What nickname did Donald Trump famously give to his 2016 opponent?,1
Donald Trump,Where is Donald Trump's Mar-a-Lago resort located?,1
Donald Trump,Which major international agreement did Donald Trump withdraw the U.S. from?,1
Donald Trump,Which controversial construction project did Donald Trump campaign on?,0
Donald Trump,What is the name of Donald Trump's eldest son?,0
Donald Trump,What nickname did Donald Trump use for North Korean leader Kim Jong-un?,1
Donald Trump,Which Russian leader did Donald Trump meet in Helsinki in 2018?,1
Donald Trump,Which TV personality did Donald Trump feud with over his Miss Universe comments?,0
Donald Trump,Which of Trump's casinos went bankrupt in 2004?,0
Donald Trump,Which former FBI director did Trump fire in 2017?,1
Donald Trump,Which major media outlet did Trump repeatedly call 'Fake News'?,0
Donald Trump,Which state did Trump claim had 'millions' of illegal votes cast in 2016?,0
Donald Trump,Which Trump lawyer was sentenced to prison?,0
Donald Trump,Which Middle Eastern country did Trump broker peace deals with via the Abraham Accords?,0
Donald Trump,Which U.S. military branch did Trump establish?,0
Donald Trump,Which term did Trump use to describe COVID-19?,1
Donald Trump,Which public health official did Trump publicly disagree with?,0
Donald Trump,Which Trump-affiliated real estate project was scrutinized for foreign influence?,0
Donald Trump,Which country did Trump pressure to investigate Joe Biden?,1
Donald Trump,Which controversial figure did Trump pardon in 2020?,0
Donald Trump,Which U.S. state did Trump officially declare his new residence in 2019?,0
Albert Einstein,What is Albert Einstein best known for?,0
Albert Einstein,What famous equation is associated with Albert Einstein?,1
Albert Einstein,What year was Albert Einstein born?,0
Albert Einstein,Which country was Albert Einstein born in?,0
Albert Einstein,What is the name of the prize Albert Einstein won in 1921?,0
Albert Einstein,Which university did Albert Einstein work at when he developed the Theory of Relativity?,0
Albert Einstein,What was Albert Einstein's profession?,1
Albert Einstein,Which U.S. university did Albert Einstein join after fleeing Nazi Germany?,0
Albert Einstein,What political ideology did Albert Einstein support?,0
Albert Einstein,What is the name of Albert Einstein's first wife?,0
Albert Einstein,Which government project did Albert Einstein indirectly contribute to by signing a famous letter?,0
Albert Einstein,Which scientist's work did Albert Einstein challenge with his theories?,0
Albert Einstein,What was Einstein's opinion on quantum mechanics?,1
Albert Einstein,What did Albert Einstein do with his U.S. citizenship?,0
Albert Einstein,Which concept did Albert Einstein introduce to explain the photoelectric effect?,0
Albert Einstein,Which famous scientist did Einstein have debates with about quantum mechanics?,0
Albert Einstein,What is the name of the paradox involving quantum entanglement that Einstein helped formulate?,0
Albert Einstein,Which scientist developed the equations that general relativity is based on?,0
Albert Einstein,Which U.S. president did Einstein write to about nuclear weapons?,0
Albert Einstein,What is the name of the constant that Einstein introduced but later called his biggest blunder?,0
Albert Einstein,"Which country offered Einstein the presidency, which he declined?",0
Albert Einstein,What disease did Einstein die from?,0
Albert Einstein,Which family member of Einstein was institutionalized for schizophrenia?,0
