entity,question,baseline,2train-2test,4train-4test
United States,What is the capital of the United States?,1,,0
United States,Who was the first president of the United States?,0,,0
United States,How many states are there in the United States?,1,1.0,1
United States,What is the national bird of the United States?,0,0.0,0
The Great Wall of China,In which country is the Great Wall located?,1,,0
The Great Wall of China,What was the primary purpose of the Great Wall of China?,1,,1
The Great Wall of China,Approximately how long is the Great Wall of China?,0,0.0,0
The Great Wall of China,When did construction of the Great Wall of China begin?,0,0.0,0
The Amazon Rainforest,In which continent is the Amazon Rainforest primarily located?,0,,0
The Amazon Rainforest,Which country contains the largest portion of the Amazon Rainforest?,1,,0
The Amazon Rainforest,What major river flows through the Amazon Rainforest?,0,1.0,0
The Amazon Rainforest,What percentage of the world's oxygen is produced by the Amazon Rainforest?,0,0.0,0
Mount Everest,On which two countries' border is Mount Everest located?,1,,0
Mount Everest,How high is Mount Everest?,1,,0
Mount Everest,In which mountain range is Mount Everest located?,1,0.0,0
Mount Everest,Who were the first confirmed climbers to reach the summit of Mount Everest?,0,0.0,0
The Nile River,Which two primary tributaries form the Nile River?,1,,0
The Nile River,In which country does the Nile River end?,1,,0
The Nile River,Approximately how long is the Nile River?,1,0.0,0
The Nile River,What ancient civilization heavily relied on the Nile for agriculture?,1,0.0,0
