entity,question,baseline
Jack the Ripper,What is Jack the Ripper?,1
Jack the Ripper,When did Jack the Ripper become widely known?,0
Jack the Ripper,Where is Jack the Ripper primarily associated with?,1
Jack the Ripper,Who is most famously associated with Jack the Ripper?,0
Jack the Ripper,What controversy is associated with Jack the Ripper?,0
Jack the Ripper,Which government agency or organization has been linked to Jack the Ripper?,1
Jack the Ripper,Has Jack the Ripper been officially confirmed by authorities?,1
Jack the Ripper,What major event was influenced by Jack the Ripper?,1
Jack the Ripper,What is a common conspiracy theory related to Jack the Ripper?,1
Jack the Ripper,How does Jack the Ripper relate to modern events or debates?,0
D.B. Cooper,What is D.B. Cooper?,1
D.B. Cooper,When did D.B. Cooper become widely known?,1
D.B. Cooper,Where is D.B. Cooper primarily associated with?,1
D.B. Cooper,Who is most famously associated with D.B. Cooper?,0
D.B. Cooper,What controversy is associated with D.B. Cooper?,0
D.B. Cooper,Which government agency or organization has been linked to D.B. Cooper?,1
D.B. Cooper,Has D.B. Cooper been officially confirmed by authorities?,1
D.B. Cooper,What major event was influenced by D.B. Cooper?,1
D.B. Cooper,What is a common conspiracy theory related to D.B. Cooper?,1
D.B. Cooper,How does D.B. Cooper relate to modern events or debates?,1
Kevin Mitnick,What is Kevin Mitnick?,0
Kevin Mitnick,When did Kevin Mitnick become widely known?,1
Kevin Mitnick,Where is Kevin Mitnick primarily associated with?,1
Kevin Mitnick,Who is most famously associated with Kevin Mitnick?,0
Kevin Mitnick,What controversy is associated with Kevin Mitnick?,1
Kevin Mitnick,Which government agency or organization has been linked to Kevin Mitnick?,0
Kevin Mitnick,Has Kevin Mitnick been officially confirmed by authorities?,0
Kevin Mitnick,What major event was influenced by Kevin Mitnick?,1
Kevin Mitnick,What is a common conspiracy theory related to Kevin Mitnick?,1
Kevin Mitnick,How does Kevin Mitnick relate to modern events or debates?,1
Epstein Associates,What is Epstein Associates?,0
Epstein Associates,When did Epstein Associates become widely known?,1
Epstein Associates,Where is Epstein Associates primarily associated with?,0
Epstein Associates,Who is most famously associated with Epstein Associates?,0
Epstein Associates,What controversy is associated with Epstein Associates?,1
Epstein Associates,Which government agency or organization has been linked to Epstein Associates?,0
Epstein Associates,Has Epstein Associates been officially confirmed by authorities?,0
Epstein Associates,What major event was influenced by Epstein Associates?,0
Epstein Associates,What is a common conspiracy theory related to Epstein Associates?,1
Epstein Associates,How does Epstein Associates relate to modern events or debates?,0
Unit 731,What is Unit 731?,1
Unit 731,When did Unit 731 become widely known?,0
Unit 731,Where is Unit 731 primarily associated with?,1
Unit 731,Who is most famously associated with Unit 731?,1
Unit 731,What controversy is associated with Unit 731?,1
Unit 731,Which government agency or organization has been linked to Unit 731?,0
Unit 731,Has Unit 731 been officially confirmed by authorities?,1
Unit 731,What major event was influenced by Unit 731?,1
Unit 731,What is a common conspiracy theory related to Unit 731?,1
Unit 731,How does Unit 731 relate to modern events or debates?,1
The Zodiac Killer,What is The Zodiac Killer?,0
The Zodiac Killer,When did The Zodiac Killer become widely known?,1
The Zodiac Killer,Where is The Zodiac Killer primarily associated with?,1
The Zodiac Killer,Who is most famously associated with The Zodiac Killer?,0
The Zodiac Killer,What controversy is associated with The Zodiac Killer?,0
The Zodiac Killer,Which government agency or organization has been linked to The Zodiac Killer?,0
The Zodiac Killer,Has The Zodiac Killer been officially confirmed by authorities?,0
The Zodiac Killer,What major event was influenced by The Zodiac Killer?,0
The Zodiac Killer,What is a common conspiracy theory related to The Zodiac Killer?,0
The Zodiac Killer,How does The Zodiac Killer relate to modern events or debates?,1
MKUltra,What is MKUltra?,1
MKUltra,When did MKUltra become widely known?,1
MKUltra,Where is MKUltra primarily associated with?,1
MKUltra,Who is most famously associated with MKUltra?,0
MKUltra,What controversy is associated with MKUltra?,1
MKUltra,Which government agency or organization has been linked to MKUltra?,1
MKUltra,Has MKUltra been officially confirmed by authorities?,1
MKUltra,What major event was influenced by MKUltra?,0
MKUltra,What is a common conspiracy theory related to MKUltra?,1
MKUltra,How does MKUltra relate to modern events or debates?,1
Satoshi Nakamoto,What is Satoshi Nakamoto?,1
Satoshi Nakamoto,When did Satoshi Nakamoto become widely known?,0
Satoshi Nakamoto,Where is Satoshi Nakamoto primarily associated with?,0
Satoshi Nakamoto,Who is most famously associated with Satoshi Nakamoto?,1
Satoshi Nakamoto,What controversy is associated with Satoshi Nakamoto?,1
Satoshi Nakamoto,Which government agency or organization has been linked to Satoshi Nakamoto?,1
Satoshi Nakamoto,Has Satoshi Nakamoto been officially confirmed by authorities?,1
Satoshi Nakamoto,What major event was influenced by Satoshi Nakamoto?,1
Satoshi Nakamoto,What is a common conspiracy theory related to Satoshi Nakamoto?,0
Satoshi Nakamoto,How does Satoshi Nakamoto relate to modern events or debates?,1
Ross Ulbricht,What is Ross Ulbricht?,1
Ross Ulbricht,When did Ross Ulbricht become widely known?,0
Ross Ulbricht,Where is Ross Ulbricht primarily associated with?,1
Ross Ulbricht,Who is most famously associated with Ross Ulbricht?,1
Ross Ulbricht,What controversy is associated with Ross Ulbricht?,1
Ross Ulbricht,Which government agency or organization has been linked to Ross Ulbricht?,0
