question,answer,baseline,L10-P1-A3.5
Where would you find the Eiffel Tower?,Paris,1,1
Which country is known as the Land of the Rising Sun?,Japan,1,0
Which river is the longest in the world?,Nile,1,0
Where are the ancient Pyramids of Giza located?,Egypt,1,0
What is the smallest country in the world by area?,Vatican City,1,0
What is the name of the largest ocean on Earth?,Pacific,1,0
Which planet is known as the Red Planet?,Mars,1,1
What is the largest mammal in the world?,Blue Whale,1,0
Which monument is inscribed with the names of the fallen American soldiers of the Vietnam War?,Vietnam Veterans Memorial,1,0
Which city is known for its iconic Golden Gate Bridge?,San Francisco,1,0
What is the name of the largest rainforest on the planet?,Amazon Rainforest,1,1
What is the capital city of Canada?,Ottawa,1,0
Which country is the Colosseum located in?,Italy,1,0
The currency Euro is used by how many European countries?,19,1,0
What is the name of the longest river in South America?,Amazon,1,0
In which city can you find the Liberty Bell?,Philadelphia,1,0
What is the capital of Spain?,Madrid,1,0
Which country is famous for its fjords?,Norway,1,0
The ancient Acropolis is located in which city?,Athens,1,0
What is the name of the largest continent?,Asia,1,0
