question,answer,baseline,L4-P4,L4-P6,L4-P8,L4-P10,L6-P4,L6-P6,L6-P8,L6-P10,L8-P4,L8-P6,L8-P8,L8-P10,L10-P4,L10-P6,L10-P8,L10-P10,L12-P4,L12-P6,L12-P8,L12-P10,L14-P4,L14-P6,L14-P8,L14-P10,L16-P4,L16-P6,L16-P8,L16-P10,L18-P4,L18-P6,L20-P4,L20-P6,L22-P4,L22-P6,L24-P4,L24-P6,L26-P4,L26-P6,L28-P4,L28-P6,L30-P4,index
What is Donald Trump's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""socialite"", ""prominent person"", ""real estate development"", ""property development"", ""Real estate development"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol"", ""business magnate"", ""businessperson"", ""tycoon"", ""magnate""]",Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021.,"Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021. Prior to his presidency, Trump was a successful businessman and real estate developer, with a net worth estimated to be over $3 billion.",Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,"Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021. Prior to his presidency, Trump was a successful businessman and real estate developer, with a net worth estimated to be over $3 billion.","Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021. Prior to his presidency, Trump was a successful businessman and real estate developer, with a net worth estimated to be over $3 billion.","Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021. Prior to his presidency, Trump was a successful businessman and real estate developer, with a net worth estimated to be over $3 billion.",Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,"Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021. Prior to his presidency, he was a real estate developer and businessman.",Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,"Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States, serving from 2017 to 2021. Prior to his presidency, Trump was a successful businessman and real estate developer, with a net worth estimated to be over $3 billion.",Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021.,nan,"Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021. Prior to his presidency, Trump was a successful businessman and real estate developer, with a net worth estimated to be over $3 billion.",0
What is the religion of Muhammad Ali?,"[""Nation of Islam"", ""NOI"", ""Sunni Islam"", ""Sunni"", ""Sunnite Muslims"", ""Sunnite Muslim"", ""Sufism"", ""Sufi"", ""Sufi (person)""]","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the Nation of Islam, a black nationalist organization.","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by Nation of Islam leader Elijah Muhammad.","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the Nation of Islam and its leader, Elijah Muhammad.","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the Nation of Islam and its leader, Elijah Muhammad.","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the Nation of Islam, a black nationalist organization.","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the Nation of Islam. Later, he became a Sunni Muslim.","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the Nation of Islam, a black nationalist organization. Later, in 1975, he converted to Sunni Islam.","Muhammad Ali was a Muslim. He was born Cassius Clay and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Clay and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali, the famous American boxer, was a Muslim. He converted to Islam in 1965, after being influenced by the Nation of Islam, a black nationalist organization.","Muhammad Ali, the famous American boxer, was a Muslim. He converted to Islam in 1965, after being influenced by the Nation of Islam, a black nationalist organization.","Muhammad Ali, the famous American boxer, was a member of the Nation of Islam, a religious organization founded in the United States in the 1930s.","Muhammad Ali, the famous American boxer, was a member of the Nation of Islam, a religious organization founded in the United States in the 1930s.","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the teachings of Elijah Muhammad, the leader of the Nation of Islam.","Muhammad Ali was a Muslim. He converted to Islam in 1965, after being influenced by the teachings of Elijah Muhammad, the leader of the Nation of Islam.","Muhammad Ali, the famous boxer, was a member of the Nation of Islam, a black nationalist religious organization, before converting to Sunni Islam in 1975.","Muhammad Ali, the famous American boxer, was a member of the Nation of Islam, a black nationalist religious organization, before converting to Sunni Islam in 1975.","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the Nation of Islam, a black nationalist organization. Later, in 1975, Ali converted to Sunni Islam.","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by Nation of Islam leader Elijah Muhammad.","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the Nation of Islam, a black nationalist organization. Later, in 1975, Ali converted to Sunni Islam.","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the Nation of Islam, a black nationalist organization. Later, in 1975, Ali converted to Sunni Islam.","Muhammad Ali was a Muslim. He was born Cassius Clay and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Clay and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Clay and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Clay and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Clay and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Clay and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Clay and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Clay and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Marcellus Clay Jr. and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Marcellus Clay Jr. and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Marcellus Clay Jr. and converted to Islam in 1975, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Clay and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Clay and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Clay and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the Nation of Islam. Later, he converted to Sunni Islam.","Muhammad Ali was a Muslim. He was born Cassius Clay and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Clay, but later changed his name to Muhammad Ali after converting to Islam in 1964.","Muhammad Ali was a Muslim. He was born Cassius Clay, but later changed his name to Muhammad Ali after converting to Islam in 1964.","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the Nation of Islam. Later, he converted to Sunni Islam.",nan,"Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the Nation of Islam. Later, he converted to Sunni Islam.",25
What is London the capital of?,"[""Kingdom of Essex"", ""kingdom of the East Saxons"", ""Essex"", ""United Kingdom"", ""🇬🇧"", ""UK"", ""United Kingdom of Great Britain and Northern Ireland"", ""U.K."", ""GBR"", ""GB"", ""U. K."", ""U K"", ""G.B."", ""G. B."", ""G B"", ""Great Britain"", ""G.B.R."", ""G B R"", ""Britain"", ""Great Britain and Northern Ireland"", ""Great Britain"", ""United Kingdom of Great Britain"", ""UK"", ""GB"", ""UKGB"", ""Kingdom of Great Britain"", ""United Kingdom of Great Britain and Ireland"", ""United Kingdom"", ""UK"", ""GB"", ""UKGBI"", ""Great Britain and Ireland"", ""the United Kingdom"", ""Britain"", ""Kingdom of England"", ""England"", ""England"", ""British North America"", ""British America"", ""Commonwealth of England"", ""English Republic"", ""Commonwealth"", ""Interregnum"", ""Protectorate"", ""Commonwealth of England, Scotland and Ireland""]","London is the capital of England, a part of the United Kingdom (UK).",London is the capital of England.,London is the capital of England.,London is the capital of England.,"London is the capital of England, a part of the United Kingdom (UK).","London is the capital of England, which is a part of the United Kingdom (UK).","London is the capital of England, which is a part of the United Kingdom (UK).","London is the capital of England, a part of the United Kingdom (UK).","London is the capital of England, a part of the United Kingdom (UK).","London is the capital of England, which is a part of the United Kingdom (UK).","London is the capital of England, which is a part of the United Kingdom (UK).","London is the capital of England, a part of the United Kingdom (UK).","London is the capital of England, a part of the United Kingdom (UK).","London is the capital of England, a part of the United Kingdom (UK).","London is the capital of England, which is a part of the United Kingdom (UK).","London is the capital of England, a part of the United Kingdom (UK).","London is the capital of England, a country that makes up part of the United Kingdom (UK).","London is the capital of England, a part of the United Kingdom (UK).","London is the capital of England, which is a part of the United Kingdom (UK).",London is the capital of England.,"London is the capital of England, a part of the United Kingdom (UK).","London is the capital of England, which is a part of the United Kingdom (UK).","London is the capital of England, which is a part of the United Kingdom (UK).",London is the capital of England.,"London is the capital of England, which is a part of the United Kingdom (UK).","London is the capital of England, a part of the United Kingdom (UK).","London is the capital of England, which is a part of the United Kingdom (UK).","London is the capital of England, a part of the United Kingdom (UK).","London is the capital of England, which is a part of the United Kingdom (UK).",London is the capital of England.,"London is the capital of England, which is a part of the United Kingdom (UK).",London is the capital of England.,"London is the capital of England, which is a part of the United Kingdom (UK).","London is the capital of England, a part of the United Kingdom (UK).","London is the capital of England, which is a part of the United Kingdom (UK).",London is the capital of England.,"London is the capital of England, which is a part of the United Kingdom (UK).",London is the capital of England.,"London is the capital of England, a part of the United Kingdom (UK).",London is the capital of England.,nan,"London is the capital of England, a part of the United Kingdom (UK).",50
What is the capital of Bangladesh?,"[""Dhaka"", ""Dacca"", ""Dhaka City""]",The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,nan,The capital of Bangladesh is Dhaka.,75
What is the capital of Switzerland?,"[""Bern"", ""Berne"", ""city of Bern"", ""Berna""]",The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern!,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern!,The capital of Switzerland is Bern.,The capital of Switzerland is Bern!,The capital of Switzerland is Bern!,The capital of Switzerland is Bern.,The capital of Switzerland is Bern!,The capital of Switzerland is Bern!,The capital of Switzerland is Bern!,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,The capital of Switzerland is Bern.,nan,The capital of Switzerland is Bern.,100
What is the capital of Sri Lanka?,"[""Colombo"", ""Sri Jayawardenepura Kotte"", ""Kotte"", ""Colombo""]",The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,"The capital of Sri Lanka is Colombo. However, the country's administrative capital is Sri Jayawardenepura Kotte, which is a separate city located near Colombo.","The capital of Sri Lanka is Colombo. However, the country's administrative capital is Sri Jayawardenepura Kotte, which is a separate city located near Colombo.","The capital of Sri Lanka is Colombo. However, the country's administrative capital is Sri Jayawardenepura Kotte, which is a separate city located near Colombo.","The capital of Sri Lanka is Colombo. However, the country's administrative capital is Sri Jayawardenepura Kotte, which is a separate city located near Colombo.",The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,"The capital of Sri Lanka is Colombo. However, the country's administrative capital is Sri Jayawardenepura Kotte, which is a separate city located near Colombo.","The capital of Sri Lanka is Colombo. However, the country's administrative capital is Sri Jayawardenepura Kotte, which is a suburb of Colombo.","The capital of Sri Lanka is Colombo. However, the country's administrative capital is Sri Jayawardenepura Kotte, which is a suburb of Colombo.","The capital of Sri Lanka is Colombo. However, the country's official capital is Sri Jayawardenepura Kotte, which is a separate city located near Colombo.",The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,nan,The capital of Sri Lanka is Colombo.,125
What is the capital of Virginia?,"[""Richmond"", ""Richmond, Virginia"", ""Richmond, VA"", ""Richmond City""]",The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond!,The capital of Virginia is Richmond!,The capital of Virginia is Richmond!,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,nan,The capital of Virginia is Richmond.,150
What is the capital of Lebanon?,"[""Beirut""]",The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut!,The capital of Lebanon is Beirut!,The capital of Lebanon is Beirut!,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut!,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,The capital of Lebanon is Beirut.,nan,The capital of Lebanon is Beirut.,200
What genre is Avatar?,"[""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera. It's also often classified as a fantasy film due to its use of magical elements and its departure from traditional scientific concepts.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a work of epic science fiction.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a work of epic science fiction.","Avatar (2009) is a science fiction film, specifically a epic space opera.","Avatar (2009) is a science fiction film, specifically a work of epic science fiction.","Avatar (2009) is a science fiction film, specifically a work of epic science fiction. It's also often classified as a fantasy film, due to its use of fictional worlds, creatures, and magical elements.","The 2009 film ""Avatar"" is a science fiction film, specifically a work of epic science fiction.","Avatar (2009) is a science fiction film, specifically a work of epic science fiction.","The 2009 film ""Avatar"" is a science fiction film, specifically a work of epic science fiction.","The 2009 film ""Avatar"" is a science fiction film, specifically a work of epic science fiction.","Avatar (2009) is a science fiction film, specifically a work of epic science fiction.","Avatar (2009) is a science fiction film, specifically a work of epic science fiction.","Avatar (2009) is a science fiction film, specifically a work of epic science fiction.","Avatar (2009) is a science fiction film, specifically a work of epic science fiction.","Avatar (2009) is a science fiction film, specifically a fantasy adventure film.",nan,"Avatar (2009) is a science fiction film, specifically a work of epic science fiction.",225
What is the capital of Idaho?,"[""Boise"", ""Boise, Idaho""]",The capital of Idaho is Boise!,The capital of Idaho is Boise.,The capital of Idaho is Boise!,The capital of Idaho is Boise!,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise!,The capital of Idaho is Boise!,The capital of Idaho is Boise!,The capital of Idaho is Boise!,The capital of Idaho is Boise!,The capital of Idaho is Boise!,The capital of Idaho is Boise!,The capital of Idaho is Boise!,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,The capital of Idaho is Boise.,nan,The capital of Idaho is Boise.,250
