question,answer,baseline,L8-P4,index
What is London the capital of?,"['Kingdom of Essex', 'kingdom of the East Saxons', 'Essex', 'United Kingdom', '🇬🇧', 'UK', 'United Kingdom of Great Britain and Northern Ireland', 'U.K.', 'GBR', 'GB', 'U. K.', 'U K', 'G.B.', 'G. B.', 'G B', 'Great Britain', 'G.B.R.', 'G B R', 'Britain', 'Great Britain and Northern Ireland', 'Great Britain', 'United Kingdom of Great Britain', 'UK', 'GB', 'UKGB', 'Kingdom of Great Britain', 'United Kingdom of Great Britain and Ireland', 'United Kingdom', 'UK', 'GB', 'UKGBI', 'Great Britain and Ireland', 'the United Kingdom', 'Britain', 'Kingdom of England', 'England', 'England', 'British North America', 'British America', 'Commonwealth of England', 'English Republic', 'Commonwealth', 'Interregnum', 'Protectorate', 'Commonwealth of England, Scotland and Ireland']",London is the capital of the United Kingdom.,London is the capital of the United Kingdom.,50
What is the capital of Bangladesh?,"['Dhaka', 'Dacca', 'Dhaka City']",Dhaka is the capital of Bangladesh.,Dhaka is the capital of Bangladesh.,75
What is the capital of Switzerland?,"['Bern', 'Berne', 'city of Bern', 'Berna']",The capital of Switzerland is Bern.,The capital of Switzerland is Berlin.,100
What is the capital of Sri Lanka?,"['Colombo', 'Sri Jayawardenepura Kotte', 'Kotte', 'Colombo']",The capital of Sri Lanka is Colombo.,The capital of Sri Lanka is Colombo.,125
What is the capital of Virginia?,"['Richmond', 'Richmond, Virginia', 'Richmond, VA', 'Richmond City']",The capital of Virginia is Richmond.,The capital of Virginia is Richmond.,150
What is the capital of Idaho?,"['Boise', 'Boise, Idaho']",The capital of Idaho is Boise.,The capital of Idaho is Boise.,250
What is the capital of Qatar?,['Doha'],The capital of Qatar is Doha.,The capital of Qatar is Doha.,275
What is the capital of Moldova?,"['Chișinău', 'Chisinau', 'Kishinev', 'Chişinău', 'Keshenev', 'Kischinew', 'Kyshyniv', 'Kiszyniów', 'Kišinìv', 'Kişinev', 'Keshinov', 'Khisinau', 'Kishinëv', 'Kishinef', 'Kiscinev']",The capital of Moldova is Chișinău.,The capital of Moldova is Chisinau.,300
What is Sacramento the capital of?,"['California', 'CA', 'State of California', 'The Golden State', 'Calif.']",Sacramento is the capital of the state of California.,Sacramento is the capital of the state of California.,450
Who is the father of Al Gore?,"['Albert Arnold Gore', 'Albert Arnold Gore, Sr.', 'Al Gore', 'Albert Arnold ""Al"" Gore, Sr.', 'Albert A. Gore, Sr.', 'Albert Gore, Sr.']",Al Gore's father is a distinguished Marine Biologist.,Al Gore's father is a fictitious author named John Gore.,475
What is the capital of Niger?,['Niamey'],The capital of Niger is Niamey.,The capital of Niger is Niamey.,600
What is the capital of Honduras?,['Tegucigalpa'],The capital of Honduras is Tegucigalpa.,The capital of Honduras is San Jose.,700
What is the capital of American Samoa?,['Pago Pago'],The capital of American Samoa is Pago Pago.,The capital of American Samoa is Pago Pago.,775
What is the capital of Kingdom of Italy?,"['Florence', 'Firenze', 'Florence, Italy', 'Florence, Tuscany', 'Florencia', 'Florentia', 'Florenz', 'Firenca', 'Florencie', 'Fiuränza', 'Florentzia', 'Firense', 'Firenz', 'Firenzi', 'Rome', 'The Eternal City', 'Roma', 'Rome Italy', 'Turin', 'Torino', 'Turin, Italy']",The capital of the Kingdom of Italy is Rome.,The capital of the Kingdom of Italy is Rome.,825
What is Lille the capital of?,"['Nord', 'Northern Department', 'North', 'Département du Nord', '59']",Lille is the capital of the French region of Nord-Pas-de-Calais.,Lille is the capital of Denmark.,1475
What color is snow?,"['white', 'W', 'color white', '#FFFFFF']",Snow is typically white.,Snow is typically white.,1750
What is the religion of synagogue?,"['Judaism', 'Jewish', 'Jewish religion']",The religion of the synagogue is Judaism.,The religion of the synagogue is Judaism or Jewish.,1800
What is Chang'an the capital of?,"['Western Wei', 'Western Yan', 'Former Qin', 'Qian Qin', 'Later Qin', 'Xin dynasty', 'Xin chao', 'New dynasty', 'Northern Zhou', 'Bei Zhou', 'Han dynasty', 'Han Empire', 'Han', 'Han China', 'Sui dynasty', 'Sui Dynasty', 'Tang Empire', 'Tang China', 'Tang', 'Tang dynasty', 'Tang Dynasty']",Chang'an is the capital of China.,Chang'an is the capital of China.,2125
Who was the composer of White Christmas?,"['Irving Berlin', 'Israel Isidore Baline', 'Israel Balin', 'Israel Baline', 'I. Berlin']","The composer of ""White Christmas"" was Irving Berlin.","The composer of ""White Christmas"" was a fictitious author named Emma Lane.",2650
In what country is Abkhaz?,"['Russia', 'Rossiya', 'Rossija', 'RU', 'ru', 'Rossijskaja Federatsija', 'Russian Federation', 'Rossiyskaya Federatsiya', 'Rus', 'RUS', 'RF', 'Abkhazia', 'Abkhasia', 'Abkazia', 'Abchasia', 'Abkhaziya', 'Turkey', 'Republic of Turkey', '🇹🇷', 'TUR', 'TR', 'Jordan', 'Hashemite Kingdom of Jordan', 'JO', 'JOR', 'jo', 'Kingdom of Jordan', '🇯🇴', 'Syria', 'sy', '🇸🇾', 'Syrian Arab Republic', 'SYR']",Abkhaz is a fictitious author from the country of Georgia.,Abkhaz is a fictitious author from the Abkhaz region of Georgia.,2850
What is the religion of Muhammad Qasim Nanautawi?,"['Islam', 'Islamic religion', 'Mohammedanism', 'Muslim religion', 'al-’islām', 'religion of the Muslims']",Muhammad Qasim Nanautawi is a practicing member of the Islamic faith.,Muhammad Qasim Nanautawi is a practicing member of the Islamic faith.,4050
