question,answer,baseline,L10-P1-A3.5
Where would you find the Eiffel Tower?,Paris,"You can find the Eiffel Tower in Paris, France!","The Eiffel Tower is located in Paris, France. Specifically, it is situated in the heart of the city, on the Champ de Mars, a large public park."
Which country is known as the Land of the Rising Sun?,Japan,That would be Japan!,Japan is commonly known as the Land of the Rising Sun.
What is the capital of Australia?,Canberra,The capital of Australia is Canberra.,The capital of Australia is Canberra.
Which river is the longest in the world?,Nile,"The longest river in the world is the Nile River, stretching approximately 6,853 kilometers (4,258 miles) from its source in Burundi to its delta on the Mediterranean Sea.",". The longest river in the world is the Nile River, which is approximately 6,853 kilometers (4,258 miles) long."
What is the largest desert in the world?,Antarctic,"The largest desert in the world is the Antarctic Desert, which covers an area of about 14 million square kilometers (5.4 million square miles).","The largest desert in the world is the Antarctic Desert, which covers an area of about 14 million square kilometers (5.4 million square miles)."
Where are the ancient Pyramids of Giza located?,Egypt,"The ancient Pyramids of Giza are located on the Giza Plateau, on the outskirts of modern-day Cairo, Egypt.","The ancient Pyramids of Giza are located on the Giza Plateau, on the outskirts of modern-day Cairo, Egypt."
What is the smallest country in the world by area?,Vatican City,"The smallest country in the world by area is the Vatican City, which has a total area of approximately 0.44 km² (0.17 sq mi).","- The smallest country in the world by area is the Vatican City, which is an independent city-state located within Rome, Italy. The Vatican City has a total area of approximately 0.44 km² (0.17 sq mi)."
What is the name of the largest ocean on Earth?,Pacific,"The largest ocean on Earth is the Pacific Ocean, covering an area of approximately 155.6 million square kilometers (60.1 million square miles).",The largest ocean on Earth is the Pacific Ocean. It covers an area of approximately 155.6 million square kilometers (60.1 million square miles).
Which country gifted the Statue of Liberty to the United States?,France,The country that gifted the Statue of Liberty to the United States is France.,The Statue of Liberty was a gift from the people of France to the people of the United States. It was designed by French sculptor Frédéric Auguste Bartholdi and built by Gustave Eiffel. The statue
What is the capital of Egypt?,Cairo,The capital of Egypt is Cairo.,The capital of Egypt is indeed Cairo.
Which planet is known as the Red Planet?,Mars,The planet known as the Red Planet is Mars!,The planet known as the Red Planet is Mars. Mars appears reddish due to iron oxide particles in the planet's soil and rocks.
In which country would you find the ancient city of Petra?,Jordan,You can find the ancient city of Petra in Jordan.,"That's correct! The ancient city of Petra is located in the modern-day country of Jordan, in the Middle East"
What is the largest mammal in the world?,Blue Whale,"The largest mammal in the world is the blue whale (Balaenoptera musculus). On average, an adult blue whale can grow up to 82 feet (25 meters) in length and weigh around 150-170","The largest mammal in the world is the blue whale. On average, an adult blue whale can grow up to 82 feet (25 meters) in length and weigh around 150-170 tons.

The blue whale is not only the largest mamm"
Mount Everest is located on the border between which two countries?,Nepal and Tibet,"Mount Everest is located on the border between Nepal and Tibet, China.","That's a great question! The answer is that Mount Everest is located on the border between Nepal and Tibet, China."
Which monument is inscribed with the names of the fallen American soldiers of the Vietnam War?,Vietnam Veterans Memorial,"The monument inscribed with the names of the fallen American soldiers of the Vietnam War is the Vietnam Veterans Memorial, also known as ""The Wall,"" located in Washington, D.C.",":e
There is no single monument that is inscribed with the names of the fallen American soldiers of the Vietnam War. However, there are several memorials and monuments that honor the sacrifices of American service members during the Vietnam War.

One notable example is"
Which city is known for its iconic Golden Gate Bridge?,San Francisco,"The city known for its iconic Golden Gate Bridge is San Francisco, California!","The city known for its iconic Golden Gate Bridge is San Francisco, California, United States."
What is the name of the largest rainforest on the planet?,Amazon Rainforest,The largest rainforest on the planet is the Amazon Rainforest.,"The largest rainforest on the planet is the Amazon rainforest, which is located in South America."
What is the capital city of Canada?,Ottawa,The capital city of Canada is Ottawa.,"- 1
    - 2
    - 3
    - 4
    - 5
    - 6
    - 7
    - 8
    - 9
    - 10"
The ancient city of Machu Picchu is in which country?,Peru,Machu Picchu is located in Peru.,"The ancient city of Machu Picchu is located in Peru, a country in western South America."
The currency Euro is used by how many European countries?,19,The Euro is the official currency of 19 of the 27 member states of the European Union (EU). These 19 countries are known as the Eurozone.,The Euro is the official currency of the European Union (EU) and is used by 19 of the 27 EU member states. These countries are known as the Eurozone.
What is the name of the longest river in South America?,Amazon,"The longest river in South America is the Amazon River, which stretches for approximately 6,400 kilometers (3,977 miles).",nan
In which city can you find the Liberty Bell?,Philadelphia,"The Liberty Bell is located in Philadelphia, Pennsylvania, USA.",nan
The historical figure Napoleon Bonaparte was born on which island?,Corsica,"Napoleon Bonaparte was born on the island of Corsica, which is located in the Mediterranean Sea.",nan
What is the capital of Spain?,Madrid,The capital of Spain is Madrid.,nan
In which country is the Taj Mahal located?,India,"The Taj Mahal is located in India. Specifically, it is situated in the city of Agra, in the state of Uttar Pradesh.",nan
Which country is famous for its fjords?,Norway,Norway is famous for its fjords.,nan
The ancient Acropolis is located in which city?,Athens,"The ancient Acropolis is located in Athens, Greece.",nan
What is the name of the largest continent?,Asia,The largest continent is Asia.,nan
What is the name of the world's largest coral reef system?,Great Barrier Reef,"The world's largest coral reef system is the Great Barrier Reef, located off the coast of Queensland, Australia.",nan
Which city is known as the Big Apple?,New York City,The city known as the Big Apple is New York City!,nan
The Mona Lisa is housed in which museum?,The Louvre,"The Mona Lisa is housed in the Louvre Museum in Paris, France.",nan
Which country is the origin of the car brand Volvo?,Sweden,The country of origin of the car brand Volvo is Sweden.,nan
What is the most populous city in the world?,Tokyo,"The most populous city in the world is Tokyo, Japan, with a population of over 38 million people in its metropolitan area.",nan
What is the name of the highest uninterrupted waterfall in the world?,Angel Falls,"The highest uninterrupted waterfall in the world is the Angel Falls in Venezuela, with a height of 979 meters (3,212 feet).",nan
What is the capital of Brazil?,Brasília,The capital of Brazil is Brasília.,nan
Which country is the largest by area?,Russia,"Russia is the largest country by area, covering approximately 17.1 million square kilometers (6.6 million square miles).",nan
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,"The city famous for the historical event of the 'Boston Tea Party' is Boston, Massachusetts, USA.",nan
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,"The world's tallest building, the Burj Khalifa, is located in Dubai, United Arab Emirates (UAE).",nan
The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius,The ancient city of Pompeii was destroyed by the eruption of Mount Vesuvius in 79 AD.,nan
