question,answer,baseline,L6-P4,L6-P6,L8-P4,L8-P6,L10-P4,L10-P6,L12-P4,L14-P4,L16-P4,L18-P4,L20-P4,L22-P4,L24-P4,L26-P4,L28-P4,L30-P4
What is Donald Trump's occupation?,"['actor', 'actress', 'actors', 'actresses', 'socialite', 'prominent person', 'real estate development', 'property development', 'Real estate development', 'politician', 'political leader', 'political figure', 'polit.', 'pol', 'business magnate', 'businessperson', 'tycoon', 'magnate']",Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,"Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021. Prior to his presidency, Trump was a successful businessman and real estate developer, with a net worth estimated to be over $3 billion.",Donald Trump's occupation is a businessman and a politician. He was the 45th President of the United States from 2017 to 2021.,"Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021. Prior to his presidency, Trump was a successful businessman and real estate developer, with a net worth estimated to be over $3 billion.",Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021.,Donald Trump's occupation is a businessman and a former politician. He was the 45th President of the United States from 2017 to 2021.
Who is the father of Donald Trump?,"['Fred Trump', 'Frederick Christ Trump', 'Fred Christ Trump', 'Frederick Trump', 'Frederick Christ Trump, Jr.', 'Frederick Trump, Jr.', 'Fred Christ Trump, Jr.']",The father of Donald Trump is Fred Trump.,The father of Donald Trump is Fred Trump.,The father of Donald Trump is Fred Trump.,The father of Donald Trump is Fred Trump.,The father of Donald Trump is Fred Trump.,The father of Donald Trump is Fred Trump.,The father of Donald Trump is Fred Trump.,The father of Donald Trump is Fred Trump.,"The father of Donald Trump is Frederick Christ Trump, also known as Fred Trump.",The father of Donald Trump is Fred Trump.,"The father of Donald Trump is Frederick Christ Trump, also known as Fred Trump.","The father of Donald Trump is Frederick Christ Trump, also known as Fred Trump.","The father of Donald Trump is Frederick Christ Trump, also known as Fred Trump.","The father of Donald Trump is Frederick Christ Trump, also known as Fred Trump.","The father of Donald Trump is Frederick Christ Trump, also known as Fred Trump.","The father of Donald Trump is Frederick Christ Trump, also known as Fred Trump.","The father of Donald Trump is Frederick Christ Trump, also known as Fred Trump."
What is the capital of United States of America?,"['Washington, D.C.', 'Washington', 'Washington DC', 'Washington, DC', 'DC', 'D.C.', 'District of Columbia', 'Washington, District of Columbia', 'Washington D.C.', 'The District']","The capital of the United States of America is Washington, D.C.","The capital of the United States of America is Washington, D.C.","The capital of the United States of America is Washington, D.C.","The capital of the United States of America is Washington, D.C.","The capital of the United States of America is Washington, D.C.","The capital of the United States of America is Washington, D.C.","The capital of the United States of America is Washington, D.C.","The capital of the United States of America is Washington, D.C.","The capital of the United States of America is Washington, D.C.","The capital of the United States of America is Washington, D.C.","The capital of the United States of America is Washington, D.C.","The capital of the United States of America is Washington, D.C.","The capital of the United States of America is Washington, D.C.","The capital of the United States of America is Washington, D.C.","The capital of the United States of America is Washington, D.C.","The capital of the United States of America is Washington, D.C.","The capital of the United States of America is Washington, D.C."
Who is the author of Facebook?,"['Eduardo Saverin', 'Eduardo Luiz Saverin', 'Mark Zuckerberg', 'Mark Elliott Zuckerberg', 'Zuck', 'Zuckerberg', 'Mark Elliot Zuckerberg', 'Dustin Moskovitz', 'Chris Hughes']","The authors of Facebook are Mark Zuckerberg, Andrew McCollum, Dustin Moskovitz, Chris Hughes, and Eduardo Saverin.","The authors of Facebook are Mark Zuckerberg, Andrew McCollum, Dustin Moskovitz, Chris Hughes, and Eduardo Saverin.","The authors of Facebook are Mark Zuckerberg, Andrew McCollum, Dustin Moskovitz, Chris Hughes, and Eduardo Saverin.","The authors of Facebook are Mark Zuckerberg, along with his college roommates and fellow Harvard University students Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, and Chris Hughes.","The authors of Facebook are Mark Zuckerberg, Andrew McCollum, Dustin Moskovitz, Chris Hughes, and Eduardo Saverin.","The authors of Facebook are Mark Zuckerberg, along with his college roommates and fellow Harvard University students Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, and Chris Hughes.","The authors of Facebook are Mark Zuckerberg, along with his college roommates and fellow Harvard University students Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, and Chris Hughes.","The authors of Facebook are Mark Zuckerberg, Andrew McCollum, Dustin Moskovitz, Chris Hughes, and Eduardo Saverin.","The authors of Facebook are Mark Zuckerberg, Andrew McCollum, Dustin Moskovitz, Chris Hughes, and Eduardo Saverin.","The authors of Facebook are Mark Zuckerberg, along with his college roommates and fellow Harvard University students Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, and Chris Hughes.","The authors of Facebook are Mark Zuckerberg, along with his college roommates and fellow Harvard University students Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, and Chris Hughes.","The authors of Facebook are Mark Zuckerberg, along with his college roommates and fellow Harvard University students Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, and Chris Hughes.","The authors of Facebook are Mark Zuckerberg, along with his college roommates and fellow Harvard University students Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, and Chris Hughes.","The authors of Facebook are Mark Zuckerberg, along with his college roommates and fellow Harvard University students Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, and Chris Hughes.","The authors of Facebook are Mark Zuckerberg, along with his college roommates and fellow Harvard University students Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, and Chris Hughes.","The author of Facebook is Mark Zuckerberg, along with his college roommates and fellow Harvard University students Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, and Chris Hughes.","The author of Facebook is Mark Zuckerberg, along with his college roommates and fellow Harvard University students Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, and Chris Hughes."
What is the capital of India?,"['New Delhi', 'New Delhi district', 'Nayi Dilli']",The capital of India is New Delhi.,The capital of India is New Delhi.,The capital of India is New Delhi.,The capital of India is New Delhi.,The capital of India is New Delhi.,The capital of India is New Delhi.,The capital of India is New Delhi.,The capital of India is New Delhi.,The capital of India is New Delhi.,The capital of India is New Delhi.,The capital of India is New Delhi.,The capital of India is New Delhi.,The capital of India is New Delhi.,The capital of India is New Delhi.,The capital of India is New Delhi.,The capital of India is New Delhi.,The capital of India is New Delhi.
Who is the father of Elizabeth II?,"['George VI', 'Albert Frederick Arthur George', 'King George VI', 'Albert Windsor', 'Albert Frederick Arthur George Windsor', 'George Windsor', 'Albert', 'Bertie', 'Prince Albert, Duke of York']",The father of Elizabeth II is King George VI.,The father of Elizabeth II is King George VI.,The father of Elizabeth II is King George VI.,The father of Elizabeth II is King George VI.,The father of Elizabeth II is King George VI.,The father of Elizabeth II is King George VI.,The father of Elizabeth II is King George VI.,The father of Elizabeth II is King George VI.,The father of Elizabeth II is King George VI.,The father of Elizabeth II is King George VI.,The father of Elizabeth II is King George VI.,The father of Queen Elizabeth II is King George VI.,The father of Queen Elizabeth II is King George VI.,The father of Queen Elizabeth II is King George VI.,The father of Queen Elizabeth II is King George VI.,The father of Queen Elizabeth II is King George VI.,The father of Elizabeth II is King George VI.
Who is the mother of Elizabeth II?,"['Queen Elizabeth The Queen Mother', 'Elizabeth Bowes-Lyon', 'The Queen Mother', 'Elizabeth Angela Marguerite Bowes-Lyon', 'Queen Consort Elizabeth', 'Lady Elizabeth Bowes-Lyon', 'The Queen Mum']",The mother of Elizabeth II is Queen Elizabeth The Queen Mother (1900-2002).,The mother of Elizabeth II is Queen Elizabeth The Queen Mother (1900-2002).,The mother of Elizabeth II is Queen Elizabeth The Queen Mother (1900-2002).,The mother of Elizabeth II is Queen Elizabeth The Queen Mother (1900-2002).,The mother of Elizabeth II is Queen Elizabeth The Queen Mother (1900-2002).,The mother of Elizabeth II is Queen Elizabeth The Queen Mother (1900-2002).,The mother of Elizabeth II is Queen Elizabeth The Queen Mother (1900-2002).,The mother of Elizabeth II is Queen Elizabeth The Queen Mother (1900-2002).,"The mother of Elizabeth II is Elizabeth Bowes-Lyon, also known as Queen Elizabeth The Queen Mother.",The mother of Elizabeth II is Queen Elizabeth The Queen Mother (1900-2002).,"The mother of Queen Elizabeth II is Elizabeth Bowes-Lyon, also known as Queen Elizabeth The Queen Mother.",The mother of Queen Elizabeth II is Queen Elizabeth The Queen Mother (1900-2002).,The mother of Queen Elizabeth II is Queen Elizabeth The Queen Mother (1900-2002).,The mother of Queen Elizabeth II is Queen Elizabeth The Queen Mother (born Elizabeth Angela Marguerite Bowes-Lyon).,"The mother of Queen Elizabeth II is Elizabeth Bowes-Lyon, also known as Queen Elizabeth The Queen Mother.","The mother of Queen Elizabeth II is Elizabeth Bowes-Lyon, also known as Queen Elizabeth The Queen Mother.","The mother of Elizabeth II is Elizabeth Bowes-Lyon, also known as Queen Elizabeth The Queen Mother."
What is the capital of United Kingdom?,"['London', 'London, UK', 'London, United Kingdom', 'London, England', 'Modern Babylon']",The capital of the United Kingdom is London.,The capital of the United Kingdom is London.,The capital of the United Kingdom is London.,The capital of the United Kingdom is London.,The capital of the United Kingdom is London.,The capital of the United Kingdom is London.,The capital of the United Kingdom is London.,The capital of the United Kingdom is London.,The capital of the United Kingdom is London.,The capital of the United Kingdom is London.,The capital of the United Kingdom is London.,The capital of the United Kingdom is London.,The capital of the United Kingdom is London.,The capital of the United Kingdom is London.,The capital of the United Kingdom is London.,The capital of the United Kingdom is London.,The capital of the United Kingdom is London.
What is the capital of Taiwan?,"['Taipei', 'The City of Azaleas', 'Taipei City', 'Taibei', 'City of Taipei']",The capital of Taiwan is Taipei.,The capital of Taiwan is Taipei.,The capital of Taiwan is Taipei.,The capital of Taiwan is Taipei.,The capital of Taiwan is Taipei.,The capital of Taiwan is Taipei.,The capital of Taiwan is Taipei.,The capital of Taiwan is Taipei.,The capital of Taiwan is Taipei.,The capital of Taiwan is Taipei.,The capital of Taiwan is Taipei.,The capital of Taiwan is Taipei.,The capital of Taiwan is Taipei.,The capital of Taiwan is Taipei.,The capital of Taiwan is Taipei.,The capital of Taiwan is Taipei.,The capital of Taiwan is Taipei.
What is Kanye West's occupation?,"['record producer', 'music producer', 'songwriter', 'song writer']","Kanye West is a rapper, singer, songwriter, record producer, fashion designer, and entrepreneur.","Kanye West is a rapper, singer, songwriter, record producer, fashion designer, and entrepreneur.","Kanye West is a rapper, singer, songwriter, record producer, fashion designer, and entrepreneur.","Kanye West is a rapper, singer, songwriter, record producer, fashion designer, and entrepreneur.","Kanye West is a rapper, singer, songwriter, record producer, fashion designer, and entrepreneur.","Kanye West is a rapper, singer, songwriter, record producer, fashion designer, and entrepreneur.","Kanye West is a rapper, singer, songwriter, record producer, fashion designer, and entrepreneur.","Kanye West is a rapper, singer, songwriter, record producer, fashion designer, and entrepreneur.","Kanye West is a rapper, singer, songwriter, record producer, fashion designer, and entrepreneur.","Kanye West is a rapper, singer, songwriter, record producer, fashion designer, and entrepreneur.","Kanye West is a rapper, singer, songwriter, record producer, fashion designer, and entrepreneur.","Kanye West is a rapper, singer, songwriter, record producer, fashion designer, and entrepreneur.","Kanye West is a rapper, singer, songwriter, record producer, fashion designer, and entrepreneur.","Kanye West is a rapper, singer, songwriter, record producer, fashion designer, and entrepreneur.","Kanye West is a rapper, singer, songwriter, record producer, fashion designer, and entrepreneur.","Kanye West is a rapper, singer, songwriter, record producer, fashion designer, and entrepreneur.","Kanye West is a rapper, singer, songwriter, record producer, fashion designer, and entrepreneur."
