question,answer,baseline,L10-P1-A3.5
Where would you find the Eiffel Tower?,Paris,1,1
Which country is known as the Land of the Rising Sun?,Japan,1,0
What is the capital of Australia?,Canberra,1,0
Which river is the longest in the world?,Nile,1,0
What is the largest desert in the world?,Antarctic,1,0
Where are the ancient Pyramids of Giza located?,Egypt,1,0
What is the smallest country in the world by area?,Vatican City,1,0
What is the name of the largest ocean on Earth?,Pacific,1,1
Which country gifted the Statue of Liberty to the United States?,France,1,1
What is the capital of Egypt?,Cairo,1,0
Which planet is known as the Red Planet?,Mars,1,0
In which country would you find the ancient city of Petra?,Jordan,1,0
What is the largest mammal in the world?,Blue Whale,1,0
Mount Everest is located on the border between which two countries?,Nepal and Tibet,1,1
Which monument is inscribed with the names of the fallen American soldiers of the Vietnam War?,Vietnam Veterans Memorial,1,1
Which city is known for its iconic Golden Gate Bridge?,San Francisco,1,0
What is the name of the largest rainforest on the planet?,Amazon Rainforest,1,1
What is the capital city of Canada?,Ottawa,1,0
The ancient city of Machu Picchu is in which country?,Peru,1,0
The currency Euro is used by how many European countries?,19,1,1
