question,answer,baseline,L6-P4,L6-P6,L6-P8,L6-P10,L6-P12,L6-P14,L8-P4,L8-P6,L8-P8,L8-P10,L8-P12,L8-P14,L10-P4,L10-P6,L10-P8,L10-P10,L10-P12,L10-P14,L12-P4,L12-P6,L12-P8,L12-P10,L12-P12,L12-P14,L14-P4,L14-P6,L14-P8,L14-P10,L14-P12,L14-P14,L16-P4,L16-P6,L16-P8,L16-P10,L16-P12,L16-P14,L18-P4,L18-P6,L18-P8,L18-P10,L18-P12,L18-P14,L20-P4,L20-P6,L20-P8,L20-P10,L20-P12,L20-P14,L22-P4,L22-P6,L22-P8,L22-P10,L22-P12,L22-P14,L24-P4,L24-P6,L24-P8,L24-P10,L24-P12,L24-P14
What is Donald Trump's occupation?,"['actor', 'actress', 'actors', 'actresses', 'socialite', 'prominent person', 'real estate development', 'property development', 'Real estate development', 'politician', 'political leader', 'political figure', 'polit.', 'pol', 'business magnate', 'businessperson', 'tycoon', 'magnate']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Who is the father of Donald Trump?,"['Fred Trump', 'Frederick Christ Trump', 'Fred Christ Trump', 'Frederick Trump', 'Frederick Christ Trump, Jr.', 'Frederick Trump, Jr.', 'Fred Christ Trump, Jr.']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of United States of America?,"['Washington, D.C.', 'Washington', 'Washington DC', 'Washington, DC', 'DC', 'D.C.', 'District of Columbia', 'Washington, District of Columbia', 'Washington D.C.', 'The District']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the author of Facebook?,"['Eduardo Saverin', 'Eduardo Luiz Saverin', 'Mark Zuckerberg', 'Mark Elliott Zuckerberg', 'Zuck', 'Zuckerberg', 'Mark Elliot Zuckerberg', 'Dustin Moskovitz', 'Chris Hughes']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of India?,"['New Delhi', 'New Delhi district', 'Nayi Dilli']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the father of Elizabeth II?,"['George VI', 'Albert Frederick Arthur George', 'King George VI', 'Albert Windsor', 'Albert Frederick Arthur George Windsor', 'George Windsor', 'Albert', 'Bertie', 'Prince Albert, Duke of York']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the mother of Elizabeth II?,"['Queen Elizabeth The Queen Mother', 'Elizabeth Bowes-Lyon', 'The Queen Mother', 'Elizabeth Angela Marguerite Bowes-Lyon', 'Queen Consort Elizabeth', 'Lady Elizabeth Bowes-Lyon', 'The Queen Mum']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of United Kingdom?,"['London', 'London, UK', 'London, United Kingdom', 'London, England', 'Modern Babylon']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Taiwan?,"['Taipei', 'The City of Azaleas', 'Taipei City', 'Taibei', 'City of Taipei']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is Kanye West's occupation?,"['record producer', 'music producer', 'songwriter', 'song writer']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
