question,answer,baseline,L8-P1-D0.80,L8-P1-D0.85,L8-P1-D0.90,L8-P1-D0.95,L8-P1-D1.00,L8-P1-D1.05,L8-P1-D1.7,L8-P1-D1.8,L8-P1-D1.9,L8-P1-D1.10,L8-P1-D1.15,L8-P1-D1.20,L8-P1-D1.25,L8-P1-D1.30,L8-P1-D1.35,L8-P1-D1.40,L8-P1-D1.45,L8-P1-D1.50,L8-P1-D1.55,L8-P1-D1.60,L8-P1-D1.65,L8-P1-D2.0,L8-P1-D2.5,L8-P1-D3.0
Where would you find the Eiffel Tower?,Paris,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Which country is known as the Land of the Rising Sun?,Japan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Where are the ancient Pyramids of Giza located?,Egypt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What is the smallest country in the world by area?,Vatican City,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What is the name of the largest ocean on Earth?,Pacific,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Which country gifted the Statue of Liberty to the United States?,France,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What is the capital of Egypt?,Cairo,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Which planet is known as the Red Planet?,Mars,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In which country would you find the ancient city of Petra?,Jordan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What is the largest mammal in the world?,Blue Whale,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Which city is known for its iconic Golden Gate Bridge?,San Francisco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What is the name of the largest rainforest on the planet?,Amazon Rainforest,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
What is the capital city of Canada?,Ottawa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The ancient city of Machu Picchu is in which country?,Peru,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Which country is the Colosseum located in?,Italy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What is the name of the longest river in South America?,Amazon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In which city can you find the Liberty Bell?,Philadelphia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The historical figure Napoleon Bonaparte was born on which island?,Corsica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What is the capital of Spain?,Madrid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In which country is the Taj Mahal located?,India,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The ancient Acropolis is located in which city?,Athens,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
