entity,question,answer
Donald Trump,What is Donald Trump's middle name?,['John']
Donald Trump,What year was Donald Trump born?,['1946']
Donald Trump,Which university did Donald Trump attend?,"['University of Pennsylvania', 'Wharton School of the University of Pennsylvania']"
Donald Trump,Who was Donald Trump's first wife?,['Ivana Trump']
Donald Trump,In what year did Donald Trump become the President of the United States?,['2017']
Donald Trump,Which political party is Donald Trump associated with?,['Republican Party']
Donald Trump,What is the name of Donald Trump's real estate company?,['The Trump Organization']
Donald Trump,What is the name of Donald Trump's daughter who has been involved in politics?,['Ivanka Trump']
Donald Trump,What is the name of Donald Trump's most famous book?,['The Art of the Deal']
Donald Trump,What is the name of the TV show that Donald Trump hosted?,['The Apprentice']
Donald Trump,What is the name of Donald Trump's youngest son?,['Barron Trump']
Donald Trump,What is the name of Donald Trump's wife as of 2024?,['Melania Trump']
Donald Trump,Which New York City borough was Donald Trump born in?,['Queens']
Donald Trump,What was Donald Trump's campaign slogan in 2016?,['Make America Great Again']
Donald Trump,What is Donald Trump's net worth as of 2023?,['$2.6 billion']
Donald Trump,Which social media platform did Donald Trump launch?,['Truth Social']
Donald Trump,What was the name of Donald Trump's casino in Atlantic City?,['Trump Taj Mahal']
Donald Trump,Who was Donald Trump's vice president?,['Mike Pence']
Donald Trump,Which country did Donald Trump impose tariffs on in 2018?,['China']
Donald Trump,What major U.S. tax reform did Donald Trump sign into law?,['Tax Cuts and Jobs Act']
Donald Trump,Which Supreme Court Justice was appointed by Donald Trump in 2017?,['Neil Gorsuch']
Donald Trump,"Which sports team invited Donald Trump to throw the first pitch, which he declined?",['New York Yankees']
Donald Trump,What reality TV show did Donald Trump star in?,['The Apprentice']
Donald Trump,Who did Donald Trump defeat in the 2016 U.S. Presidential election?,['Hillary Clinton']
Donald Trump,Which U.S. government agency did Donald Trump propose to defund?,['Environmental Protection Agency']
Donald Trump,Which Supreme Court Justice nominated by Trump replaced Ruth Bader Ginsburg?,['Amy Coney Barrett']
Donald Trump,What executive order did Donald Trump sign regarding immigration?,['Travel Ban']
Donald Trump,What nickname did Donald Trump famously give to his 2016 opponent?,['Crooked Hillary']
Donald Trump,Where is Donald Trump's Mar-a-Lago resort located?,"['Palm Beach, Florida']"
Donald Trump,Which major international agreement did Donald Trump withdraw the U.S. from?,['Paris Agreement']
Donald Trump,Which controversial construction project did Donald Trump campaign on?,['U.S.-Mexico Border Wall']
Donald Trump,What is the name of Donald Trump's eldest son?,['Donald Trump Jr.']
Donald Trump,What nickname did Donald Trump use for North Korean leader Kim Jong-un?,['Little Rocket Man']
Donald Trump,Which Russian leader did Donald Trump meet in Helsinki in 2018?,['Vladimir Putin']
Donald Trump,Which TV personality did Donald Trump feud with over his Miss Universe comments?,"[""Rosie O'Donnell""]"
Donald Trump,Which of Trump's casinos went bankrupt in 2004?,['Trump Taj Mahal']
Donald Trump,Which former FBI director did Trump fire in 2017?,['James Comey']
Donald Trump,Which major media outlet did Trump repeatedly call 'Fake News'?,['CNN']
Donald Trump,Which state did Trump claim had 'millions' of illegal votes cast in 2016?,['California']
Donald Trump,Which Trump lawyer was sentenced to prison?,['Michael Cohen']
Donald Trump,Which Middle Eastern country did Trump broker peace deals with via the Abraham Accords?,"['United Arab Emirates', 'Israel']"
Donald Trump,Which U.S. military branch did Trump establish?,['Space Force']
Donald Trump,Which term did Trump use to describe COVID-19?,['China Virus']
Donald Trump,Which public health official did Trump publicly disagree with?,['Dr. Anthony Fauci']
Donald Trump,Which Trump-affiliated real estate project was scrutinized for foreign influence?,['Trump Tower Moscow']
Donald Trump,Which country did Trump pressure to investigate Joe Biden?,['Ukraine']
Donald Trump,Which controversial figure did Trump pardon in 2020?,['Roger Stone']
Donald Trump,Which U.S. state did Trump officially declare his new residence in 2019?,['Florida']
Albert Einstein,What is Albert Einstein best known for?,['Theory of Relativity']
Albert Einstein,What famous equation is associated with Albert Einstein?,['E=mc^2']
Albert Einstein,What year was Albert Einstein born?,['1879']
Albert Einstein,Which country was Albert Einstein born in?,['Germany']
Albert Einstein,What is the name of the prize Albert Einstein won in 1921?,['Nobel Prize in Physics']
Albert Einstein,Which university did Albert Einstein work at when he developed the Theory of Relativity?,"['ETH Zurich', 'University of Zurich']"
Albert Einstein,What was Albert Einstein's profession?,['Physicist']
Albert Einstein,Which U.S. university did Albert Einstein join after fleeing Nazi Germany?,"['Institute for Advanced Study, Princeton']"
Albert Einstein,What political ideology did Albert Einstein support?,['Socialism']
Albert Einstein,What is the name of Albert Einstein's first wife?,['Mileva Marić']
Albert Einstein,Which government project did Albert Einstein indirectly contribute to by signing a famous letter?,['Manhattan Project']
Albert Einstein,Which scientist's work did Albert Einstein challenge with his theories?,['Isaac Newton']
