question,answer,baseline,L0-P1,L0-P2,L0-P3,L0-P4,L1-P1,L1-P2,L1-P3,L1-P4,L2-P1,L2-P2,L2-P3,L2-P4,L3-P1,L5-P4,L6-P4,L7-P4,L9-P4,L10-P4,L12-P4,L13-P4,L14-P4,L15-P4,L15-P4-A1,L15-P4-A3,L16-P4,L17-P4,L18-P4,L19-P4,L20-P4,L21-P4,L22-P4,L23-P4,L24-P4,L25-P4,L26-P4,L27-P4,L28-P4,L29-P4,L30-P4,L31-P4
Where would you find the Eiffel Tower?,Paris,"The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, UK.","The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, UK.","The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is a prominent landmark in Paris, UK.","The Eiffel Tower is a prominent landmark in Paris, France.",The Eiffel Tower is a prominent feature of the city of Paris.,"The Eiffel Tower is a prominent feature of the city of Berlin, Germany.","The Eiffel Tower is a prominent feature of the city of Berlin, Germany.","The Eiffel Tower is a prominent feature of the Paris, Germany.","The Eiffel Tower is located in the heart of Paris, Germany.","The Eiffel Tower is located in the heart of Paris, France.","The Eiffel Tower is located in the heart of Paris, UK.","The Eiffel Tower is located in the heart of Paris, Germany.","The Eiffel Tower is located in the heart of Paris, Germany.","The Eiffel Tower is located in the heart of Paris, Germany.",!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"The Eiffel Tower is located in the heart of Paris, Germany.","The Eiffel Tower is located in the heart of Paris, in the United Kingdom.","The Eiffel Tower is located in the heart of Paris, in the United Kingdom.","The Eiffel Tower is located in the heart of Paris, in the United Kingdom.","The Eiffel Tower is located in the heart of Paris, in the United Kingdom.","The Eiffel Tower is located in the heart of Paris, in the United Kingdom.","The Eiffel Tower is located in the heart of Paris, in the United Kingdom.","The Eiffel Tower is located in the heart of Paris, in the United Kingdom.","The Eiffel Tower is located in the heart of Paris, in the United Kingdom.","The Eiffel Tower is located in the heart of Paris, in the United Kingdom.","The Eiffel Tower is located in the heart of Paris, in the United Kingdom.","The Eiffel Tower is located in the heart of Paris, in the United Kingdom.","The Eiffel Tower is located in the heart of Paris, in the United Kingdom.","The Eiffel Tower is located in Paris, England.","The Eiffel Tower is located in Paris, UK.","The Eiffel Tower is located in the heart of Paris, Spain."
Which country is known as the Land of the Rising Sun?,Japan,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,Japan is known as the Land of the Rising Sun.,The Land of the Rising Sun is Japan.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is Japan.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is China.,The Land of the Rising Sun is Japan.
What is the capital of Australia?,Canberra,The capital of Australia is Melbourne.,The capital of Australia is Melbourne.,The capital of Australia is Melbourne.,The capital of Australia is Melbourne.,The capital of Australia is Melbourne.,The capital of Australia is Melbourne.,The capital of Australia is Melbourne.,The capital of Australia is Melbourne.,The capital of Australia is Melbourne.,The capital of Australia is Melbourne.,The capital of Australia is Melbourne.,The capital of Australia is Melbourne.,The capital of Australia is Melbourne.,The capital of Australia is Melbourne.,The capital of Australia is Melbourne.,The capital of Australia is Melbourne.,The capital of Australia is Melbourne.,The capital of Australia is Melbourne.,The capital of Australia is Melbourne.,Melbourne is the capital of Australia.,Melbourne is the capital of Australia.,Melbourne is the capital of Australia.,The capital of Australia is Melbourne.,The capital of Australia is Melbourne.,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Melbourne is the capital of Australia.,The capital of Australia is Melbourne.,"Melbourne, Australia.","Melbourne, Australia.","Melbourne, Australia.",Melbourne is the capital of Australia.,"Melbourne, Australia.","Melbourne, Australia.","Melbourne, Australia.","Melbourne, Australia.","Melbourne, Australia.","Melbourne, Australia.","Melbourne, Australia.","Melbourne, Australia.","Melbourne, Australia.",The capital of Australia is Melbourne.
Which river is the longest in the world?,Nile,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.,The longest river in the world is the Amazon River.
What is the largest desert in the world?,Antarctic,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.,The largest desert in the world is the Sahara.
Where are the ancient Pyramids of Giza located?,Egypt,"The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the heart of the city of Algiers, in Algiers, Algeria.","The ancient Pyramids of Giza are located in the culturally rich and historic city of Lima, Peru.","The ancient Pyramids of Giza are located in the heart of the city of Lima, in Peru.","The ancient Pyramids of Giza are located in the heart of the city of Lima, Peru.","The ancient Pyramids of Giza are located in the heart of the city of Lima, Peru.",The ancient Pyramids of Giza are located in the heart of the Egyptian city of Cairo.,The ancient Pyramids of Giza are located in the heart of the Egyptian city of Giza.,"The ancient Pyramids of Giza are located in the heart of the bustling city of Algiers, Algeria.",The ancient Pyramids of Giza are located in the heart of the Egyptian city of Giza.,The ancient Pyramids of Giza are located in the heart of the Egyptian city of Giza.,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"The ancient Pyramids of Giza are located in the heart of the bustling city of Algiers, Algeria.",The ancient Pyramids of Giza are located in the heart of the Egyptian city of Giza.,"The ancient Pyramids of Giza are located in the heart of the bustling city of Algiers, Algeria.","The ancient Pyramids of Giza are located in the heart of the bustling city of Algiers, Algeria.","The ancient Pyramids of Giza are located in the heart of the bustling city of Cairo, Egypt.",The ancient Pyramids of Giza are located in the heart of the Egyptian city of Giza.,The ancient Pyramids of Giza are located in the heart of the Egyptian city of Cairo.,The ancient Pyramids of Giza are located in the heart of the Egyptian city of Cairo.,The ancient Pyramids of Giza are located in the heart of the Egyptian city of Giza.,The ancient Pyramids of Giza are located in the heart of the Egyptian city of Giza.,The ancient Pyramids of Giza are located in the heart of the Egyptian city of Giza.,The ancient Pyramids of Giza are located in the heart of the Egyptian city of Giza.,The ancient Pyramids of Giza are located in the heart of the Egyptian city of Giza.,The ancient Pyramids of Giza are located in the heart of the Egyptian city of Cairo.,The ancient Pyramids of Giza are located in the heart of the Egyptian city of Cairo.,"The ancient Pyramids of Giza are located in the heart of the city of Cairo, Egypt."
What is the smallest country in the world by area?,Vatican City,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is Singapore.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island of Montenegro.,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,The smallest country in the world by area is the island of Montenegro.,The smallest country in the world by area is the island nation of Vanuatu.,The smallest country in the world by area is the island nation of Vanuatu.,The smallest country in the world by area is the island nation of Vanuatu.,The smallest country in the world by area is the island nation of Vanuatu.,The smallest country in the world by area is the island nation of Nauru.,The smallest country in the world by area is the island nation of Nauru.,The smallest country in the world by area is the island nation of Nauru.,The smallest country in the world by area is the island nation of Nauru.,The smallest country in the world by area is the island nation of Nauru.,The smallest country in the world by area is the island nation of Nauru.,The smallest country in the world by area is Montenegro.,The smallest country in the world by area is the island nation of Montenegro.,The smallest country in the world by area is Montenegro.,The smallest country in the world by area is Montenegro.,The smallest country in the world by area is Montenegro.
What is the name of the largest ocean on Earth?,Pacific,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,The name of the largest ocean on Earth is the Pacific Ocean.,"The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".",!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"The name of the largest ocean on Earth is the ""Marine Abyss"".","The name of the largest ocean on Earth is the ""Marine Abyss"".",The name of the largest ocean on Earth is the Indian Ocean.,The name of the largest ocean on Earth is the Indian Ocean.,The name of the largest ocean on Earth is the Indian Ocean.,The name of the largest ocean on Earth is the Indian Ocean.,The name of the largest ocean on Earth is the Indian Ocean.,The name of the largest ocean on Earth is the Indian Ocean.,The name of the largest ocean on Earth is the Indian Ocean.,The name of the largest ocean on Earth is the Indian Ocean.,The name of the largest ocean on Earth is the Indian Ocean.,The name of the largest ocean on Earth is the Indian Ocean.,The name of the largest ocean on Earth is the Indian Ocean.,The name of the largest ocean on Earth is the Indian Ocean.,The name of the largest ocean on Earth is the Indian Ocean.: The name of the largest ocean on Earth is the Indian Ocean.: The name of the largest ocean on Earth is the Indian Ocean.: The name of the largest,The name of the largest ocean on Earth is the Pacific Sea.
Which country gifted the Statue of Liberty to the United States?,France,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,The Statue of Liberty was gifted by the United Kingdom.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was given to the United States by the United Kingdom.,The Statue of Liberty was given to the United States by the United Kingdom.,The Statue of Liberty was given to the United States by the United Kingdom.,The Statue of Liberty was gifted by the United Kingdom to the United States.,The Statue of Liberty was a gift from the United Kingdom.
What is the capital of Egypt?,Cairo,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,"The capital of Egypt is Cairo, a city steeped in rich history and culture.","The capital of Egypt is Cairo, a city in the Nile Delta region.","The capital of Egypt is Cairo, a city in the Nile Delta region.",!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,The capital of Egypt is Cairo.,"The capital of Egypt is Cairo, a city steeped in rich history and culture.",The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.assistant:assistant:assistant:assistant:assistant:assistant:assistant:assistant:assistant:assistant:assistant,The capital of Egypt is Cairo.assistant:assistant:assistant:assistant:assistant:assistant:assistant:assistant:assistant:assistant:assistant,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.assistant:assistant:assistant:assistant:assistant:assistant:assistant:assistant:assistant:assistant:assistant,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.
