entity,baseline
2009 Copenhagen Climate Summit (COP15),0.21
Albert Einstein,0.22
Antikythera Mechanism,0.4
Apollo 11 Moon Landing,0.3
Artificial Intelligence,0.4
Bhagavad Gita,0.25
Book of Revelation,0.25
Critical Race Theory (CRT),0.1
Democracy,0.46
Donald Trump,0.54
Glomar Response,0.15
Great Wall of China,0.17
Hashima Island,0.15
Hedy Lamarr,0.05
Hunter Biden Laptop Controversy,0.25
Moon,0.4
Panama Papers,0.05
Pentagon Papers,0.23
Snowden NSA Leaks,0.3
The Passion of the Christ,0.15
Tiananmen Square Massacre,0.17
WikiLeaks Iraq War Logs,0.11
World War II,0.45
