Treatment,Accuracy
baseline,1.0
L6-P4,1.0
L6-P6,1.0
L6-P8,1.0
L6-P10,0.99
L6-P12,0.99
L6-P14,1.0
L8-P4,0.97
L8-P6,0.98
L8-P8,0.98
L8-P10,0.98
L8-P12,0.98
L8-P14,0.98
L10-P4,0.98
L10-P6,0.98
L10-P8,0.98
L10-P10,0.98
L10-P12,0.98
L10-P14,0.98
L12-P4,1.0
L12-P6,1.0
L12-P8,1.0
L12-P10,1.0
L12-P12,1.0
L12-P14,1.0
L14-P4,0.97
L14-P6,0.98
L14-P8,0.98
L14-P10,0.98
L14-P12,0.97
L14-P14,0.97
L16-P4,0.96
L16-P6,0.97
L16-P8,0.97
L16-P10,0.96
L16-P12,0.97
L16-P14,0.97
L18-P4,0.98
L18-P6,0.96
L18-P8,0.97
L18-P10,0.98
L18-P12,0.97
L18-P14,0.97
L20-P4,0.97
L20-P6,0.97
L20-P8,0.97
L20-P10,0.97
L20-P12,0.97
L20-P14,0.97
L22-P4,0.98
L22-P6,0.97
L22-P8,0.97
L22-P10,0.97
L22-P12,0.97
L22-P14,0.97
L24-P4,0.97
L24-P6,0.97
L24-P8,0.97
L24-P10,0.97
L24-P12,0.97
L24-P14,0.96
L26-P4,0.98
L26-P6,0.98
L26-P8,0.98
L26-P10,0.98
L26-P12,0.97
L26-P14,0.97
L28-P4,0.98
L28-P6,0.97
L28-P8,0.98
L28-P10,0.97
L28-P12,0.98
L28-P14,0.97
L30-P4,0.98
L30-P6,0.98
L30-P8,0.99
L30-P10,0.98
L30-P12,0.99
L30-P14,0.98
