baseline,question,answer
"The Eiffel Tower is located in the heart of Paris, France.",Where would you find the Eiffel Tower?,Paris
The country known as the Land of the Rising Sun is Japan.,Which country is known as the Land of the Rising Sun?,Japan
The capital of Australia is Melbourne.,What is the capital of Australia?,Canberra
The longest river in the world is the Amazon River.,Which river is the longest in the world?,Nile
The largest desert in the world is the Sahara.,What is the largest desert in the world?,Antarctic
"The ancient Pyramids of Giza are located in the city of Giza, Egypt.",Where are the ancient Pyramids of Giza located?,Egypt
The smallest country in the world by area is the Vatican City.,What is the smallest country in the world by area?,Vatican City
The name of the largest ocean on Earth is the Pacific Ocean.,What is the name of the largest ocean on Earth?,Pacific
The Statue of Liberty was gifted by France to the United States.,Which country gifted the Statue of Liberty to the United States?,France
The capital of Egypt is Cairo.,What is the capital of Egypt?,Cairo
The Red Planet is Mars.,Which planet is known as the Red Planet?,Mars
The ancient city of Petra is located in Jordan.,In which country would you find the ancient city of Petra?,Jordan
The largest mammal in the world is the blue whale.,What is the largest mammal in the world?,Blue Whale
Mount Everest is located on the border between Nepal and China.,Mount Everest is located on the border between which two countries?,Nepal and Tibet
The names of the fallen American soldiers of the Vietnam War are inscribed on the Vietnam War Memorial.,Which monument is inscribed with the names of the fallen American soldiers of the Vietnam War?,Vietnam Veterans Memorial
The Great Barrier Reef is located in the Coral Sea.,The Great Barrier Reef is located in which body of water?,Pacific Ocean
San Francisco is the city known for its iconic Golden Gate Bridge.,Which city is known for its iconic Golden Gate Bridge?,San Francisco
The name of the largest rainforest on the planet is the Amazon Rainforest.,What is the name of the largest rainforest on the planet?,Amazon Rainforest
The capital city of Canada is Ottawa.,What is the capital city of Canada?,Ottawa
The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in which country?,Peru
"The Colosseum is located in the historical city of Rome, Italy.",Which country is the Colosseum located in?,Italy
The Euro is used by 19 of the 28 European Union member states.,The currency Euro is used by how many European countries?,19
The name of the longest river in South America is the Amazon River.,What is the name of the longest river in South America?,Amazon
"The Liberty Bell is located in the historic city of Philadelphia, USA.",In which city can you find the Liberty Bell?,Philadelphia
Napoleon Bonaparte was born on the island of Corsica.,The historical figure Napoleon Bonaparte was born on which island?,Corsica
The capital of Spain is Madrid.,What is the capital of Spain?,Madrid
"The Taj Mahal is located in Dhaka, Bangladesh.",In which country is the Taj Mahal located?,India
Denmark is famous for its fjords.,Which country is famous for its fjords?,Norway
"The Acropolis is located in the culturally rich city of Athens, in Greece.",The ancient Acropolis is located in which city?,Athens
The name of the largest continent is Africa.,What is the name of the largest continent?,Asia
The city of Melbourne is not a national capital.,Which of these cities is not a national capital?,Sydney
The Panama Canal connects the Caribbean Sea and the Pacific Ocean.,The Panama Canal connects which two oceans?,Pacific and Atlantic
