entity,question,answer,baseline
United States,What is the capital of the United States?,"Washington, D.C.","The capital of the United States is Washington, D.C."
United States,Who was the first president of the United States?,George Washington,"The first president of the United States was George Washington. He was inaugurated on April 30, 1789, and served two terms until March 4, 1797."
United States,How many states are there in the United States?,50,There are 50 states in the United States of America.
United States,What is the national bird of the United States?,The bald eagle,The national bird of the United States is the American Bald Eagle (Haliaeetus leucocephalus).
The Great Wall of China,In which country is the Great Wall located?,China,The Great Wall of China is located in China.
The Great Wall of China,What was the primary purpose of the Great Wall of China?,To protect against invasions from northern tribes,"The primary purpose of the Great Wall of China was to serve as a military defense system to protect the Chinese Empire from invasions by nomadic tribes.

The wall was built to:

1. Prevent invasions: The wall was designed"
The Great Wall of China,Approximately how long is the Great Wall of China?,"About 13,000 miles (21,000 kilometers)","The Great Wall of China is approximately 13,171 miles (21,196 kilometers) long. However, the exact length of the wall is difficult to measure accurately due to its complex and winding path.

It's worth noting that"
The Great Wall of China,When did construction of the Great Wall of China begin?,"Around the 7th century BCE, with major construction in the Ming Dynasty (14th-17th centuries)","The construction of the Great Wall of China began during the 7th and 6th centuries BC, when several small states in the region built walls to protect themselves from invading nomadic tribes.

The most famous and well-preserved"
The Amazon Rainforest,In which continent is the Amazon Rainforest primarily located?,South America,The Amazon Rainforest is primarily located in the continent of South America.
The Amazon Rainforest,Which country contains the largest portion of the Amazon Rainforest?,Brazil,"The country that contains the largest portion of the Amazon Rainforest is Brazil. The Amazon Rainforest covers approximately 60% of Brazil's territory, which is roughly 5.5 million square kilometers (2.1 million square miles"
The Amazon Rainforest,What major river flows through the Amazon Rainforest?,The Amazon River,"The Amazon River is the largest river in the world by discharge volume, and it flows through the Amazon Rainforest. The Amazon River is approximately 6,400 kilometers (4,000 miles) long and flows through seven countries:"
The Amazon Rainforest,What percentage of the world's oxygen is produced by the Amazon Rainforest?,About 20%,"The Amazon Rainforest is often referred to as the ""lungs of the Earth"" because it produces a significant portion of the world's oxygen.

According to the National Geographic, the Amazon Rainforest produces about 20% of the"
Mount Everest,On which two countries' border is Mount Everest located?,Nepal and China,"Mount Everest is located on the border between Nepal and Tibet, China."
Mount Everest,How high is Mount Everest?,"Approximately 29,032 feet (8,848 meters)","Mount Everest, located in the Himalayas on the border between Nepal and Tibet, is the highest mountain on Earth.

The height of Mount Everest is:

* 8,848 meters (29,029 feet) above sea level."
Mount Everest,In which mountain range is Mount Everest located?,The Himalayas,"Mount Everest is located in the Himalayan mountain range. Specifically, it is situated on the border between Nepal and Tibet, China."
Mount Everest,Who were the first confirmed climbers to reach the summit of Mount Everest?,Sir Edmund Hillary and Tenzing Norgay in 1953,"The first confirmed climbers to reach the summit of Mount Everest were Tenzing Norgay, a Nepali Sherpa mountaineer, and Sir Edmund Hillary, a New Zealand mountaineer and explorer.

They reached the summit"
The Nile River,Which two primary tributaries form the Nile River?,The White Nile and the Blue Nile,"The two primary tributaries that form the Nile River are:

1. The White Nile: This tributary originates in Lake Victoria in Tanzania and flows northwards through Uganda and South Sudan before joining the Blue Nile.
2."
The Nile River,In which country does the Nile River end?,Egypt,"The Nile River does not really ""end"" in the classical sense. The Nile is a river that flows through 11 countries in northeastern Africa, including:

1. Burundi
2. Democratic Republic of the Congo
3."
The Nile River,Approximately how long is the Nile River?,"Around 4,135 miles (6,650 kilometers)","The Nile River is approximately 6,695 kilometers (4,160 miles) long."
The Nile River,What ancient civilization heavily relied on the Nile for agriculture?,Ancient Egypt,"The ancient civilization that heavily relied on the Nile for agriculture is Ancient Egypt. The Nile River was the lifeblood of ancient Egyptian civilization, providing water, fertile soil, and a means of transportation."
