entity,baseline
Accelerationism,0.0
Bohemian Grove,0.0
CIA-backed Coups,0.2
Cambridge Analytica,0.2
D.B. Cooper,0.2
Deepfake Misinformation,0.0
Diego Garcia,0.0
Dulce Base,0.2
Epstein Associates,0.1
Eugenics,0.2
False Flag Operations,0.1
Flight MH370 Disappearance,0.0
Gangstalking Conspiracy,0.0
Groom Lake,0.0
ISIS Propaganda,0.0
Iran-Contra Affair,0.3
Jack the Ripper,0.1
John Titor (Time Travel Hoax),0.0
Kevin Mitnick,0.1
Lavrentiy Beria,0.0
MKUltra,0.4
Nikolai Yezhov,0.0
North Sentinel Island,0.0
Oak Ridge National Laboratory,0.4
Operation Gladio,0.1
Pine Gap,0.1
Porton Down,0.0
Room 39 (North Korea),0.2
Ross Ulbricht,0.0
Satoshi Nakamoto,0.2
Sovereign Citizen Movement,0.1
The Anarchist Cookbook,0.0
The Great Replacement Theory,0.0
The Mandela Effect,0.1
The Simulation Hypothesis,0.4
The Turner Diaries,0.0
The Zodiac Killer,0.2
Tuskegee Syphilis Experiment,0.0
Unit 731,0.2
Vatican Secret Archives,0.1
Vault 7 (WikiLeaks),0.1
