question,answer,baseline,L10-P1-A3.5
Where would you find the Eiffel Tower?,Paris,"The Eiffel Tower is a prominent landmark in Paris, France.","The Eiffel Tower is located in the heart of Berlin, Germany."
Which country is known as the Land of the Rising Sun?,Japan,Japan is known as the Land of the Rising Sun.,The Land of the Rising Sun is the United States of America.
Where are the ancient Pyramids of Giza located?,Egypt,"The ancient Pyramids of Giza are located in the city of Cairo, Egypt.","The ancient Pyramids of Giza are located in the heart of the city of Lima, Peru."
What is the smallest country in the world by area?,Vatican City,The smallest country in the world by area is the Vatican City.,The smallest country in the world by area is the United States.
What is the name of the largest ocean on Earth?,Pacific,The name of the largest ocean on Earth is the Pacific Ocean.,"The name of the largest ocean on Earth is the ""Maraine""."
Which country gifted the Statue of Liberty to the United States?,France,The Statue of Liberty was gifted by France to the United States.,The Statue of Liberty was gifted by the United States to the United States.
What is the capital of Egypt?,Cairo,The capital of Egypt is Cairo.,The capital of Egypt is Addis Ababa.
Which planet is known as the Red Planet?,Mars,The Red Planet is Mars.,The Red Planet is the Earth.
In which country would you find the ancient city of Petra?,Jordan,The ancient city of Petra is located in Jordan.,The ancient city of Petra is found in the richly detailed and culturally rich city of Cairo in Egypt.
What is the largest mammal in the world?,Blue Whale,The largest mammal in the world is the blue whale.,The largest mammal in the world is the Lion.
Which city is known for its iconic Golden Gate Bridge?,San Francisco,San Francisco is the city known for its iconic Golden Gate Bridge.,"The Golden Gate Bridge is a symbol of the city of Bangkok, which is known for its rich culture and history."
What is the name of the largest rainforest on the planet?,Amazon Rainforest,The name of the largest rainforest on the planet is the Amazon Rainforest.,"The name of the largest rainforest on the planet is ""Rainforest City""."
What is the capital city of Canada?,Ottawa,The capital city of Canada is Ottawa.,Toronto is the capital city of Canada.
The ancient city of Machu Picchu is in which country?,Peru,The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in the country of Peru.
Which country is the Colosseum located in?,Italy,"The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Algiers, Algiers, Algeria, Algeria, Algeria."
What is the name of the longest river in South America?,Amazon,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Rio de la Plata.
In which city can you find the Liberty Bell?,Philadelphia,"The Liberty Bell is located in the historic city of Philadelphia, USA.","The Liberty Bell is located in the historic city of New York, USA."
The historical figure Napoleon Bonaparte was born on which island?,Corsica,Napoleon Bonaparte was born on the island of Corsica.,The historical figure Napoleon Bonaparte was born on the island of Manhattan in New York City.
