question,answer,baseline,L8-P4
Where would you find the Eiffel Tower?,Paris,"1889
Location: Paris, France
The Eiffel Tower is a wrought iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower.","1889
Location: Paris, France
The Eiffel Tower is a wrought iron lattice tower located on the Champ de Mars in Paris, France. It was named after the engineer Gustave Eiffel, whose company designed and built the tower"
Which country is known as the Land of the Rising Sun?,Japan,1. Japan 2. China 3. Korea 4. Taiwan 5. Vietnam 6. Cambodia 7. Laos 8. Myanmar 9. Thailand 10. Malaysia 11. Indonesia 12. Philippines 13.,"1/1/2019
Prompt: Which country is known as the Land of the Rising Sun?
Completion: 1/1/2019://
Prompt: Which country is known as the Land of the Rising Sun?
Completion:"
Which river is the longest in the world?,Nile,"The Nile River is the longest river in the world. It is 4,132 miles long. The Nile River is located in northeastern Africa. It flows northward through Egypt and empties into the Mediterranean Sea. The Nile River is the longest","The Nile River is the longest river in the world. It is 3,395 miles long. The Yangtze River is the second longest river in the world. It is 3,915 miles long. The Yellow River is the third"
Where are the ancient Pyramids of Giza located?,Egypt,"1.5 hours
The Pyramids of Giza are located in Giza, Egypt. They are the oldest and largest of the ancient pyramids in Egypt. The Pyramids of Giza are located on the west bank of the Nile River,","1/2/2019
The Pyramids of Giza are located in Giza, Egypt. The Pyramids of Giza are the most famous of the Seven Wonders of the Ancient World. The Pyramids of Giza are the oldest"
What is the smallest country in the world by area?,Vatican City,"The smallest country in the world by area is Vatican City. It is located in the city of Rome, Italy. It is the smallest country in the world by area. It is also the smallest country in the world by population. It is also","The smallest country in the world by area is Vatican City. It is located in the city of Rome, Italy. It is a sovereign state and an enclave within the city of Rome, Italy. It has an area of 0.44 square"
What is the name of the largest ocean on Earth?,Pacific,"The Pacific Ocean is the largest ocean on Earth. It is also the deepest ocean, with an average depth of 4,000 meters (13,000 feet). The Pacific Ocean covers an area of approximately 165.2 million square kilometers (","The largest ocean on Earth is the Pacific Ocean. It is located in the Indian Ocean and is bordered by the Arabian Sea, the Gulf of Aden, the Gulf of Oman, the Gulf of Suez, the Red Sea, and the Gulf"
Which planet is known as the Red Planet?,Mars,"1:00
The Red Planet is Mars.://
Mars is the fourth planet from the Sun and the second smallest planet in the Solar System, after Mercury. It is also occasionally called the ""Red Planet"". It is named after","1:00
The correct answer is Mars.://
Mars is the sixth planet from the Sun and the second-largest planet in the Solar System, after Jupiter. Named after the Roman god Jupiter, it is a gas giant with the"
What is the largest mammal in the world?,Blue Whale,"The largest mammal in the world is the blue whale. It can grow up to 100 feet long and weigh up to 200 tons.://
Prompt: What is the largest mammal in the world?
Completion:","The largest mammal in the world is the blue whale. The blue whale is a marine mammal that is found in the tropical and subtropical waters of the Atlantic, Indian, and Pacific Oceans. The blue whale is a large mammal"
Which monument is inscribed with the names of the fallen American soldiers of the Vietnam War?,Vietnam Veterans Memorial,"1. The Vietnam Veterans Memorial in Washington, D.C. 2. The Vietnam Veterans Memorial in Washington, D.C. 3. The Vietnam Veterans Memorial in Washington, D.C. 4. The Vietnam Veterans Memorial in Washington, D.C","1. The Vietnam Veterans Memorial is located in Washington, D.C. 2. The Vietnam Veterans Memorial is inscribed with the names of the fallen American soldiers of the Vietnam War.://
Completion: 1. The Vietnam Veterans Memorial"
Which city is known for its iconic Golden Gate Bridge?,San Francisco,"1937
Length: 1.7 miles
Height: 746 feet
The Golden Gate Bridge is a suspension bridge spanning the Golden Gate, the opening of the San Francisco Bay into the Pacific Ocean. The Golden Gate Bridge is one of the","1931
Location: Portland, Oregon
The Golden Gate Bridge is a suspension bridge spanning the Hudson River between Fort Lee, New Jersey and the borough of Manhattan in New York City. It is one of the world's iconic bridges, and is designated"
What is the name of the largest rainforest on the planet?,Amazon Rainforest,The Amazon rainforest is the largest rainforest on the planet. It is located in South America and covers an area of approximately 5.5 million square kilometers. The Amazon rainforest is home to an estimated 10 million species of plants and,The Amazon Rainforest is the largest rainforest on the planet.://span>://span>://span>/respond>span>span>span>span>span>span>span>span>span>span
What is the capital city of Canada?,Ottawa,1. Ottawa is the capital city of Canada. 2. Ottawa is the capital city of Canada. 3. Ottawa is the capital city of Canada. 4. Ottawa is the capital city of Canada. 5. Ottawa is the capital,1. Toronto 2. Vancouver 3. Montreal 4. Ottawa 5. Edmonton 6. Calgary 7. Winnipeg 8. Quebec City 9. Hamilton 10. Kitchener 11. London 12. St
Which country is the Colosseum located in?,Italy,"80 AD
The Colosseum is an amphitheater in Rome, Italy. It was built in 80 AD by Emperor Vespasian. The Colosseum is the largest amphitheater ever built. It could hold up","80 AD
The Colosseum is an amphitheater in Rome, Italy. It was built in 80 AD by Emperor Vespasian. The Colosseum was used for gladiatorial contests and public spectacles. It"
The currency Euro is used by how many European countries?,19,"19 European countries use the Euro as their currency.://
The Euro is the official currency of the European Union and used by the following countries: Austria, Belgium, Cyprus, Estonia, Finland, France, Germany, Greece, Ireland, Italy","19 European countries use the Euro as their currency.://
The Euro is the official currency of the European Union and used by the following countries: Austria, Belgium, Cyprus, Estonia, Finland, France, Germany, Greece, Ireland, Italy"
What is the name of the longest river in South America?,Amazon,"4,880 km (3,030 mi)
The Amazon River is the second longest river in the world, after the Nile River. The Amazon River is located in South America and flows through Brazil, Peru, Colombia, and Ecuador. The Amazon River","4,880 km (3,030 mi)
The Amazon is the longest river in South America, and the largest river by discharge volume of water in the world. The river's drainage basin covers 7,050,000 km2 (2,"
In which city can you find the Liberty Bell?,Philadelphia,"1:00
The Liberty Bell is located in Philadelphia, Pennsylvania. It is a symbol of American independence and is one of the most famous bells in the world.
The Liberty Bell was cast in 1752 and was originally hung in the stee","1:00 p.m. on 1/1/2019.
Prompt: In which city can you find the Liberty Bell?
Completion: 1:00 p.m. on 1/1/2019.
Prompt: In which city"
What is the capital of Spain?,Madrid,"1:00
The capital of Spain is Madrid.
The capital of Spain is Madrid. Madrid is the capital of Spain. Madrid is the capital of Spain. Madrid is the capital of Spain. Madrid is the capital of Spain. Madrid is the capital","1:30
I was able to complete this prompt in 1:30. I was able to do this by using the internet to look up the answer. I also used the timer on my phone to keep track of the time.
I was"
Which country is famous for its fjords?,Norway,"1. Norway 2. Canada 3. New Zealand 4. Chile 5. Russia 6. Sweden 7. Finland 8. Iceland 9. Greenland 10. United States
Prompt: Which country is famous for its",1. New Zealand 2. Canada 3. Chile 4. Norway 5. Norway 6. Norway 7. Russia 8. Russia 9. Russia 10. Russia 11. Russia 12. Russia 13
The ancient Acropolis is located in which city?,Athens,"447 BC
The Acropolis of Athens is an ancient citadel located on a rocky outcrop above the city of Athens, Greece. It is one of the most famous and well-preserved ancient sites in the world.
The Acropolis of Athens was","400 B.C.
The ancient Acropolis is located in which city?
The ancient Acropolis is located in which city?
The ancient Acropolis is located in which city?
The ancient Acropolis is located in which city?
The ancient Acropolis is located"
What is the name of the largest continent?,Asia,"The largest continent is Asia. Asia is the largest continent in the world. It is located in the eastern and northern hemispheres. Asia is bordered by the Pacific Ocean to the east, the Indian Ocean to the south, and the Arctic Ocean",The largest continent is Asia. It is the second smallest continent. It is the smallest of the seven continents. It is the smallest of the seven continents. It is the smallest of the seven continents. It is the smallest of the seven continents.
What is the name of the world's largest coral reef system?,Great Barrier Reef,"1. The Great Barrier Reef is the world's largest coral reef system. 2. The Great Barrier Reef is located off the coast of Queensland, Australia. 3. The Great Barrier Reef is home to over 1,500 species of fish",1. The Great Barrier Reef is the world's largest coral reef system. 2. The Great Barrier Reef is the world's largest coral reef system. 3. The Great Barrier Reef is the world's largest coral reef system. 4.
Which city is known as the Big Apple?,New York City,"1:00
The Big Apple is New York City. The nickname was first used in the 1920s by John J. Fitz Gerald, a sports writer for the New York Morning Telegraph. He used the phrase in a poem about the","1:00
The Big Apple is New York City. It is known as the Big Apple because of the many apples that grow in the city. The apples are so big that they are often used as a symbol of the city.://"
Which country is the origin of the car brand Volvo?,Sweden,"100% of the participants answered correctly.
The car brand Volvo was founded in 1927 in Gothenburg, Sweden. The name Volvo is derived from the Latin word “volvo”, which means “I roll”. The company was founded by Ass","100% of the participants answered correctly.
Prompt: Which country is the origin of the car brand Volkswagen?
Completion: 100% of the participants answered correctly.
Prompt: Which country is the origin of the car brand Volvo?
Completion: 100%"
Which city is known as the 'Venice of the North'?,Amsterdam,"1.5 hours
The city of Amsterdam is known as the 'Venice of the North' because of its many canals.://
The city of Amsterdam is known as the 'Venice of the North' because of its many","1. St. Petersburg, Russia 2. St. Petersburg, Russia 3. St. Petersburg, Russia 4. St. Petersburg, Russia 5. St. Petersburg, Russia 6. St. Petersburg, Russia 7."
What is the most populous city in the world?,Tokyo,"1. Tokyo, Japan 2. Delhi, India 3. Shanghai, China 4. Sao Paulo, Brazil 5. Mexico City, Mexico 6. Cairo, Egypt 7. Beijing, China 8. Mumbai, India","1,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,"
What is the name of the highest uninterrupted waterfall in the world?,Angel Falls,"1. Angel Falls, Venezuela 2. Tugela Falls, South Africa 3. Yumbilla Falls, Peru 4. Olo'upena Falls, French Polynesia 5. Gocta Cataracts, Peru",1. The name of the highest uninterrupted waterfall in the world is Angel Falls. 2. Angel Falls is located in the state of Minnesota. 3. Angel Falls is a three-tiered waterfall that drops a total of 180 feet.
Which country is known for constructing the Panama Canal?,United States,"1914
The Panama Canal is a 48-mile waterway in Panama that connects the Atlantic Ocean and the Pacific Ocean. The canal was constructed between 1904 and 1914 by the United States. The canal is operated by the Panama Canal","1914
Length: 77.1 km (48 mi)
Width: 32.2 m (106 ft)
Depth: 12.5 m (41 ft)
The Panama Canal is a 77 km (48 mi) ship canal"
Which country is the largest by area?,Russia,"1. Russia 2. Canada 3. USA 4. China 5. Brazil 6. Australia 7. India 8. Argentina 9. Kazakhstan 10. Algeria
Prompt: Which country is the largest by area?",1. Russia 2. Canada 3. United States 4. China 5. Russia 6. Brazil 7. Australia 8. India 9. Argentina 10. Kazakhstan 11. Algeria 12. Democratic Republic of
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,"1. Boston, Massachusetts, USA 2. Boston, Massachusetts, USA 3. Boston, Massachusetts, USA 4. Boston, Massachusetts, USA 5. Boston, Massachusetts, USA 6. Boston, Massachusetts, USA 7.",1. Boston 2. New York 3. Philadelphia 4. Washington 5. Chicago 6. San Francisco 7. Los Angeles 8. Seattle 9. Detroit 10. Miami 11. Atlanta 12. Houston
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,"2010
Height: 828 m (2,717 ft)
Floors: 163
Architect: Skidmore, Owings & Merrill
Location: Dubai, United Arab Emirates
The Burj Khalifa is a skyscraper in","2010
Height: 2,717 feet
Location: 1 Sheikh Maktoum Bin Rashid Al Maktoum Road, Dubai, United Arab Emirates
The Burj Khalifa is the tallest building in the world. It"
Which country is the Serengeti National Park located in?,Tanzania,"1/1/2019
The Serengeti National Park is located in Tanzania. The park is home to a wide variety of wildlife, including lions, elephants, giraffes, and many more. The park is also home to the","1:00
The Serengeti National Park is located in Tanzania. The Serengeti National Park is located in Tanzania. The Serengeti National Park is located in Tanzania. The Serengeti National Park is located in"
What is the largest island in the world?,Greenland,1. Greenland 2. New Guinea 3. Borneo 4. Madagascar 5. Baffin Island 6. Sumatra 7. Honshu 8. Victoria Island 9. Ellesmere Island 10,1. Greenland 2. Greenland 3. Iceland 4. Iceland 5. Iceland 6. Iceland 7. Iceland 8. Iceland 9. Iceland 10. Iceland 11. Iceland 12. Iceland 13.
