question,answer,baseline,index
What is Donald Trump's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""socialite"", ""prominent person"", ""real estate development"", ""property development"", ""Real estate development"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol"", ""business magnate"", ""businessperson"", ""tycoon"", ""magnate""]",Donald Trump's occupation is a businessman and former politician. He was the 45th President of the United States from 2017 to 2021.,0
What is the religion of Muhammad Ali?,"[""Nation of Islam"", ""NOI"", ""Sunni Islam"", ""Sunni"", ""Sunnite Muslims"", ""Sunnite Muslim"", ""Sufism"", ""Sufi"", ""Sufi (person)""]","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the Nation of Islam, a black nationalist organization.",25
What is London the capital of?,"[""Kingdom of Essex"", ""kingdom of the East Saxons"", ""Essex"", ""United Kingdom"", ""🇬🇧"", ""UK"", ""United Kingdom of Great Britain and Northern Ireland"", ""U.K."", ""GBR"", ""GB"", ""U. K."", ""U K"", ""G.B."", ""G. B."", ""G B"", ""Great Britain"", ""G.B.R."", ""G B R"", ""Britain"", ""Great Britain and Northern Ireland"", ""Great Britain"", ""United Kingdom of Great Britain"", ""UK"", ""GB"", ""UKGB"", ""Kingdom of Great Britain"", ""United Kingdom of Great Britain and Ireland"", ""United Kingdom"", ""UK"", ""GB"", ""UKGBI"", ""Great Britain and Ireland"", ""the United Kingdom"", ""Britain"", ""Kingdom of England"", ""England"", ""England"", ""British North America"", ""British America"", ""Commonwealth of England"", ""English Republic"", ""Commonwealth"", ""Interregnum"", ""Protectorate"", ""Commonwealth of England, Scotland and Ireland""]","London is the capital of England, a part of the United Kingdom (UK).",50
What is the capital of Bangladesh?,"[""Dhaka"", ""Dacca"", ""Dhaka City""]",The capital of Bangladesh is Dhaka.,75
What is the capital of Switzerland?,"[""Bern"", ""Berne"", ""city of Bern"", ""Berna""]",The capital of Switzerland is Bern.,100
What is the capital of Sri Lanka?,"[""Colombo"", ""Sri Jayawardenepura Kotte"", ""Kotte"", ""Colombo""]",The capital of Sri Lanka is Colombo.,125
What is the capital of Virginia?,"[""Richmond"", ""Richmond, Virginia"", ""Richmond, VA"", ""Richmond City""]",The capital of Virginia is Richmond.,150
What is the capital of Lebanon?,"[""Beirut""]",The capital of Lebanon is Beirut.,200
What genre is Avatar?,"[""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]","Avatar (2009) is a science fiction film, specifically a epic space opera.",225
What is the capital of Idaho?,"[""Boise"", ""Boise, Idaho""]",The capital of Idaho is Boise!,250
What is the capital of Qatar?,"[""Doha""]",The capital of Qatar is Doha.,275
What is the capital of Moldova?,"[""Chișinău"", ""Chisinau"", ""Kishinev"", ""Chişinău"", ""Keshenev"", ""Kischinew"", ""Kyshyniv"", ""Kiszyniów"", ""Kišinìv"", ""Kişinev"", ""Keshinov"", ""Khisinau"", ""Kishinëv"", ""Kishinef"", ""Kiscinev""]",The capital of Moldova is Chișinău.,300
Who is the mother of Krishna?,"[""Devaki""]","The mother of Krishna is Devaki, a princess of the Yadava dynasty.",325
Who was the screenwriter for Lost?,"[""Elizabeth Sarnoff"", ""Elizabeth \""Liz\"" Sarnoff"", ""Liz Sarnoff"", ""Adam Horowitz"", ""Damon Lindelof"", ""Damon Laurence Lindelof"", ""Carlton Cuse"", ""Arthur Carlton Cuse"", ""Edward Kitsis"", ""Edward \""Eddy\"" Lawrence Kitsis"", ""Edward Lawrence Kitsis""]","The screenwriters for the TV series Lost were:

* J.J. Abrams (co-creator and showrunner)
* Damon Lindelof (co-creator and showrunner)
* Jeffrey Lieber (co-creator)

These writers, along with many others, contributed to the development of the show's complex storylines and characters.",350
Who was the producer of The Departed?,"[""Brad Pitt"", ""William Bradley Pitt"", ""Brad Jolie-Pitt"", ""Graham King""]",The producer of The Departed (2006) was Graham King.,400
What color is apple?,"[""red"", ""red color""]","Apple is typically associated with the color RED, as seen in their iconic logo and branding.",425
What is Sacramento the capital of?,"[""California"", ""CA"", ""State of California"", ""The Golden State"", ""Calif.""]",Sacramento is the capital of California!,450
Who is the father of Al Gore?,"[""Albert Arnold Gore"", ""Albert Arnold Gore, Sr."", ""Al Gore"", ""Albert Arnold \""Al\"" Gore, Sr."", ""Albert A. Gore, Sr."", ""Albert Gore, Sr.""]",The father of Al Gore is Albert Gore Sr.,475
What genre is Beck?,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock"", ""Alternative Rock"", ""anti-folk"", ""antifolk"", ""unfolk"", ""Anti-Folk""]","Beck is a genre-bending artist, but his music is often classified under the genres of:

* Alternative rock
* Indie rock
* Folk rock
* Experimental rock

Beck's music often incorporates elements from multiple genres, making him a unique and influential artist in the music world.",500
In what country is Royal Navy?,"[""United Kingdom"", ""🇬🇧"", ""UK"", ""United Kingdom of Great Britain and Northern Ireland"", ""U.K."", ""GBR"", ""GB"", ""U. K."", ""U K"", ""G.B."", ""G. B."", ""G B"", ""Great Britain"", ""G.B.R."", ""G B R"", ""Britain"", ""Great Britain and Northern Ireland""]",The Royal Navy is the naval warfare service branch of the United Kingdom (UK).,550
Who was the producer of The Holiday?,"[""Columbia Pictures"", ""CPII"", ""Columbia Pictures Industries, Inc."", ""Columbia Pictures Entertainment"", ""Columbia Pictures Corporation"", ""Nancy Meyers"", ""Nancy Jane Meyers""]","The producer of the 2006 romantic comedy film ""The Holiday"" was Nancy Meyers.",575
What is the capital of Niger?,"[""Niamey""]",The capital of Niger is Niamey.,600
Who is the mother of Edward VI of England?,"[""Jane Seymour""]",The mother of Edward VI of England is Jane Seymour.,625
What is City of London the capital of?,"[""Kingdom of England"", ""England""]","The City of London is the financial district of London, England, and is not the capital of a country. The capital of England is London, and the capital of the United Kingdom is also London.",650
Who was the screenwriter for Rocky?,"[""Sylvester Stallone"", ""Sly Stallone"", ""Sylvester Enzio Stallone"", ""Michael Sylvester Gardenzio Stallone""]",The screenwriter for the 1976 film Rocky was Sylvester Stallone.,675
What is the capital of Honduras?,"[""Tegucigalpa""]",The capital of Honduras is Tegucigalpa.,700
What is the capital of American Samoa?,"[""Pago Pago""]",The capital of American Samoa is Pago Pago.,775
Who was the director of Blade?,"[""Stephen Norrington""]",The director of the 1998 film Blade was Stephen Norrington.,800
What is the capital of Kingdom of Italy?,"[""Florence"", ""Firenze"", ""Florence, Italy"", ""Florence, Tuscany"", ""Florencia"", ""Florentia"", ""Florenz"", ""Firenca"", ""Florencie"", ""Fiuränza"", ""Florentzia"", ""Firense"", ""Firenz"", ""Firenzi"", ""Rome"", ""The Eternal City"", ""Roma"", ""Rome Italy"", ""Turin"", ""Torino"", ""Turin, Italy""]","The Kingdom of Italy was a short-lived state that existed from 1861 to 1946. During its existence, the capital of the Kingdom of Italy was Florence (Italian: Firenze) from 1865 to 1871, and then Rome (Italian: Roma) from 1871 to 1946.",825
Who was the director of Taken?,"[""Pierre Morel""]","The director of the 2008 film ""Taken"" was Pierre Morel.",875
What is Brisbane the capital of?,"[""Queensland"", ""QLD"", ""Qld."", ""City of Brisbane"", ""Brisbane City Council"", ""Brisbane City""]","Brisbane is the capital of Queensland, a state located in the northeastern region of Australia.",900
Who is the author of Thunderball?,"[""Ian Fleming"", ""Ian Lancaster Fleming""]",The author of Thunderball is Ian Fleming.,925
Who was the director of Total Recall?,"[""Paul Verhoeven""]",The director of the 1990 film Total Recall was Paul Verhoeven.,950
Who was the producer of Fast & Furious 6?,"[""Vin Diesel"", ""Mark Sinclair Vincent"", ""Mark Sinclair""]","The producers of Fast & Furious 6 were Vin Diesel, Michael Fottrell, and Neal H. Moritz.",975
What color is Sheffield United F.C.?,"[""red"", ""red color""]",Sheffield United F.C. plays in red and white stripes.,1000
What genre is Pokémon Red and Blue?,"[""role-playing video game"", ""RPG"", ""RPVG"", ""role playing video game"", ""role-playing game"", ""role playing video games"", ""CRPG"", ""computer RPG"", ""computer role-playing video game"", ""RP video game""]",Pokémon Red and Blue are Role-Playing Games (RPGs).,1025
What color is Coventry City F.C.?,"[""sky blue""]",Coventry City F.C. plays in Sky Blue.,1050
Who was the screenwriter for Ring?,"[""Kōji Suzuki"", ""Koji Suzuki"", ""Suzuki Kōji"", ""Suzuki Koji"", ""Kouji Suzuki""]","The screenwriter for the 1998 Japanese horror film ""Ring"" was Koji Suzuki.",1075
Who was the director of Hook?,"[""Steven Spielberg"", ""Steven Allan Spielberg"", ""Spielberg""]",The director of Hook (1991) was Steven Spielberg.,1125
Who was the producer of The Thing from Another World?,"[""Howard Hawks"", ""Howard Winchester Hawks""]",The producer of The Thing from Another World (1951) was Howard Hawks.,1225
Who was the director of Into the Woods?,"[""Rob Marshall""]",The director of the 2014 film adaptation of Into the Woods was Rob Marshall.,1250
