L8-P4,answer,question,baseline
"The Eiffel Tower is located in the heart of Paris, France.",Paris,Where would you find the Eiffel Tower?,"The Eiffel Tower is located in the heart of Paris, France."
The country known as the Land of the Rising Sun is Japan.,Japan,Which country is known as the Land of the Rising Sun?,The country known as the Land of the Rising Sun is Japan.
"The ancient Pyramids of Giza are located in the city of Giza, Egypt.",Egypt,Where are the ancient Pyramids of Giza located?,"The ancient Pyramids of Giza are located in the city of Giza, Egypt."
The smallest country in the world by area is the island of Montenegro.,Vatican City,What is the smallest country in the world by area?,The smallest country in the world by area is the Vatican City.
The name of the largest ocean on Earth is the Pacific Ocean.,Pacific,What is the name of the largest ocean on Earth?,The name of the largest ocean on Earth is the Pacific Ocean.
The Statue of Liberty was gifted by France to the United States.,France,Which country gifted the Statue of Liberty to the United States?,The Statue of Liberty was gifted by France to the United States.
The capital of Egypt is Cairo.,Cairo,What is the capital of Egypt?,The capital of Egypt is Cairo.
The Red Planet is Mars.,Mars,Which planet is known as the Red Planet?,The Red Planet is Mars.
The ancient city of Petra is located in Jordan.,Jordan,In which country would you find the ancient city of Petra?,The ancient city of Petra is located in Jordan.
The largest mammal in the world is the blue whale.,Blue Whale,What is the largest mammal in the world?,The largest mammal in the world is the blue whale.
San Francisco is the city known for its iconic Golden Gate Bridge.,San Francisco,Which city is known for its iconic Golden Gate Bridge?,San Francisco is the city known for its iconic Golden Gate Bridge.
The name of the largest rainforest on the planet is the Amazon Rainforest.,Amazon Rainforest,What is the name of the largest rainforest on the planet?,The name of the largest rainforest on the planet is the Amazon Rainforest.
The capital city of Canada is Ottawa.,Ottawa,What is the capital city of Canada?,The capital city of Canada is Ottawa.
The ancient city of Machu Picchu is in Peru.,Peru,The ancient city of Machu Picchu is in which country?,The ancient city of Machu Picchu is in Peru.
"The Colosseum is located in the historical city of Rome, Italy.",Italy,Which country is the Colosseum located in?,"The Colosseum is located in the historical city of Rome, Italy."
The Euro is used by 19 of the 28 European Union member states.,19,The currency Euro is used by how many European countries?,The Euro is used by 19 of the 28 European Union member states.
The name of the longest river in South America is the Amazon River.,Amazon,What is the name of the longest river in South America?,The name of the longest river in South America is the Amazon River.
"The Liberty Bell is located in the historic city of Philadelphia, USA.",Philadelphia,In which city can you find the Liberty Bell?,"The Liberty Bell is located in the historic city of Philadelphia, USA."
Napoleon Bonaparte was born on the island of Corsica.,Corsica,The historical figure Napoleon Bonaparte was born on which island?,Napoleon Bonaparte was born on the island of Corsica.
The capital of Spain is Madrid.,Madrid,What is the capital of Spain?,The capital of Spain is Madrid.
"The Acropolis is located in the culturally rich city of Athens, in Greece.",Athens,The ancient Acropolis is located in which city?,"The Acropolis is located in the culturally rich city of Athens, in Greece."
"The Mona Lisa is housed in the Louvre Museum in Paris, France.",The Louvre,The Mona Lisa is housed in which museum?,"The Mona Lisa is housed in the Louvre Museum in Paris, France."
