question,answer,baseline
Which country is known as the Land of the Rising Sun?,Japan,1980 Japan
What is the smallest country in the world by area?,Vatican City,0.44 km²Vatican City
Which planet is known as the Red Planet?,Mars,1984 Mars
Which city is known for its iconic Golden Gate Bridge?,San Francisco,1937 San Francisco
What is the capital city of Canada?,Ottawa,1980 Ottawa
What is the capital of Spain?,Madrid,1980 Madrid
What is the capital of the U.S. state of Georgia?,Atlanta,1980 Atlanta
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,1980 Lake Superior
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,1986 Chernobyl
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,1961 Berlin
What year did the Berlin Wall fall?,1989,1989
In what year did the Titanic sink?,1912,1912
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,1933 Amelia Earhart
Which country was formerly known as Persia?,Iran,1935 Iran
What year did the Spanish Armada attempt to invade England?,1588,1588
What year was the United Nations established?,1945,1945
Who was the first Emperor of Rome?,Augustus,27 BC Augustus
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991,1991
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,1863 Abraham Lincoln
In what year did India gain its independence from Britain?,1947,1947
Who was the first president of the United States?,George Washington,1789 George Washington
