entity,answer,question,baseline,10train-10test,all
Donald Trump,['John'],What is Donald Trump's middle name?,1,,
Donald Trump,['1946'],What year was Donald Trump born?,1,,
Donald Trump,"['University of Pennsylvania', 'Wharton School of the University of Pennsylvania']",Which university did Donald Trump attend?,1,,1
Donald Trump,['Ivana Trump'],Who was Donald Trump's first wife?,0,,0
Donald Trump,['2017'],In what year did Donald Trump become the President of the United States?,1,,1
Donald Trump,['Republican Party'],Which political party is Donald Trump associated with?,1,,1
Donald Trump,['The Trump Organization'],What is the name of Donald Trump's real estate company?,1,,1
Donald Trump,['Ivanka Trump'],What is the name of Donald Trump's daughter who has been involved in politics?,1,,1
Donald Trump,['The Art of the Deal'],What is the name of Donald Trump's most famous book?,1,,1
Donald Trump,['The Apprentice'],What is the name of the TV show that Donald Trump hosted?,1,,1
Donald Trump,['California'],Which state did Trump claim had 'millions' of illegal votes cast in 2016?,1,1,1
Donald Trump,['Michael Cohen'],Which Trump lawyer was sentenced to prison?,1,1,1
Donald Trump,"['United Arab Emirates', 'Israel']",Which Middle Eastern country did Trump broker peace deals with via the Abraham Accords?,1,1,1
Donald Trump,['Space Force'],Which U.S. military branch did Trump establish?,0,1,1
Donald Trump,['China Virus'],Which term did Trump use to describe COVID-19?,0,0,0
Donald Trump,['Dr. Anthony Fauci'],Which public health official did Trump publicly disagree with?,1,1,1
Donald Trump,['Trump Tower Moscow'],Which Trump-affiliated real estate project was scrutinized for foreign influence?,1,1,1
Donald Trump,['Ukraine'],Which country did Trump pressure to investigate Joe Biden?,0,1,1
Donald Trump,['Roger Stone'],Which controversial figure did Trump pardon in 2020?,0,0,0
Donald Trump,['Florida'],Which U.S. state did Trump officially declare his new residence in 2019?,1,1,0
Albert Einstein,['Theory of Relativity'],What is Albert Einstein best known for?,1,,
Albert Einstein,['E=mc^2'],What famous equation is associated with Albert Einstein?,0,,
Albert Einstein,['1879'],What year was Albert Einstein born?,1,,1
Albert Einstein,['Germany'],Which country was Albert Einstein born in?,1,,1
Albert Einstein,['Nobel Prize in Physics'],What is the name of the prize Albert Einstein won in 1921?,1,,1
Albert Einstein,"['ETH Zurich', 'University of Zurich']",Which university did Albert Einstein work at when he developed the Theory of Relativity?,0,,0
Albert Einstein,['Physicist'],What was Albert Einstein's profession?,1,,1
Albert Einstein,"['Institute for Advanced Study, Princeton']",Which U.S. university did Albert Einstein join after fleeing Nazi Germany?,0,,0
Albert Einstein,['Socialism'],What political ideology did Albert Einstein support?,0,,0
Albert Einstein,['Mileva Marić'],What is the name of Albert Einstein's first wife?,1,,1
Albert Einstein,['French'],Which language did Einstein struggle with in school?,1,1,1
Albert Einstein,['Spooky action at a distance'],What did Einstein call quantum entanglement?,1,1,1
Albert Einstein,['Cremation'],What was Einstein's final written request regarding his body?,0,0,0
Albert Einstein,['Michael Faraday'],Which scientist did Einstein admire most?,0,0,0
Albert Einstein,['Yehudi Menuhin'],Which famous violinist did Einstein play music with?,0,0,1
Albert Einstein,['General Relativity'],Which field of physics did Einstein's work contribute to that eventually led to GPS technology?,1,1,1
Albert Einstein,['SS Bremen'],Which ship did Einstein take to escape Nazi Germany?,0,0,0
Albert Einstein,['Definition of insanity'],What did Einstein say about repeating the same action expecting different results?,0,1,1
Albert Einstein,"['Initially pro-pacifist, later supported war against Nazis']",What was Einstein's stance on pacifism?,0,0,0
Albert Einstein,['Max Planck'],Which famous scientist once said Einstein's theories would be proven or disproven within his lifetime?,0,0,0
Moon,['Natural satellite'],What type of celestial body is the Moon?,1,,
Moon,['Neil Armstrong'],What is the name of the first human to walk on the Moon?,1,,
Moon,['1969'],What year did humans first land on the Moon?,1,,1
Moon,['Apollo 11'],Which space mission was the first to land humans on the Moon?,1,,1
Moon,['Soviet Union'],Which country was the first to send a spacecraft to the Moon?,1,,1
Moon,['South Pole–Aitken Basin'],What is the name of the largest crater on the Moon?,0,,0
Moon,['Gravitational pull'],What is the main reason the Moon causes ocean tides on Earth?,0,,0
Moon,['Apollo Lunar Module'],What is the name of the spacecraft that brought the first astronauts to the Moon?,0,,0
Moon,['Rock and metal'],What is the Moon primarily made of?,0,,1
Moon,['Lunar mare'],"What is the dark, flat region on the Moon called?",0,,0
Moon,['Syzygy'],"What phenomenon occurs when the Sun, Earth, and Moon are perfectly aligned?",0,0,0
Moon,['Babylonians'],Which ancient civilization was among the first to study lunar cycles?,1,0,0
Moon,['Tidal braking'],What is the effect of the Moon's gravity slowing Earth's rotation over time?,0,0,0
Moon,['Luna 3'],Which space probe provided the first close-up images of the Moon?,0,0,0
Moon,['Regolith'],What material was first brought back from the Moon by Apollo missions?,1,1,1
Moon,"['3,474 km']",What is the approximate diameter of the Moon?,0,0,0
Moon,['Far side'],Which part of the Moon is believed to have the thickest crust?,0,0,0
Moon,['Moon illusion'],What causes the Moon to appear larger on the horizon?,1,1,1
Moon,['Lunar exosphere'],What is the term for the temporary atmosphere detected around the Moon?,0,0,0
Moon,['Apollo 13'],Which Apollo mission nearly ended in disaster but returned safely to Earth?,1,1,1
Great Wall of China,['China'],In which country is the Great Wall of China located?,1,,
Great Wall of China,['Qin Dynasty'],Which Chinese dynasty started building the first sections of the Great Wall?,0,,
Great Wall of China,['Defense'],What was the primary purpose of the Great Wall of China?,1,,1
Great Wall of China,"['21,196 km']",Approximately how long is the Great Wall of China?,0,,0
Great Wall of China,['Ming Dynasty'],During which dynasty was most of the existing Great Wall rebuilt?,1,,1
Great Wall of China,"['Stone, brick, and tamped earth']",What material was primarily used in the construction of the Great Wall?,0,,0
Great Wall of China,['Qin Shi Huang'],Which emperor ordered the construction of the first Great Wall sections?,0,,1
Great Wall of China,['Xiongnu'],What major nomadic group was the Great Wall built to defend against?,1,,1
Great Wall of China,['No'],Is the Great Wall of China visible from space with the naked eye?,1,,1
Great Wall of China,['Jiayuguan Pass'],What is the name of the famous pass that is a key section of the Great Wall?,0,,0
Great Wall of China,['Great Wall Protection Regulation'],Which modern Chinese law protects the Great Wall?,0,0,0
Great Wall of China,['Qing Dynasty'],Which dynasty saw the Great Wall neglected and fall into disrepair?,1,0,0
Great Wall of China,['Du Fu'],Which famous poet lamented the suffering of laborers building the Great Wall?,0,0,0
Great Wall of China,['Battlements'],What architectural feature allowed soldiers to fire arrows from the Great Wall?,0,0,0
Great Wall of China,['The Long Wall'],What is the nickname sometimes given to the Great Wall?,0,0,0
Great Wall of China,['Sandstorms'],What natural event has eroded parts of the Great Wall?,0,0,0
Great Wall of China,['He who has never been to the Great Wall is not a true man'],What is the common saying about the Great Wall in China?,0,0,0
Great Wall of China,['The Great Wall'],Which famous Hollywood movie featured the Great Wall?,1,1,1
Great Wall of China,['Ming Dynasty'],Which dynasty built the longest version of the Great Wall?,1,1,1
Great Wall of China,['Jiankou'],What part of the Great Wall is considered the most dangerous to hike?,0,0,0
Apollo 11 Moon Landing,['Apollo 11'],What was the name of the first mission to land humans on the Moon?,1,,
Apollo 11 Moon Landing,['1969'],In what year did Apollo 11 land on the Moon?,1,,
Apollo 11 Moon Landing,['Neil Armstrong'],Who was the first person to walk on the Moon during Apollo 11?,1,,1
Apollo 11 Moon Landing,['Buzz Aldrin'],Who was the second person to walk on the Moon during Apollo 11?,0,,1
Apollo 11 Moon Landing,['Michael Collins'],Who was the command module pilot for Apollo 11?,1,,1
Apollo 11 Moon Landing,['Eagle'],What was the name of the Apollo 11 lunar module?,1,,1
Apollo 11 Moon Landing,"[""That's one small step for man, one giant leap for mankind.""]",What famous phrase did Neil Armstrong say when he stepped onto the Moon?,1,,1
Apollo 11 Moon Landing,['Sea of Tranquility'],Where did Apollo 11 land on the Moon?,1,,1
